"scheme","target","outcome","country","n_units","spearman","thin"
"neff","level","child_vitA","Gambia",6,0.885714285714286,TRUE
"neff","level","child_vitA","Ghana",16,0.641176470588235,FALSE
"neff","level","child_vitA","Malawi",27,0.625152625152625,FALSE
"neff","level","child_vitA","SierraLeone",4,-0.4,TRUE
"neff","level","women_vitA","Gambia",6,0.771428571428571,TRUE
"neff","level","women_vitA","Ghana",16,0.644117647058823,FALSE
"neff","level","women_vitA","Malawi",27,0.334554334554335,FALSE
"neff","level","women_vitA","SierraLeone",4,-0.4,TRUE
"neff","level","child_iron","Gambia",6,0.714285714285714,TRUE
"neff","level","child_iron","Ghana",16,0.794117647058823,FALSE
"neff","level","child_iron","Malawi",27,0.1996336996337,FALSE
"neff","level","child_iron","SierraLeone",4,-0.6,TRUE
"neff","level","women_iron","Gambia",6,0.542857142857143,TRUE
"neff","level","women_iron","Ghana",16,0.5,FALSE
"neff","level","women_iron","Malawi",27,0.171550671550672,FALSE
"neff","level","women_iron","SierraLeone",4,0,TRUE
"neff","level","women_folate","Ghana",16,0.138235294117647,FALSE
"neff","level","women_folate","Malawi",27,0.191697191697192,FALSE
"neff","level","women_folate","SierraLeone",4,-0.8,TRUE
"neff","level","women_b12","Ghana",16,0.682352941176471,FALSE
"neff","level","women_b12","Malawi",27,0.376068376068376,FALSE
"neff","level","women_b12","SierraLeone",4,0.8,TRUE
"neff","prev","child_vitA","Gambia",6,0.942857142857143,TRUE
"neff","prev","child_vitA","Ghana",16,0.435294117647059,FALSE
"neff","prev","child_vitA","Malawi",27,0.439551352945806,FALSE
"neff","prev","child_vitA","SierraLeone",4,0.4,TRUE
"neff","prev","women_vitA","Gambia",6,0.657142857142857,TRUE
"neff","prev","women_vitA","Ghana",16,0.184215223361187,FALSE
"neff","prev","women_vitA","Malawi",27,0.244599795235114,FALSE
"neff","prev","women_vitA","SierraLeone",4,0,TRUE
"neff","prev","child_iron","Gambia",6,0.771428571428571,TRUE
"neff","prev","child_iron","Ghana",16,0.688235294117647,FALSE
"neff","prev","child_iron","Malawi",27,0.101343101343101,FALSE
"neff","prev","child_iron","SierraLeone",4,0.6,TRUE
"neff","prev","women_iron","Gambia",6,0.771428571428571,TRUE
"neff","prev","women_iron","Ghana",16,0.407652796160893,FALSE
"neff","prev","women_iron","Malawi",27,-0.0299145299145299,FALSE
"neff","prev","women_iron","SierraLeone",4,0.2,TRUE
"neff","prev","women_folate","Ghana",16,0.394117647058824,FALSE
"neff","prev","women_folate","Malawi",27,0.317654304840144,FALSE
"neff","prev","women_folate","SierraLeone",4,0,TRUE
"neff","prev","women_b12","Ghana",16,-0.0281489204199331,FALSE
"neff","prev","women_b12","Malawi",27,0.115965253005833,FALSE
"neff","prev","women_b12","SierraLeone",4,-0.4,TRUE
"pop","level","child_vitA","Gambia",6,0.885714285714286,TRUE
"pop","level","child_vitA","Ghana",16,0.570588235294118,FALSE
"pop","level","child_vitA","Malawi",27,0.46031746031746,FALSE
"pop","level","child_vitA","SierraLeone",4,0,TRUE
"pop","level","women_vitA","Gambia",6,0.885714285714286,TRUE
"pop","level","women_vitA","Ghana",16,0.538235294117647,FALSE
"pop","level","women_vitA","Malawi",27,0.385836385836386,FALSE
"pop","level","women_vitA","SierraLeone",4,-0.4,TRUE
"pop","level","child_iron","Gambia",6,0.942857142857143,TRUE
"pop","level","child_iron","Ghana",16,0.608823529411765,FALSE
"pop","level","child_iron","Malawi",27,0.285714285714286,FALSE
"pop","level","child_iron","SierraLeone",4,-0.6,TRUE
"pop","level","women_iron","Gambia",6,0.657142857142857,TRUE
"pop","level","women_iron","Ghana",16,0.273529411764706,FALSE
"pop","level","women_iron","Malawi",27,0.122710622710623,FALSE
"pop","level","women_iron","SierraLeone",4,-0.4,TRUE
"pop","level","women_folate","Ghana",16,0.279411764705882,FALSE
"pop","level","women_folate","Malawi",27,0.128815628815629,FALSE
"pop","level","women_folate","SierraLeone",4,0,TRUE
"pop","level","women_b12","Ghana",16,0.697058823529412,FALSE
"pop","level","women_b12","Malawi",27,0.299145299145299,FALSE
"pop","level","women_b12","SierraLeone",4,0.8,TRUE
"pop","prev","child_vitA","Gambia",6,0.771428571428571,TRUE
"pop","prev","child_vitA","Ghana",16,0.405882352941176,FALSE
"pop","prev","child_vitA","Malawi",27,0.396767153632433,FALSE
"pop","prev","child_vitA","SierraLeone",4,0.4,TRUE
"pop","prev","women_vitA","Gambia",6,0.828571428571429,TRUE
"pop","prev","women_vitA","Ghana",16,0.202334753527861,FALSE
