"country","outcome","target","arm","n_units","spearman","topk","capture_top20","lift","thin"
"Gambia","child_vitA","level","null_train_mean",6,NA,0,0.115747800434171,0.578739002170853,TRUE
"Ghana","child_vitA","level","null_train_mean",16,NA,0,0.176543359888138,0.882716799440688,FALSE
"Malawi","child_vitA","level","null_train_mean",27,NA,0.142857142857143,0.257590998846848,1.28795499423424,FALSE
"SierraLeone","child_vitA","level","null_train_mean",4,NA,0,0.201773475619762,1.00886737809881,TRUE
"Gambia","child_vitA","level","domain_index",6,0.942857142857143,1,0.210363181627027,1.05181590813513,TRUE
"Ghana","child_vitA","level","domain_index",16,0.6,1,0.281465085805097,1.40732542902548,FALSE
"Malawi","child_vitA","level","domain_index",27,0.567765567765568,0.571428571428571,0.161492835084144,0.807464175420722,FALSE
"SierraLeone","child_vitA","level","domain_index",4,-0.4,0.5,0.368046016716986,1.84023008358493,TRUE
"Gambia","child_vitA","level","domain_enet",6,0.542857142857143,1,0.236422328457882,1.18211164228941,TRUE
"Ghana","child_vitA","level","domain_enet",16,0.552941176470588,0.75,0.285152128274151,1.42576064137076,FALSE
"Malawi","child_vitA","level","domain_enet",27,0.45970695970696,0.428571428571429,0.128118703589312,0.64059351794656,FALSE
"SierraLeone","child_vitA","level","domain_enet",4,-0.2,0.5,0.223528058295181,1.1176402914759,TRUE
"Gambia","women_vitA","level","null_train_mean",6,NA,0.5,0.0441489491997571,0.220744745998785,TRUE
"Ghana","women_vitA","level","null_train_mean",16,NA,0,0.0799613501827744,0.399806750913872,FALSE
"Malawi","women_vitA","level","null_train_mean",27,NA,0.285714285714286,0.0257354799699818,0.128677399849909,FALSE
"SierraLeone","women_vitA","level","null_train_mean",4,NA,0.5,0.152371035059715,0.761855175298574,TRUE
"Gambia","women_vitA","level","domain_index",6,0.771428571428571,0.5,0.275624724715835,1.37812362357917,TRUE
"Ghana","women_vitA","level","domain_index",16,0.705882352941176,0.75,0.387648790129595,1.93824395064797,FALSE
"Malawi","women_vitA","level","domain_index",27,0.299145299145299,0.571428571428571,0.57149348861247,2.85746744306235,FALSE
"SierraLeone","women_vitA","level","domain_index",4,-0.4,0.5,0.445985627303191,2.22992813651596,TRUE
"Gambia","women_vitA","level","domain_enet",6,0.771428571428571,0.5,0.275624724715835,1.37812362357917,TRUE
"Ghana","women_vitA","level","domain_enet",16,NA,0,0.0799613501827744,0.399806750913872,FALSE
"Malawi","women_vitA","level","domain_enet",27,0.0170940170940171,0.285714285714286,0.0598160882283579,0.299080441141789,FALSE
"SierraLeone","women_vitA","level","domain_enet",4,-0.4,0.5,0.445985627303191,2.22992813651596,TRUE
"Gambia","child_iron","level","null_train_mean",6,NA,0.5,0.141335500935021,0.706677504675107,TRUE
"Ghana","child_iron","level","null_train_mean",16,NA,0,0.226658746266551,1.13329373133275,FALSE
"Malawi","child_iron","level","null_train_mean",27,NA,0.428571428571429,0.276835471801508,1.38417735900754,FALSE
"SierraLeone","child_iron","level","null_train_mean",4,NA,0.5,0.329181646118046,1.64590823059023,TRUE
"Gambia","child_iron","level","domain_index",6,0.714285714285714,0.5,0.135816568986678,0.679082844933388,TRUE
"Ghana","child_iron","level","domain_index",16,0.8,1,0.351666417582289,1.75833208791144,FALSE
"Malawi","child_iron","level","domain_index",27,0.155067155067155,0.285714285714286,0.0958419162096251,0.479209581048125,FALSE
"SierraLeone","child_iron","level","domain_index",4,-0.6,0,0.370797356950313,1.85398678475157,TRUE
"Gambia","child_iron","level","domain_enet",6,0.542857142857143,0.5,0.13185725221265,0.659286261063248,TRUE
"Ghana","child_iron","level","domain_enet",16,0.855882352941176,0.75,0.310452522096571,1.55226261048285,FALSE
"Malawi","child_iron","level","domain_enet",27,0.227716727716728,0.285714285714286,0.376006576673047,1.88003288336523,FALSE
"SierraLeone","child_iron","level","domain_enet",4,-0.4,0.5,0.370797356950313,1.85398678475157,TRUE
"Gambia","women_iron","level","null_train_mean",6,NA,0.5,0.133550501204984,0.667752506024919,TRUE
"Ghana","women_iron","level","null_train_mean",16,NA,0,0.233997560085643,1.16998780042821,FALSE
"Malawi","women_iron","level","null_train_mean",27,NA,0.142857142857143,0.21268112599719,1.06340562998595,FALSE
