"outcome","country","rank_from","set","n_raw_total","f_cross_A1","f_cross_A2","f_cross_C_A1","mae_A1_f05","mae_B_f05","mae_C_f05","mae_A1_f25","mae_B_f25","resp_cross_A1","resp_cross_A2"
"child_iron","Gambia","level","climate_soil",1013,0.8,0.8,1,15.0027614372369,38.7234992100898,29.0716721613761,10.7084998568007,23.8504341520845,810,810
"child_iron","Gambia","level","full",1013,0.8,0.8,NA,16.631648104724,38.6423613824607,27.9784033866628,11.4636669965031,24.7871060012577,810,810
"child_iron","Gambia","prev","climate_soil",1013,0.8,0.8,1,15.2885959607391,35.4677640493094,26.7214671340849,11.5208997350828,25.2860893646625,810,810
"child_iron","Gambia","prev","full",1013,0.8,0.8,1,17.3115054151524,36.923148595717,29.8048827693183,11.0620955971455,24.4460788364575,810,810
"child_iron","Ghana","level","climate_soil",1165,0.4,0.6,0.25,14.9968085520241,28.0731648858325,20.4619607901414,13.7334933699387,15.8039057456579,466,699
"child_iron","Ghana","level","full",1165,0.4,0.6,0.4,14.6215160302761,27.9594366147822,20.4015862789937,13.0169969350067,15.6515382621912,466,699
"child_iron","Ghana","prev","climate_soil",1165,0.4,0.6,0.25,14.85510444144,27.5758020946589,20.2970280622385,13.5858254442208,16.5091255946842,466,699
"child_iron","Ghana","prev","full",1165,0.4,0.6,0.25,14.9664185652666,27.3677403899995,21.1749456021686,13.4383926845451,16.1672887497265,466,699
"child_iron","Malawi","level","climate_soil",1149,0.8,0.8,0.6,14.6063951270986,28.5430280943065,15.7824277715181,8.91751388685363,17.064068156658,919,919
"child_iron","Malawi","level","full",1149,0.6,0.6,0.25,13.6276120027476,28.8841413517286,16.8332454031993,10.4818190149385,16.998821707928,689,689
"child_iron","Malawi","prev","climate_soil",1149,0.8,0.8,0.15,12.7516148387277,29.3856872835891,14.9607458754341,9.16511131321787,17.3314125621178,919,919
"child_iron","Malawi","prev","full",1149,0.6,0.6,0.15,14.0038211182569,30.0511974559177,17.6553673822164,10.5870819161209,16.8780654562824,689,689
"child_iron","SierraLeone","level","climate_soil",486,0.4,0.4,0.05,6.23107507765524,9.7463864288957,5.42444061269283,4.31938448743,5.050071059385,194,194
"child_iron","SierraLeone","level","full",486,0.4,0.6,0.05,6.37686690067866,8.65697662681938,5.95657600230571,4.25769323664175,4.99428082465456,194,292
"child_iron","SierraLeone","prev","climate_soil",486,0.4,0.4,0.25,5.17433958811113,8.74012977641202,6.20458972956877,4.28307447793226,4.41710538811391,194,194
"child_iron","SierraLeone","prev","full",486,0.4,0.6,0.4,4.90427796860659,10.6691754493288,6.38010324840948,4.05286883387976,4.82535979483382,194,292
"child_vitA","Gambia","level","climate_soil",1020,0.6,0.6,0.4,11.5482286686166,26.0832685857863,16.3974103903733,9.51636292875985,13.7706680709046,612,612
"child_vitA","Gambia","level","full",1020,0.6,0.6,0.4,12.7883032508292,26.4973394052813,19.3765964237652,10.3002842817399,15.3175057376985,612,612
"child_vitA","Gambia","prev","climate_soil",1020,0.6,0.6,0.6,11.0898496190557,25.8454441848285,17.015288514502,9.34027551126765,14.2068295770303,612,612
"child_vitA","Gambia","prev","full",1020,0.6,0.6,0.25,12.5920343572168,25.6208932297131,17.0424387483316,11.924684643823,14.0456149040614,612,612
"child_vitA","Ghana","level","climate_soil",1165,0.4,0.4,0.4,11.2110278397341,20.5060376574613,15.1567598625433,9.67773349614624,10.7897253128438,466,466
"child_vitA","Ghana","level","full",1165,0.4,0.4,0.6,10.0716368984954,20.5499109675766,14.7979088993087,9.19410802674158,10.4764417188399,466,466
"child_vitA","Ghana","prev","climate_soil",1165,0.4,0.4,0.6,10.1520898563415,20.5992545999995,14.7972850795651,9.35666317199534,11.2361897086138,466,466
"child_vitA","Ghana","prev","full",1165,0.4,0.4,0.4,10.8227872871356,21.1268594086599,15.1201969283077,10.0052773882031,10.8969593682479,466,466
"child_vitA","Malawi","level","climate_soil",1149,0.6,0.4,0.15,8.52534838989711,17.3969509798376,8.73884737605212,6.77904039382962,8.60401236500371,689,460
"child_vitA","Malawi","level","full",1149,0.6,0.6,0.6,7.29539543335538,17.6749587768417,9.32988762103356,6.10496496712606,8.89200647576566,689,689
"child_vitA","Malawi","prev","climate_soil",1149,0.6,0.4,0.4,8.22388017191326,17.1649293919904,9.35935310090889,6.87424781259099,9.27171210929602,689,460
"child_vitA","Malawi","prev","full",1149,0.6,0.4,0.8,7.22040663914718,17.0522172081382,9.21160587627625,6.01519357179343,9.3328585069914,689,460
"child_vitA","SierraLeone","level","climate_soil",486,0.6,0.4,0.4,7.27814097976964,14.0770202483513,11.1465560938717,5.98899375181848,7.91036478142844,292,194
"child_vitA","SierraLeone","level","full",486,0.25,0.25,0.15,9.21812249598115,15.3700152816975,10.1855750072758,7.69227723325324,6.90725179888291,122,122
"child_vitA","SierraLeone","prev","climate_soil",486,0.4,0.25,0.4,6.68091988945776,14.5381727535624,11.1320303734094,6.50170143489613,7.04348564388901,194,122
"child_vitA","SierraLeone","prev","full",486,0.25,0.25,0.15,9.75288591294993,16.6381175598663,10.1202787743905,7.67622336650207,7.14044061415151,122,122
"women_b12","Ghana","level","climate_soil",473,0.15,0.4,0.1,10.910952327772,15.9317737224451,12.3308993852743,11.8646880049649,8.99663855280021,71,189
"women_b12","Ghana","level","full",473,0.15,0.4,0.1,11.32830723007,15.1664681084078,12.3572714927433,11.1331618649496,8.65746824619639,71,189
"women_b12","Ghana","prev","climate_soil",473,0.15,0.25,0.05,12.0275032339,15.4773198991998,11.4155978368316,11.7927778831234,8.54862382273272,71,118
"women_b12","Ghana","prev","full",473,0.15,0.25,0.05,11.7058420325278,15.711583616074,11.6464320207374,11.6441376624451,8.30754187637041,71,118
"women_b12","Malawi","level","climate_soil",839,0.4,0.4,0.05,3.55705311871751,7.04060442205455,3.51482884334005,2.98508909763557,3.2435548295317,336,336
"women_b12","Malawi","level","full",839,0.4,0.25,0.1,3.45528298796156,6.77981445887687,4.06525719609544,3.18787882491629,3.22448292669661,336,210
"women_b12","Malawi","prev","climate_soil",839,0.4,0.4,0.25,3.66102229288128,7.29098788175405,3.73887326687925,3.17034027752186,3.30654049835034,336,336
"women_b12","Malawi","prev","full",839,0.4,0.4,0.25,3.47410416586585,6.84587409441056,3.71202560942134,3.19582491047351,3.31805096334136,336,336
"women_b12","SierraLeone","level","climate_soil",768,0.4,0.25,0.05,1.50463083550371,2.41798697034878,1.2475281691049,0.985777499913216,1.01164527400646,307,192
"women_b12","SierraLeone","level","full",768,0.4,0.4,0.15,1.04861612027156,2.41225431108083,1.0725470434358,0.781869675639447,0.947676653391391,307,307
"women_b12","SierraLeone","prev","climate_soil",768,0.25,0.4,0.25,1.23517969873941,1.79729469329436,1.30521068240891,1.00982055256277,1.00904327339617,192,307
"women_b12","SierraLeone","prev","full",768,0.4,0.4,0.4,0.991049309019319,2.79273016098253,1.15613496035422,0.774055255350595,0.957168680978877,307,307
"women_folate","Ghana","level","climate_soil",475,0.15,0.1,0.15,27.2015361485971,33.4458789993611,30.5329938633664,26.644194599068,21.6611041133399,71,48
"women_folate","Ghana","level","full",475,0.15,0.05,0.15,26.8044792422672,32.8865802300088,32.8351403991755,26.1430640908846,21.2972177147067,71,24
"women_folate","Ghana","prev","climate_soil",475,0.15,0.25,0.15,28.4196644588519,32.7786543326827,31.1522503441215,26.1674182841284,21.542695839443,71,119
"women_folate","Ghana","prev","full",475,0.25,0.25,0.25,25.7147855236893,32.3939623875463,30.5988377678957,24.6039132820114,21.6893394013203,119,119
"women_folate","Malawi","level","climate_soil",828,0.4,0.25,0.4,16.3133949171428,26.5062992562253,18.8411232724239,14.0824642758666,14.9719186690553,331,207
"women_folate","Malawi","level","full",828,0.4,0.25,0.4,15.0570023418845,26.6963410034828,19.8239631061273,13.7366758156039,14.5982216721703,331,207
"women_folate","Malawi","prev","climate_soil",828,0.4,0.25,0.8,15.2423971185544,26.5474231265673,19.6136153790453,13.6708319234292,15.0535297502303,331,207
"women_folate","Malawi","prev","full",828,0.4,0.25,0.8,16.118372202611,26.7680591264874,20.1891052586369,13.933588760369,15.2454131898641,331,207
