"rank_from","set","fraction","design","cells","mae","spearman","capture"
"level","climate_soil",0.05,"A1_anchor_rank",22,10.24,0.237,0.22
"level","climate_soil",0.05,"A2_region_anchor_rank",22,12.83,0.206,0.215
"level","climate_soil",0.05,"B_district_survey",22,20.84,0.263,0.288
"level","climate_soil",0.05,"C_regional_survey",22,12.61,0.152,0.228
"level","climate_soil",0.1,"A1_anchor_rank",22,9.45,0.237,0.22
"level","climate_soil",0.1,"A2_region_anchor_rank",22,11.01,0.232,0.213
"level","climate_soil",0.1,"B_district_survey",22,15.47,0.318,0.326
"level","climate_soil",0.1,"C_regional_survey",22,11.01,0.176,0.234
"level","climate_soil",0.15,"A1_anchor_rank",22,9.43,0.237,0.22
"level","climate_soil",0.15,"A2_region_anchor_rank",22,9.48,0.287,0.224
"level","climate_soil",0.15,"B_district_survey",22,12.68,0.416,0.291
"level","climate_soil",0.15,"C_regional_survey",22,9,0.18,0.238
"level","climate_soil",0.25,"A1_anchor_rank",22,9.09,0.237,0.22
"level","climate_soil",0.25,"A2_region_anchor_rank",22,8.67,0.314,0.212
"level","climate_soil",0.25,"B_district_survey",22,9.91,0.449,0.328
"level","climate_soil",0.25,"C_regional_survey",22,8.15,0.221,0.237
"level","climate_soil",0.4,"A1_anchor_rank",22,8.81,0.237,0.22
"level","climate_soil",0.4,"A2_region_anchor_rank",22,7.53,0.377,0.235
"level","climate_soil",0.4,"B_district_survey",22,7.45,0.595,0.349
"level","climate_soil",0.4,"C_regional_survey",22,6.93,0.266,0.246
"level","climate_soil",0.6,"A1_anchor_rank",22,8.62,0.237,0.22
"level","climate_soil",0.6,"A2_region_anchor_rank",22,7.04,0.425,0.218
"level","climate_soil",0.6,"B_district_survey",22,5.12,0.748,0.377
"level","climate_soil",0.6,"C_regional_survey",22,6.4,0.368,0.237
"level","climate_soil",0.8,"A1_anchor_rank",22,8.49,0.237,0.22
"level","climate_soil",0.8,"A2_region_anchor_rank",22,6.78,0.456,0.215
"level","climate_soil",0.8,"B_district_survey",22,3.23,0.865,0.399
"level","climate_soil",0.8,"C_regional_survey",22,6.07,0.428,0.26
"level","climate_soil",1,"A1_anchor_rank",22,8.57,0.237,0.22
"level","climate_soil",1,"A2_region_anchor_rank",22,6.72,0.511,0.213
"level","climate_soil",1,"B_district_survey",22,0,1,0.362
"level","climate_soil",1,"C_regional_survey",22,5.92,0.462,0.26
"level","full",0.05,"A1_anchor_rank",22,10.37,0.225,0.163
"level","full",0.05,"A2_region_anchor_rank",22,12.49,0.218,0.196
"level","full",0.05,"B_district_survey",22,19.55,0.274,0.286
"level","full",0.05,"C_regional_survey",22,12.33,0.15,0.235
"level","full",0.1,"A1_anchor_rank",22,9.3,0.225,0.163
