"country","outcome","n_units_multi","n_resp","r_within","r_cluster","ceiling_within","ceiling_cluster","inflation"
"Gambia","child_vitA",13,729,0.532957740783007,0.404949225640462,0.833866052469949,0.759250295481209,0.075
"Gambia","women_vitA",13,1074,0.549123087309909,0.490939882132334,0.841989908469887,0.811519740713512,0.03
"Gambia","child_iron",13,725,0.521153514895254,0.35690638284175,0.827773103207333,0.725299223606882,0.102
"Gambia","women_iron",13,1064,0.389372551634457,0.0124177205081971,0.748666338877237,0.156623191446536,0.592
"Ghana","child_vitA",13,355,-0.18711406484032,-0.180362370994687,0,0,0
"Ghana","women_vitA",13,302,0.213906688977434,0.498142994537413,0.593655544481873,0.815483874196154,-0.222
"Ghana","child_iron",13,355,0.680894148742215,0.672669299880778,0.900087263146907,0.896831303044416,0.003
"Ghana","women_iron",13,296,0.419675815954725,0.504370093077215,0.768913307852139,0.81886501302623,-0.05
"SierraLeone","child_vitA",14,486,-0.0189854087438048,-0.207829563541973,0,0,0
"SierraLeone","women_vitA",14,774,0.0932098331493806,0.0481198473558324,0.412946793700787,0.303020245612855,0.11
"SierraLeone","child_iron",14,486,0.035215217334545,-0.148159104599808,0.260834395881855,0,0.261
"SierraLeone","women_iron",14,774,0.164308801402053,-0.0716995630529047,0.531265141993811,0,0.531
"Malawi","child_vitA",26,1131,0.183601577054156,-0.0437659808195138,0.556993893500998,0,0.557
"Malawi","women_vitA",26,828,-0.148362525039076,-0.118297586964318,0,0,0
"Malawi","child_iron",26,1131,0.403084349757228,0.261051490415722,0.758003264183322,0.643445364494486,0.115
"Malawi","women_iron",26,773,0.00156891560722151,-0.195817294953498,0.0559724569206897,0,0.056
