"country","outcome","target","estimand","arm","rep","n_units","collapsed","spearman","wmae"
"Gambia","child_vitA","level","infill","null_train_mean",1,30,FALSE,-0.250531507672529,0.080153204928779
"Gambia","child_vitA","level","infill","null_train_mean",2,30,FALSE,-0.261424181919161,0.0771891316723782
"Gambia","child_vitA","level","infill","null_train_mean",3,30,FALSE,-0.582758072194795,0.0851704868034144
"Gambia","child_vitA","level","infill","null_train_mean",4,30,FALSE,-0.416644789933662,0.0817371835563532
"Gambia","child_vitA","level","infill","null_train_mean",5,30,FALSE,-0.168836450822791,0.0779776368516784
"Gambia","child_vitA","level","infill","null_train_mean",6,30,FALSE,-0.324057058837293,0.0783487027366919
"Gambia","child_vitA","level","infill","null_train_mean",7,30,FALSE,-0.362181418700504,0.0824578025138189
"Gambia","child_vitA","level","infill","null_train_mean",8,30,FALSE,-0.302271710344029,0.0816025661547967
"Gambia","child_vitA","level","infill","null_train_mean",9,30,FALSE,-0.503786183906715,0.0797345638836402
"Gambia","child_vitA","level","infill","null_train_mean",10,30,FALSE,-0.334949733083924,0.0812216558724931
"Gambia","child_vitA","level","infill","spatial",1,30,FALSE,0.652502780867631,0.0589634489421074
"Gambia","child_vitA","level","infill","spatial",2,30,FALSE,0.703670745272525,0.0600753342809907
"Gambia","child_vitA","level","infill","spatial",3,30,FALSE,0.683203559510567,0.0528855456469985
"Gambia","child_vitA","level","infill","spatial",4,30,FALSE,0.55194660734149,0.0647581287405428
"Gambia","child_vitA","level","infill","spatial",5,30,FALSE,0.678309232480534,0.0534338933083173
"Gambia","child_vitA","level","infill","spatial",6,30,FALSE,0.710344827586207,0.056653406355635
"Gambia","child_vitA","level","infill","spatial",7,30,FALSE,0.70678531701891,0.0614866895359417
"Gambia","child_vitA","level","infill","spatial",8,30,FALSE,0.65027808676307,0.0609389503960579
"Gambia","child_vitA","level","infill","spatial",9,30,FALSE,0.655617352614016,0.0571558391569369
"Gambia","child_vitA","level","infill","spatial",10,30,FALSE,0.594660734149055,0.0662668790578764
"Gambia","child_vitA","level","infill","domain_index",1,30,FALSE,0.746384872080089,0.0585734397125444
"Gambia","child_vitA","level","infill","domain_index",2,30,FALSE,0.775305895439377,0.0571508865025699
"Gambia","child_vitA","level","infill","domain_index",3,30,FALSE,0.74238042269188,0.0610788769499345
"Gambia","child_vitA","level","infill","domain_index",4,30,FALSE,0.774416017797553,0.0571283901784545
"Gambia","child_vitA","level","infill","domain_index",5,30,FALSE,0.748164627363738,0.0637382644388155
"Gambia","child_vitA","level","infill","domain_index",6,30,FALSE,0.741935483870968,0.0580532323936968
"Gambia","child_vitA","level","infill","domain_index",7,30,FALSE,0.748164627363738,0.0567498253400573
"Gambia","child_vitA","level","infill","domain_index",8,30,FALSE,0.746829810901001,0.0545448844431071
"Gambia","child_vitA","level","infill","domain_index",9,30,FALSE,0.730367074527253,0.0576847431481861
"Gambia","child_vitA","level","infill","domain_index",10,30,FALSE,0.693437152391546,0.0595515422432118
"Gambia","child_vitA","level","infill","domain_enet",1,30,FALSE,0.833592880978865,0.049175302335432
"Gambia","child_vitA","level","infill","domain_enet",2,30,FALSE,0.756618464961068,0.0527654202184545
"Gambia","child_vitA","level","infill","domain_enet",3,30,FALSE,0.761067853170189,0.0534300447159791
"Gambia","child_vitA","level","infill","domain_enet",4,30,FALSE,0.719688542825362,0.0586978731723275
"Gambia","child_vitA","level","infill","domain_enet",5,30,FALSE,0.747719688542825,0.0585112710630494
"Gambia","child_vitA","level","infill","domain_enet",6,30,FALSE,0.684983314794216,0.0577680743959095
"Gambia","child_vitA","level","infill","domain_enet",7,30,FALSE,0.747274749721913,0.0488824844948617
"Gambia","child_vitA","level","infill","domain_enet",8,30,FALSE,0.784649610678532,0.0495766176010629
"Gambia","child_vitA","level","infill","domain_enet",9,30,FALSE,0.625361512791991,0.0556732935878148
"Gambia","child_vitA","level","infill","domain_enet",10,30,FALSE,0.746384872080089,0.049334628382351
"Gambia","child_vitA","level","infill","spatial_plus_domain",1,30,FALSE,0.649833147942158,0.0615282014060139
"Gambia","child_vitA","level","infill","spatial_plus_domain",2,30,FALSE,0.703670745272525,0.0600753342809919
"Gambia","child_vitA","level","infill","spatial_plus_domain",3,30,FALSE,0.623136818687431,0.0619214398710971
"Gambia","child_vitA","level","infill","spatial_plus_domain",4,30,FALSE,0.55194660734149,0.0647581287404877
"Gambia","child_vitA","level","infill","spatial_plus_domain",5,30,FALSE,0.652502780867631,0.0600426394044526
