"domain_set","target","outcome","heldout","arm","model","n_units","n_cov","n_block","block_cols","shares_population","spearman","pearson","topk","delta_vs_base","topk_delta_vs_base"
"all","level","child_iron","Gambia","base","domain_index",30,329,0,"",FALSE,0.420689655172414,0.42812022856237,0.5,0,0
"all","level","child_iron","Ghana","base","domain_index",75,329,0,"",FALSE,0.553684210526316,0.554732942634078,0.578947368421053,0,0
"all","level","child_iron","Malawi","base","domain_index",87,329,0,"",FALSE,-0.064008165050667,-0.105090896317753,0.136363636363636,0,0
"all","level","child_iron","SierraLeone","base","domain_index",14,329,0,"",FALSE,0.221978021978022,0.217557311616623,0.25,0,0
"all","level","child_iron","Gambia","base","domain_enet",30,329,0,"",FALSE,0.242269187986652,0.236075286568689,0.25,0,0
"all","level","child_iron","Ghana","base","domain_enet",75,329,0,"",FALSE,0.458207681365576,0.484010724424327,0.473684210526316,0,0
"all","level","child_iron","Malawi","base","domain_enet",87,329,0,"",FALSE,-0.00189545819056645,0.0124724628573193,0.181818181818182,0,0
"all","level","child_iron","SierraLeone","base","domain_enet",14,329,0,"",FALSE,0.305494505494505,0.279655214957413,0.25,0,0
"all","level","child_iron","Gambia","same_nutrient","domain_index",30,329,1,"women_iron",FALSE,0.454949944382647,0.45803961665033,0.5,0.0342602892102336,0
"all","level","child_iron","Ghana","same_nutrient","domain_index",75,329,1,"women_iron",FALSE,0.555391180654339,0.570566225183903,0.578947368421053,0.00170697012802279,0
"all","level","child_iron","Malawi","same_nutrient","domain_index",87,329,1,"women_iron",FALSE,-0.0292155719180579,-0.0785492225427174,0.227272727272727,0.0347925931326092,0.0909090909090909
"all","level","child_iron","SierraLeone","same_nutrient","domain_index",14,329,1,"women_iron",FALSE,0.265934065934066,0.264165455755052,0.25,0.043956043956044,0
"all","level","child_iron","Gambia","same_nutrient","domain_enet",30,329,1,"women_iron",FALSE,0.45539488320356,0.438922360238027,0.375,0.213125695216908,0.125
"all","level","child_iron","Ghana","same_nutrient","domain_enet",75,329,1,"women_iron",FALSE,0.521849217638691,0.506055787906758,0.526315789473684,0.0636415362731153,0.0526315789473684
"all","level","child_iron","Malawi","same_nutrient","domain_enet",87,329,1,"women_iron",FALSE,0.0751804330392943,0.125882454196866,0.318181818181818,0.0770758912298607,0.136363636363636
"all","level","child_iron","SierraLeone","same_nutrient","domain_enet",14,329,1,"women_iron",FALSE,0.472527472527473,0.498655027781714,0.25,0.167032967032967,0
"all","level","child_iron","Gambia","other_xpop","domain_index",30,329,1,"women_vitA",FALSE,0.412680756395996,0.430732382634973,0.5,-0.00800889877641825,0
"all","level","child_iron","Ghana","other_xpop","domain_index",75,329,1,"women_vitA",FALSE,0.553940256045519,0.555912520282707,0.578947368421053,0.00025604551920333,0
"all","level","child_iron","Malawi","other_xpop","domain_index",87,329,1,"women_vitA",FALSE,-0.0802106874681053,-0.113933129624329,0.136363636363636,-0.0162025224174382,0
"all","level","child_iron","SierraLeone","other_xpop","domain_index",14,329,1,"women_vitA",FALSE,0.204395604395604,0.217511720257928,0.25,-0.0175824175824175,0
"all","level","child_iron","Gambia","other_xpop","domain_enet",30,329,1,"women_vitA",FALSE,0.249833147942158,0.286771066482033,0.25,0.00756395995550616,0
"all","level","child_iron","Ghana","other_xpop","domain_enet",75,329,1,"women_vitA",FALSE,0.392972972972973,0.419872977825572,0.421052631578947,-0.0652347083926031,-0.0526315789473684
"all","level","child_iron","Malawi","other_xpop","domain_enet",87,329,1,"women_vitA",FALSE,-0.0570095501931909,-0.0355329646358095,0.272727272727273,-0.0551140920026245,0.0909090909090909
"all","level","child_iron","SierraLeone","other_xpop","domain_enet",14,329,1,"women_vitA",FALSE,0.305494505494505,0.329035056014008,0.25,0,0
"all","level","child_iron","Gambia","other_samepop","domain_index",30,329,1,"child_vitA",TRUE,0.404671857619577,0.438434058252897,0.5,-0.0160177975528365,0
"all","level","child_iron","Ghana","other_samepop","domain_index",75,329,1,"child_vitA",TRUE,0.561877667140825,0.56610613690253,0.578947368421053,0.0081934566145091,0
"all","level","child_iron","Malawi","other_samepop","domain_index",87,329,1,"child_vitA",TRUE,-0.0657395932055114,-0.0978792617727005,0.181818181818182,-0.00173142815484435,0.0454545454545455
