"domain_set","target","model","outcome_class","arm","shares_population","cells","base_mean","arm_mean","mean_delta","median_delta","cells_up","mean_topk_delta"
"cs","level","domain_enet","folate / B12","all_other",NA,6,0.396847591948677,0.277148427344266,-0.119699164604411,-0.146254106759319,1,-0.126993620414673
"cs","level","domain_enet","folate / B12","block_only_all",NA,6,0.417755571876873,-0.244130503744483,-0.661886075621356,-0.663556171174455,0,-0.350279106858054
"cs","level","domain_enet","folate / B12","other_samepop",TRUE,6,0.396847591948677,0.276196755015815,-0.120650836932861,-0.13301198552201,1,-0.100677830940989
"cs","level","domain_enet","folate / B12","other_xpop",FALSE,6,0.396847591948677,0.406519399055591,0.0096718071069145,0.000284495021337108,3,0.0316985645933014
"cs","level","domain_enet","iron / vitA","all_other",NA,16,0.314283229033821,0.388001676228368,0.0737184471945479,0.0799121595436962,11,0.0493047248803828
"cs","level","domain_enet","iron / vitA","block_only_all",NA,16,0.314283229033821,0.452796473011557,0.138513243977736,0.159464922979252,14,0.118009868421053
"cs","level","domain_enet","iron / vitA","block_only_same_nutrient",FALSE,16,NA,NA,NA,NA,0,-0.227870813397129
"cs","level","domain_enet","iron / vitA","other_samepop",TRUE,16,0.314283229033821,0.294846592059851,-0.0194366369739694,0,5,-0.00265400717703349
"cs","level","domain_enet","iron / vitA","other_xpop",FALSE,16,0.314283229033821,0.328960895333745,0.0146776662999247,0.02064855753709,11,-0.00601824162679426
"cs","level","domain_enet","iron / vitA","same_nutrient",FALSE,16,0.314283229033821,0.380939440203424,0.0666562111696036,0.0848236941680561,12,0.0500149521531101
"cs","level","domain_index","folate / B12","all_other",NA,6,0.309082600469719,0.225343466382803,-0.0837391340869161,-0.103598862019915,0,-0.0390749601275917
"cs","level","domain_index","folate / B12","block_only_all",NA,6,0.309082600469719,-0.20624132101636,-0.515323921486079,-0.429807639200498,0,-0.130980861244019
"cs","level","domain_index","folate / B12","other_samepop",TRUE,6,0.309082600469719,0.247717815546077,-0.061364784923642,-0.0586219159268161,1,-0.0303030303030303
"cs","level","domain_index","folate / B12","other_xpop",FALSE,6,0.309082600469719,0.331411307564813,0.0223287070950938,0.0194821217275106,4,-0.016347687400319
"cs","level","domain_index","iron / vitA","all_other",NA,16,0.403435877106252,0.434698341853183,0.031262464746931,0.0367381332506325,13,0.00657894736842106
"cs","level","domain_index","iron / vitA","block_only_all",NA,16,0.403435877106252,0.437695535229986,0.0342596581237341,0.0652990637941617,10,0.0503513755980861
"cs","level","domain_index","iron / vitA","block_only_same_nutrient",FALSE,16,0.403435877106252,0.454162104847185,0.0507262277409332,0.0562446024269103,13,0.0719946172248804
"cs","level","domain_index","iron / vitA","other_samepop",TRUE,16,0.403435877106252,0.403653624495955,0.000217747389702872,0.00901849217638695,13,0.00373803827751196
"cs","level","domain_index","iron / vitA","other_xpop",FALSE,16,0.403435877106252,0.407984239430236,0.0045483623239839,0.00258031288123201,11,-0.00284090909090909
"cs","level","domain_index","iron / vitA","same_nutrient",FALSE,16,0.403435877106252,0.439578719539649,0.0361428424333973,0.0446039409538905,14,0.00568181818181818
"cs","prev","domain_enet","folate / B12","all_other",NA,6,0.241703689863676,0.0411787482959469,-0.200524941567729,-0.199800545470034,0,-0.0895135566188198
"cs","prev","domain_enet","folate / B12","block_only_all",NA,6,0.271162536596599,-0.269263909979482,-0.540426446576081,-0.533054929449043,0,-0.146132376395534
"cs","prev","domain_enet","folate / B12","other_samepop",TRUE,6,0.241703689863676,0.132400378728623,-0.109303311135054,-0.0883071269334513,1,-0.0291068580542265
"cs","prev","domain_enet","folate / B12","other_xpop",FALSE,6,0.241703689863676,0.12898375749791,-0.112719932365767,-0.0838781976162166,0,-0.0743620414673046
"cs","prev","domain_enet","iron / vitA","all_other",NA,16,0.232740754584025,0.295709854821908,0.034261095418688,0.0483516483516483,8,0.0698265550239234
"cs","prev","domain_enet","iron / vitA","block_only_all",NA,16,0.255523023798391,0.322618799114556,0.0320288628228964,0.055032347639075,8,0.136064593301435
"cs","prev","domain_enet","iron / vitA","block_only_same_nutrient",FALSE,16,NA,NA,NA,NA,0,-0.0319602272727273
