"target","outcome","heldout","domain","variant","spearman"
"level","child_vitA","Gambia","ALL","full",0.596885428253615
"level","child_vitA","Ghana","ALL","full",0.375618776671408
"level","child_vitA","Malawi","ALL","full",0.270376175548589
"level","child_vitA","SierraLeone","ALL","full",0.010989010989011
"level","child_vitA","Gambia","Agricultural production, land use","drop",0.592880978865406
"level","child_vitA","Gambia","Agricultural production, land use","only",0.174638487208009
"level","child_vitA","Ghana","Agricultural production, land use","drop",0.376415362731152
"level","child_vitA","Ghana","Agricultural production, land use","only",0.300601154696005
"level","child_vitA","Malawi","Agricultural production, land use","drop",0.264926733250711
"level","child_vitA","Malawi","Agricultural production, land use","only",0.152727208384627
"level","child_vitA","SierraLeone","Agricultural production, land use","drop",0.0725274725274725
"level","child_vitA","SierraLeone","Agricultural production, land use","only",-0.578021978021978
"level","child_vitA","Gambia","Anaemia and haemoglobin","drop",0.580422691879867
"level","child_vitA","Gambia","Anaemia and haemoglobin","only",0.699666295884316
"level","child_vitA","Ghana","Anaemia and haemoglobin","drop",0.38122332859175
"level","child_vitA","Ghana","Anaemia and haemoglobin","only",0.189615931721195
"level","child_vitA","Malawi","Anaemia and haemoglobin","drop",0.257527156083692
"level","child_vitA","Malawi","Anaemia and haemoglobin","only",0.127597142232267
"level","child_vitA","SierraLeone","Anaemia and haemoglobin","drop",0.0417582417582418
"level","child_vitA","SierraLeone","Anaemia and haemoglobin","only",-0.0769230769230769
"level","child_vitA","Gambia","Built environment","drop",0.607119021134594
"level","child_vitA","Gambia","Built environment","only",0.158620689655172
"level","child_vitA","Ghana","Built environment","drop",0.38022759601707
"level","child_vitA","Ghana","Built environment","only",0.415903271692745
"level","child_vitA","Malawi","Built environment","drop",0.258839396369469
"level","child_vitA","Malawi","Built environment","only",0.123605744696362
"level","child_vitA","SierraLeone","Built environment","drop",0.00659340659340659
"level","child_vitA","SierraLeone","Built environment","only",0.156043956043956
"level","child_vitA","Gambia","Child anthropometry","drop",0.53503893214683
"level","child_vitA","Gambia","Child anthropometry","only",0.77174638487208
"level","child_vitA","Ghana","Child anthropometry","drop",0.377411095305832
"level","child_vitA","Ghana","Child anthropometry","only",0.374509246088193
"level","child_vitA","Malawi","Child anthropometry","drop",0.274640956477364
"level","child_vitA","Malawi","Child anthropometry","only",0.200080192461909
"level","child_vitA","SierraLeone","Child anthropometry","drop",0.0813186813186813
"level","child_vitA","SierraLeone","Child anthropometry","only",0.107692307692308
"level","child_vitA","Gambia","Climate and weather","drop",0.5559510567297
"level","child_vitA","Gambia","Climate and weather","only",0.783759733036707
"level","child_vitA","Ghana","Climate and weather","drop",0.369018492176387
"level","child_vitA","Ghana","Climate and weather","only",0.340881934566145
"level","child_vitA","Malawi","Climate and weather","drop",0.230844936939564
"level","child_vitA","Malawi","Climate and weather","only",0.267259604869869
"level","child_vitA","SierraLeone","Climate and weather","drop",0.0373626373626374
"level","child_vitA","SierraLeone","Climate and weather","only",0.494505494505494
"level","child_vitA","Gambia","Ecosystem productivity/greenness","drop",0.615572858731924
"level","child_vitA","Gambia","Ecosystem productivity/greenness","only",0.525250278086763
"level","child_vitA","Ghana","Ecosystem productivity/greenness","drop",0.381166429587482
"level","child_vitA","Ghana","Ecosystem productivity/greenness","only",0.2724893314367
"level","child_vitA","Malawi","Ecosystem productivity/greenness","drop",0.255595246774076
"level","child_vitA","Malawi","Ecosystem productivity/greenness","only",0.202066778450098
"level","child_vitA","SierraLeone","Ecosystem productivity/greenness","drop",0.00659340659340659
"level","child_vitA","SierraLeone","Ecosystem productivity/greenness","only",0.406593406593407
"level","child_vitA","Gambia","Education, employment, SES","drop",0.602669632925473
"level","child_vitA","Gambia","Education, employment, SES","only",0.499888765294772
"level","child_vitA","Ghana","Education, employment, SES","drop",0.373854907539118
"level","child_vitA","Ghana","Education, employment, SES","only",0.376130867709815
"level","child_vitA","Malawi","Education, employment, SES","drop",0.264088357512576
"level","child_vitA","Malawi","Education, employment, SES","only",0.186082962746956
"level","child_vitA","SierraLeone","Education, employment, SES","drop",0.0637362637362637
"level","child_vitA","SierraLeone","Education, employment, SES","only",-0.274725274725275
"level","child_vitA","Gambia","Food fortification and supplementation","drop",0.610233592880979
"level","child_vitA","Gambia","Food fortification and supplementation","only",0.0775402012683499
"level","child_vitA","Ghana","Food fortification and supplementation","drop",0.375647226173542
"level","child_vitA","Ghana","Food fortification and supplementation","only",0.316572033677976
"level","child_vitA","Malawi","Food fortification and supplementation","drop",0.270449077786688
"level","child_vitA","Malawi","Food fortification and supplementation","only",0.0700175358661883
"level","child_vitA","SierraLeone","Food fortification and supplementation","drop",0.010989010989011
"level","child_vitA","SierraLeone","Food fortification and supplementation","only",0.0945054945054945
