"target","domain","cells","drop","only","full","delta_drop"
"level","Climate and weather",22,0.277,0.335,0.302,0.025
"level","Soil characteristics",22,0.277,0.327,0.302,0.025
"level","Anaemia and haemoglobin",22,0.282,0.17,0.302,0.02
"level","Agricultural production, land use",22,0.291,0.179,0.302,0.012
"level","Infection and inflammation burden",22,0.293,0.145,0.302,0.01
"level","Livestock density",22,0.294,0.236,0.302,0.009
"level","Ecosystem productivity/greenness",22,0.295,0.214,0.302,0.008
"level","Household assets and characteristics",22,0.296,0.163,0.302,0.007
"level","Built environment",22,0.298,0.092,0.302,0.004
"level","Immunisation",22,0.299,-0.013,0.302,0.003
"level","Satellite embedding",22,0.299,0.204,0.302,0.003
"level","Child anthropometry",22,0.301,0.201,0.302,0.001
"level","Water and coast proximity",22,0.301,-0.013,0.302,0.001
"level","Food fortification and supplementation",22,0.302,0.032,0.302,0
"level","Food prices and supply",22,0.303,0.012,0.302,-0.001
"level","Conflict and insecurity",22,0.304,-0.022,0.302,-0.002
"level","Ruralness, population density, built environment",22,0.307,-0.085,0.302,-0.005
"level","Infant and young child feeding",22,0.308,0.047,0.302,-0.006
"level","Household diet and consumption (HCES)",22,0.311,-0.14,0.302,-0.009
"level","Water and sanitation",22,0.312,0.031,0.302,-0.01
"level","Education, employment, SES",22,0.315,0.097,0.302,-0.013
"prev","Infection and inflammation burden",22,0.199,0.127,0.223,0.024
"prev","Soil characteristics",22,0.199,0.228,0.223,0.024
"prev","Climate and weather",22,0.209,0.264,0.223,0.014
"prev","Agricultural production, land use",22,0.213,0.183,0.223,0.01
"prev","Livestock density",22,0.213,0.138,0.223,0.01
"prev","Anaemia and haemoglobin",22,0.22,0.157,0.223,0.004
"prev","Water and coast proximity",22,0.221,0.116,0.223,0.003
"prev","Child anthropometry",22,0.223,0.157,0.223,0
"prev","Food fortification and supplementation",22,0.223,-0.108,0.223,0
"prev","Food prices and supply",22,0.225,0.042,0.223,-0.002
"prev","Household diet and consumption (HCES)",22,0.227,-0.093,0.223,-0.004
"prev","Conflict and insecurity",22,0.228,-0.007,0.223,-0.005
"prev","Infant and young child feeding",22,0.229,0.091,0.223,-0.006
"prev","Household assets and characteristics",22,0.23,0.106,0.223,-0.007
"prev","Ruralness, population density, built environment",22,0.231,0.001,0.223,-0.007
"prev","Immunisation",22,0.233,-0.073,0.223,-0.01
"prev","Satellite embedding",22,0.234,0.112,0.223,-0.011
"prev","Water and sanitation",22,0.236,-0.019,0.223,-0.012
"prev","Ecosystem productivity/greenness",22,0.236,0.117,0.223,-0.013
"prev","Built environment",22,0.238,0.048,0.223,-0.015
"prev","Education, employment, SES",22,0.239,0.004,0.223,-0.016
