"target","outcome","representation","learner","country","n_areas","n_predictors","spearman","topk"
"prev","child_vitA","mean1","enet","Gambia",30,19,0.0525671404604729,0.25
"prev","child_vitA","mean1","enet","Ghana",75,19,0.326231192429917,0.473684210526316
"prev","child_vitA","mean1","enet","Malawi",87,19,0.271270963483751,0.409090909090909
"prev","child_vitA","mean1","enet","SierraLeone",14,19,-0.221978021978022,0.25
"prev","child_vitA","mean1","index","Gambia",30,19,0.572224507809131,0.5
"prev","child_vitA","mean1","index","Ghana",75,19,0.355347160922648,0.421052631578947
"prev","child_vitA","mean1","index","Malawi",87,19,0.215583167000615,0.363636363636364
"prev","child_vitA","mean1","index","SierraLeone",14,19,-0.314285714285714,0.25
"prev","child_vitA","pc1","enet","Gambia",30,18,0.00935516906499942,0.25
"prev","child_vitA","pc1","enet","Ghana",75,18,0.336775661256583,0.421052631578947
"prev","child_vitA","pc1","enet","Malawi",87,18,0.245330921532205,0.363636363636364
"prev","child_vitA","pc1","enet","SierraLeone",14,18,-0.182417582417582,0.25
"prev","child_vitA","pc1","index","Gambia",30,18,0.603631146813058,0.5
"prev","child_vitA","pc1","index","Ghana",75,18,0.349909494870152,0.421052631578947
"prev","child_vitA","pc1","index","Malawi",87,18,0.201742131772157,0.318181818181818
"prev","child_vitA","pc1","index","SierraLeone",14,18,-0.27032967032967,0.25
"prev","child_vitA","pc12","enet","Gambia",30,36,-0.15436028957249,0.125
"prev","child_vitA","pc12","enet","Ghana",75,36,0.337451773173163,0.421052631578947
"prev","child_vitA","pc12","enet","Malawi",87,36,0.0738029890826938,0.227272727272727
"prev","child_vitA","pc12","enet","SierraLeone",14,36,-0.125274725274725,0
"prev","child_vitA","pc12","index","Gambia",30,36,0.584475324441868,0.625
"prev","child_vitA","pc12","index","Ghana",75,36,0.346111759849361,0.421052631578947
"prev","child_vitA","pc12","index","Malawi",87,36,0.219647900179811,0.409090909090909
"prev","child_vitA","pc12","index","SierraLeone",14,36,-0.195604395604396,0.25
"prev","child_vitA","pc123","enet","Gambia",30,54,0.012919042994523,0.375
"prev","child_vitA","pc123","enet","Ghana",75,54,0.323440432604033,0.421052631578947
"prev","child_vitA","pc123","enet","Malawi",87,54,0.0530699940843568,0.227272727272727
"prev","child_vitA","pc123","enet","SierraLeone",14,54,-0.0417582417582418,0.25
"prev","child_vitA","pc123","index","Gambia",30,54,0.534358347307943,0.625
"prev","child_vitA","pc123","index","Ghana",75,54,0.344054653379766,0.421052631578947
"prev","child_vitA","pc123","index","Malawi",87,54,0.227339479591499,0.363636363636364
"prev","child_vitA","pc123","index","SierraLeone",14,54,-0.230769230769231,0.25
"prev","child_vitA","pcvar","enet","Gambia",30,115,-0.0690500573845195,0.25
"prev","child_vitA","pcvar","enet","Ghana",75,115,0.261022355879745,0.473684210526316
"prev","child_vitA","pcvar","enet","Malawi",87,115,0.0929367447974126,0.318181818181818
"prev","child_vitA","pcvar","enet","SierraLeone",14,115,-0.323076923076923,0.25
"prev","child_vitA","pcvar","index","Gambia",30,115,0.576679350221036,0.75
"prev","child_vitA","pcvar","index","Ghana",75,115,0.342875053865732,0.526315789473684
"prev","child_vitA","pcvar","index","Malawi",87,115,0.223474651322755,0.409090909090909
"prev","child_vitA","pcvar","index","SierraLeone",14,115,-0.2,0.25
"prev","child_vitA","sup1","enet","Gambia",30,18,0.394921779815333,0.5
"prev","child_vitA","sup1","enet","Ghana",75,18,0.187239844812938,0.263157894736842
"prev","child_vitA","sup1","enet","Malawi",87,18,0.115887732373625,0.272727272727273
"prev","child_vitA","sup1","enet","SierraLeone",14,18,-0.134065934065934,0.25
"prev","child_vitA","sup1","index","Gambia",30,18,0.499387834374493,0.625
"prev","child_vitA","sup1","index","Ghana",75,18,0.362813162724885,0.473684210526316
"prev","child_vitA","sup1","index","Malawi",87,18,0.23003343624188,0.409090909090909
"prev","child_vitA","sup1","index","SierraLeone",14,18,-0.279120879120879,0.25
"prev","child_vitA","raw","enet","Gambia",30,382,0.157478679260824,0.375
"prev","child_vitA","raw","enet","Ghana",75,382,0.0716678631575028,0.263157894736842
"prev","child_vitA","raw","enet","Malawi",87,382,0.108053363740185,0.181818181818182
"prev","child_vitA","raw","enet","SierraLeone",14,382,-0.0241758241758242,0.25
"prev","women_vitA","mean1","enet","Gambia",30,19,NA,0.125
"prev","women_vitA","mean1","enet","Ghana",75,19,NA,0.421052631578947
"prev","women_vitA","mean1","enet","Malawi",87,19,0.106459774180251,0.227272727272727
"prev","women_vitA","mean1","enet","SierraLeone",14,19,-0.173853424131237,0
"prev","women_vitA","mean1","index","Gambia",30,19,0.471907130978188,0.5
"prev","women_vitA","mean1","index","Ghana",75,19,0.149327901948339,0.263157894736842
"prev","women_vitA","mean1","index","Malawi",87,19,0.141325547518156,0.272727272727273
"prev","women_vitA","mean1","index","SierraLeone",14,19,-0.109802162609203,0.25
"prev","women_vitA","pc1","enet","Gambia",30,18,NA,0.125
"prev","women_vitA","pc1","enet","Ghana",75,18,0.100562312476254,0.210526315789474
"prev","women_vitA","pc1","enet","Malawi",87,18,-0.00621870289503613,0.227272727272727
"prev","women_vitA","pc1","enet","SierraLeone",14,18,-0.35456948342555,0
"prev","women_vitA","pc1","index","Gambia",30,18,0.522594321575547,0.375
"prev","women_vitA","pc1","index","Ghana",75,18,0.142195823049314,0.263157894736842
"prev","women_vitA","pc1","index","Malawi",87,18,0.130387575167242,0.227272727272727
