"target","learner","representation","cells","n_pred","mean_spearman","median_spearman","positive","mean_topk"
"level","enet","raw",22,400,0.32,0.356,20,0.435
"level","enet","pc123",22,66,0.309,0.284,20,0.434
"level","enet","pc12",22,44,0.282,0.279,19,0.412
"level","enet","pcvar",22,123,0.237,0.247,18,0.388
"level","enet","pc1",22,22,0.213,0.341,15,0.366
"level","enet","sup1",22,22,0.213,0.176,18,0.378
"level","enet","mean1",22,23,0.199,0.316,15,0.368
"level","index","pcvar",22,123,0.274,0.294,17,0.431
"level","index","pc123",22,66,0.267,0.283,18,0.437
"level","index","pc12",22,44,0.255,0.281,18,0.419
"level","index","sup1",22,22,0.247,0.224,18,0.409
"level","index","pc1",22,22,0.233,0.257,18,0.387
"level","index","mean1",22,23,0.181,0.143,15,0.361
"prev","enet","sup1",22,22,0.133,0.131,16,0.356
"prev","enet","pc1",22,22,0.117,0.143,14,0.267
"prev","enet","pcvar",22,123,0.114,0.126,16,0.296
"prev","enet","pc12",22,44,0.107,0.084,13,0.297
"prev","enet","mean1",22,23,0.099,0.133,12,0.292
"prev","enet","raw",22,400,0.079,0.063,13,0.259
"prev","enet","pc123",22,66,0.068,0.105,13,0.289
"prev","index","pcvar",22,123,0.176,0.191,15,0.335
"prev","index","pc123",22,66,0.167,0.186,15,0.306
"prev","index","pc12",22,44,0.163,0.188,15,0.311
"prev","index","pc1",22,22,0.144,0.154,14,0.308
"prev","index","sup1",22,22,0.14,0.174,15,0.319
"prev","index","mean1",22,23,0.12,0.203,13,0.299
