"country","Admin1","Admin2","n_clusters","date_med","date_first","date_last","month_med","year_med","month_first","month_last","n_months"
"Gambia","Banjul","Banjul",13,2018-01-31,2018-01-31,2018-01-31,1,2018,1,1,1
"Gambia","Banjul","Kanifing",8,2018-02-08,2018-02-08,2018-02-08,2,2018,2,2,1
"Gambia","Lower River","Jarra East",2,2018-03-06,2018-03-06,2018-03-06,3,2018,3,3,1
"Gambia","Lower River","Jarra West",3,2018-03-24,2018-03-24,2018-03-24,3,2018,3,3,1
"Gambia","Lower River","Kiang Central",1,2018-02-23,2018-02-23,2018-02-23,2,2018,2,2,1
"Gambia","Lower River","Kiang East",1,2018-02-21,2018-02-21,2018-02-21,2,2018,2,2,1
"Gambia","Maccarthy Island","Fulladu West",5,2018-03-07,2018-03-07,2018-03-07,3,2018,3,3,1
"Gambia","Maccarthy Island","Lower Saloum",2,2018-02-27,2018-02-27,2018-02-27,2,2018,2,2,1
"Gambia","Maccarthy Island","Niamina Dankunku",1,2018-02-25,2018-02-25,2018-02-25,2,2018,2,2,1
"Gambia","Maccarthy Island","Niamina East",1,2018-04-10,2018-04-10,2018-04-10,4,2018,4,4,1
"Gambia","Maccarthy Island","Niani",3,2018-03-25,2018-03-25,2018-03-25,3,2018,3,3,1
"Gambia","Maccarthy Island","Nianija",2,2018-03-24,2018-03-24,2018-03-24,3,2018,3,3,1
"Gambia","Maccarthy Island","Sami",1,2018-03-09,2018-03-09,2018-03-09,3,2018,3,3,1
"Gambia","Maccarthy Island","Upper Saloum",1,2018-03-01,2018-03-01,2018-03-01,3,2018,3,3,1
"Gambia","North Bank","Central Baddibu",1,2018-03-19,2018-03-19,2018-03-19,3,2018,3,3,1
"Gambia","North Bank","Jokadu",1,2018-03-14,2018-03-14,2018-03-14,3,2018,3,3,1
"Gambia","North Bank","Lower Baddibu",1,2018-03-06,2018-03-06,2018-03-06,3,2018,3,3,1
"Gambia","North Bank","Lower Nuimi",2,2018-04-14,2018-04-14,2018-04-14,4,2018,4,4,1
"Gambia","North Bank","Upper Baddibu",2,2018-04-11,2018-04-11,2018-04-11,4,2018,4,4,1
"Gambia","North Bank","Upper Nuimi",1,2018-03-30,2018-03-30,2018-03-30,3,2018,3,3,1
"Gambia","Upper River","Fulladu East",5,2018-03-19,2018-03-19,2018-03-19,3,2018,3,3,1
"Gambia","Upper River","Kantora",1,2018-02-21,2018-02-21,2018-02-21,2,2018,2,2,1
"Gambia","Upper River","Sandu",1,2018-03-25,2018-03-25,2018-03-25,3,2018,3,3,1
"Gambia","Upper River","Wuli",1,2018-04-05,2018-04-05,2018-04-05,4,2018,4,4,1
"Gambia","Western","Foni Bintang Karanai",1,2018-03-18,2018-03-18,2018-03-18,3,2018,3,3,1
"Gambia","Western","Foni Brefet",1,2018-03-22,2018-03-22,2018-03-22,3,2018,3,3,1
"Gambia","Western","Kombo Central",2,2018-03-26,2018-03-26,2018-03-26,3,2018,3,3,1
"Gambia","Western","Kombo East",1,2018-03-26,2018-03-26,2018-03-26,3,2018,3,3,1
"Gambia","Western","Kombo Saint Mary",4,2018-02-13,2018-02-13,2018-02-13,2,2018,2,2,1
