design,estimand,country,outcome,cell,target,model,max_degree,n,p,spearman_median,spearman_min,spearman_max,median_lambda,seconds_per_fit
pcs,infill,Ghana,child_iron,Ghana child_iron,level,PCHAR,1,75,99,0.5254054054054054,0.4474822190611664,0.5419345661450924,7.38905609893065,0.06684902509053549
pcs,infill,Ghana,child_iron,Ghana child_iron,level,PCHAL,1,75,99,0.459402560455192,0.4440113798008535,0.4780654338549075,0.1946867083315101,0.06389815012613932
pcs,infill,Ghana,child_iron,Ghana child_iron,level,ridge,1,75,99,0.5283641536273115,0.5225035561877667,0.5340825035561877,,0.0
pcs,infill,Ghana,child_iron,Ghana child_iron,prev,PCHAR,1,75,99,0.5066461845372701,0.4880137124836943,0.5292193173470044,7.38905609893065,0.07238502502441406
pcs,infill,Ghana,child_iron,Ghana child_iron,prev,PCHAL,1,75,99,0.45263343221644453,0.37090755479524307,0.4711374044627543,1.1993961020353858,0.07280112902323405
pcs,infill,Ghana,child_iron,Ghana child_iron,prev,ridge,1,75,99,0.4807748900077073,0.46970962882646505,0.5395564129537391,,0.0
pcs,country,Gambia,child_iron,Gambia child_iron,level,PCHAR,1,30,138,0.0424916573971079,,,7.38905609893065,2.360225200653076
pcs,country,Ghana,child_iron,Ghana child_iron,level,PCHAR,1,75,138,0.5870839260312944,,,7.38905609893065,1.0933043956756592
pcs,country,Malawi,child_iron,Malawi child_iron,level,PCHAR,1,87,138,0.06482831522927752,,,7.38905609893065,0.7723760604858398
pcs,country,SierraLeone,child_iron,SierraLeone child_iron,level,PCHAR,1,14,138,-0.032967032967032975,,,7.38905609893065,3.296658515930176
pcs,country,Gambia,child_iron,Gambia child_iron,level,PCHAL,1,30,138,0.14616240266963293,,,0.4832250811898253,2.037729501724243
pcs,country,Ghana,child_iron,Ghana child_iron,level,PCHAL,1,75,138,0.6104978662873399,,,0.4832250811898253,1.3009569644927979
pcs,country,Malawi,child_iron,Malawi child_iron,level,PCHAL,1,87,138,-0.014981409929284826,,,1.1993961020353858,1.2252705097198486
pcs,country,SierraLeone,child_iron,SierraLeone child_iron,level,PCHAL,1,14,138,0.24835164835164836,,,0.4832250811898253,3.6977250576019287
pcs,country,Gambia,child_iron,Gambia child_iron,level,ridge,1,30,138,0.43759733036707454,,,,0.0
pcs,country,Ghana,child_iron,Ghana child_iron,level,ridge,1,75,138,0.5245803698435276,,,,0.0
pcs,country,Malawi,child_iron,Malawi child_iron,level,ridge,1,87,138,0.017059123715098053,,,,0.0
pcs,country,SierraLeone,child_iron,SierraLeone child_iron,level,ridge,1,14,138,0.1384615384615385,,,,0.0
pcs,country,Gambia,child_iron,Gambia child_iron,prev,PCHAR,1,30,138,0.30659695372722306,,,7.38905609893065,2.359006643295288
pcs,country,Ghana,child_iron,Ghana child_iron,prev,PCHAR,1,75,138,0.49242553919982834,,,7.38905609893065,1.401843547821045
pcs,country,Malawi,child_iron,Malawi child_iron,prev,PCHAR,1,87,138,-0.03472210830812906,,,7.38905609893065,1.0853779315948486
pcs,country,SierraLeone,child_iron,SierraLeone child_iron,prev,PCHAR,1,14,138,0.04175824175824176,,,7.38905609893065,4.452116012573242
pcs,country,Gambia,child_iron,Gambia child_iron,prev,PCHAL,1,30,138,0.33018133478316325,,,0.1946867083315101,2.5359206199645996
pcs,country,Ghana,child_iron,Ghana child_iron,prev,PCHAL,1,75,138,0.41155632716040036,,,1.1993961020353858,1.2316017150878906
pcs,country,Malawi,child_iron,Malawi child_iron,prev,PCHAL,1,87,138,-0.05172289892708167,,,1.1993961020353858,0.9508187770843506
pcs,country,SierraLeone,child_iron,SierraLeone child_iron,prev,PCHAL,1,14,138,0.22637362637362637,,,1.1993961020353858,6.516380786895752
pcs,country,Gambia,child_iron,Gambia child_iron,prev,ridge,1,30,138,0.559795308837223,,,,0.0
pcs,country,Ghana,child_iron,Ghana child_iron,prev,ridge,1,75,138,0.549350953818684,,,,0.0
