"country","outcome","r_max_emp","r_max_emp_lo","r_max_emp_hi","spearman","n_areas","gap","share"
"Malawi","women_zinc",0.7909,0.6781,0.8663,-0.18019975213239,87,0.97109975213239,-0.227841385930446
"Malawi","child_zinc",0.7985,0.7321,0.8594,-0.154430633520449,87,0.952930633520449,-0.193400918622979
"Malawi","child_vitA",0.6341,0.3943,0.7649,0.125249690165488,87,0.508850309834512,0.197523561213512
"Malawi","women_folate",0.8305,0.7462,0.8878,0.438113290078005,87,0.392386709921995,0.527529548558706
"Gambia","child_iron",0.7535,0.4771,0.8737,0.400044493882091,30,0.353455506117909,0.530915054919829
"Ghana","women_folate",0.7131,0.5395,0.8183,0.393675675675676,75,0.319424324324324,0.552062369479282
"Ghana","child_vitA",0.5923,0.2927,0.7545,0.296685633001423,75,0.295614366998577,0.500904327201457
"Ghana","child_iron",0.8108,0.7177,0.8655,0.593419630156472,75,0.217380369843528,0.73189396911257
"Malawi","child_iron",0.4487,0,0.6416,0.263689217758985,87,0.185010782241015,0.587673763670571
"Malawi","women_iron",0.3947,0,0.6291,0.219417511117591,87,0.175282488882409,0.555909579725338
"Gambia","women_iron",0.8237,0.6328,0.9169,0.658642936596218,30,0.165057063403782,0.7996150741729
"Gambia","child_vitA",0.7972,0.6226,0.9065,0.744738598442714,30,0.0524614015572861,0.93419292328489
"Ghana","women_iron",0.3839,0,0.6074,0.3670213371266,75,0.0168786628734,0.95603369920969
"Gambia","women_vitA",0.6441,0,0.8,0.720133481646274,30,-0.076033481646274,1.1180460823572
"Ghana","women_b12",0.4862,0,0.7295,0.582708392603129,75,-0.096508392603129,1.19849525422281
"Ghana","women_vitA",0.3925,0,0.6841,0.502054054054054,75,-0.109554054054054,1.27911860905491
"SierraLeone","child_iron",0.2505,0,0.7664,NA,14,NA,NA
"SierraLeone","child_vitA",0.1826,0,0.8373,NA,14,NA,NA
"SierraLeone","women_folate",0.8475,0.6779,0.9487,NA,14,NA,NA
"SierraLeone","women_iron",0.8214,0.4878,0.9345,NA,14,NA,NA
"SierraLeone","women_vitA",0.4521,0,0.7906,NA,14,NA,NA
