"scope","fit","country","outcome","target","n_train","column","beta","sd_tr","beta_std","share","rank","fold_sign_agree","loco_sign_agree","loco_fits","incountry_sign_agree","incountry_fits","domain"
"country","Gambia","Gambia","child_vitA","level",30,"access_healthcare_min",0.704616598296595,0.995831098714052,0.701679121253857,0.00187256445241899,221,1,NA,NA,NA,NA,"Built environment"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A00",0.0861522721949738,0.995831098714052,0.0857931118766328,-9.58713958746112e-05,394,0.6,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A01",1.05082965014375,0.995831098714052,1.04644884506395,0.00498084642170017,106,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A02",0.295442006383134,0.995831098714052,0.294210337822801,0.000633030151738043,319,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A03",0.899767770355871,0.995831098714052,0.89601672734098,0.00395978237435833,168,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A04",0.152435516598665,0.995831098714052,0.151800027977492,0.000240441574688298,365,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A05",0.108360411652179,0.995831098714052,0.107908667792696,0.000221303364913942,387,0.8,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A06",-1.09247256284131,0.995831098714052,-1.08791815256922,0.00454354197450275,87,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A07",0.54152478400967,0.995831098714052,0.539267220641239,0.00146726879513202,262,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A08",-0.295581994444293,0.995831098714052,-0.294349742287551,6.44618314488435e-05,318,1,NA,NA,NA,NA,"Satellite embedding"
"country","Gambia","Gambia","child_vitA","level",30,"aef_A09",-0.816521036072352,0.995831098714052,-0.813117040475067,0.00258769965413556,189,1,NA,NA,NA,NA,"Satellite embedding"
