"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Gambia","child_vitA","survey_only",1020,30,0.200980392156863,80,"SL.asl_ranger 4;SL.mean 1",0.569495735448152,0.161869493277395,-0.00798456265630354,0.248731672752321,1.23759173759691,0.0597623389047448
"Gambia","child_vitA","proxies_only",1020,30,0.200980392156863,91,"SL.asl_enet 2;SL.asl_ranger 3",0.5833278467754,0.162018419459084,-0.00891194736035517,0.238030532098439,1.18434703775809,0.0463695002949793
"Gambia","child_vitA","both",1020,30,0.200980392156863,171,"SL.asl_enet 4;SL.asl_ranger 1",0.60485410743678,0.160184063106604,0.00251085287379604,0.246148937512065,1.22474105493808,0.0565299586040572
"Gambia","women_vitA","survey_only",1413,30,0.02689313517339,80,"SL.asl_enet 1;SL.mean 4",0.42755980861244,0.0262088598761614,-0.00148894074808914,0.0276042732069689,1.02644310635387,0.000730791302870599
"Gambia","women_vitA","proxies_only",1413,30,0.02689313517339,91,"SL.asl_enet 3;SL.asl_ranger 1;SL.mean 1",0.66266028708134,0.0261522578073025,0.000673928840801974,0.0394615312470848,1.46734588558239,0.0129157408379133
"Gambia","women_vitA","both",1413,30,0.02689313517339,171,"SL.asl_enet 1;SL.mean 4",0.333291866028708,0.0263316061841084,-0.00617930387366772,0.0188916539392525,0.702471237267467,-0.00822261307915364
"Gambia","child_iron","survey_only",1013,30,0.622902270483712,80,"SL.asl_ranger 3;SL.mean 2",0.522489856539524,0.237490985363585,-0.0110515468655432,0.650759948035133,1.04472238884246,0.0738738936114913
"Gambia","child_iron","proxies_only",1013,30,0.622902270483712,91,"SL.asl_ranger 5",0.590675069075099,0.229843606141708,0.0215050345133608,0.67672206540556,1.08640166760037,0.142721079203749
"Gambia","child_iron","both",1013,30,0.622902270483712,171,"SL.asl_enet 1;SL.asl_ranger 3;SL.mean 1",0.559970876444769,0.23345177259402,0.00614427348332136,0.663829745082287,1.065704487747,0.108532805676326
"Gambia","women_iron","survey_only",1402,30,0.451497860199715,80,"SL.asl_enet 4;SL.asl_ranger 1",0.598055166945028,0.242760578620072,0.019733544563673,0.522539672813005,1.15734695305503,0.129519663568053
"Gambia","women_iron","proxies_only",1402,30,0.451497860199715,91,"SL.asl_enet 1;SL.asl_ranger 4",0.612765188166244,0.238819763505194,0.0356465436434675,0.559448139994873,1.23909366867743,0.196809222721472
"Gambia","women_iron","both",1402,30,0.451497860199715,171,"SL.asl_enet 3;SL.asl_ranger 2",0.601846430706463,0.240466260132041,0.0289979954258738,0.540477847229294,1.19707731724403,0.162223591437542
