"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Gambia","child_vitA","survey_only",1020,30,0.200980392156863,80,"SL.asl_ranger 4;SL.mean 1",0.569495735448152,0.161869493277395,-0.00798456265630354,0.248731672752321,1.23759173759691,0.0597623389047448
"Gambia","child_vitA","proxies_only",1020,30,0.200980392156863,91,"SL.asl_enet 3;SL.asl_ranger 2",0.579066287595391,0.162773458859206,-0.0136136860518807,0.238190349841812,1.18514222848121,0.0465695175934334
"Gambia","child_vitA","both",1020,30,0.200980392156863,171,"SL.asl_enet 3;SL.asl_ranger 2",0.614610204997756,0.158635402399107,0.0121545853297557,0.253909395106944,1.26335406345894,0.066242433139979
"Gambia","women_vitA","survey_only",1413,30,0.02689313517339,80,"SL.asl_enet 1;SL.mean 4",0.42755980861244,0.0262088598761614,-0.00148894074808914,0.0276042732069689,1.02644310635387,0.000730791302870599
"Gambia","women_vitA","proxies_only",1413,30,0.02689313517339,91,"SL.asl_enet 3;SL.asl_ranger 1;SL.mean 1",0.670373205741627,0.0261428374961873,0.00103389632679107,0.0399183745096325,1.48433324163449,0.0133852095869897
"Gambia","women_vitA","both",1413,30,0.02689313517339,171,"SL.asl_enet 2;SL.mean 3",0.54711004784689,0.0261081324941063,0.00236003855262623,0.0368590365306479,1.37057417415278,0.0102413226311313
"Gambia","child_iron","survey_only",1013,30,0.622902270483712,80,"SL.asl_ranger 3;SL.mean 2",0.522489856539524,0.237490985363585,-0.0110515468655432,0.650759948035133,1.04472238884246,0.0738738936114913
"Gambia","child_iron","proxies_only",1013,30,0.622902270483712,91,"SL.asl_ranger 4;SL.mean 1",0.584543357589134,0.231479001307724,0.0145427963054314,0.691295645664086,1.10979792243696,0.181367772402405
"Gambia","child_iron","both",1013,30,0.622902270483712,171,"SL.asl_enet 1;SL.asl_ranger 3;SL.mean 1",0.559896200662125,0.233218892608274,0.00713569498701305,0.65942752756951,1.05863721937863,0.0968588623767366
"Gambia","women_iron","survey_only",1402,30,0.451497860199715,80,"SL.asl_enet 4;SL.asl_ranger 1",0.598055166945028,0.242760578620072,0.019733544563673,0.522539672813005,1.15734695305503,0.129519663568053
"Gambia","women_iron","proxies_only",1402,30,0.451497860199715,91,"SL.asl_enet 1;SL.asl_ranger 4",0.613909449296084,0.238918373676042,0.0352483560827168,0.5611249767255,1.2428076103778,0.19986634248264
"Gambia","women_iron","both",1402,30,0.451497860199715,171,"SL.asl_enet 3;SL.asl_ranger 2",0.605396310836379,0.240282512903304,0.0297399661594826,0.536856671232486,1.18905695587353,0.155621655484974
