"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Ghana","child_vitA","survey_only",1165,75,0.149356223175966,73,"SL.asl_enet 2;SL.asl_ranger 2;SL.mean 1",0.56793613788464,0.12547395030748,0.012396730308003,0.209942172333104,1.40564730326475,0.0712236435601076
"Ghana","child_vitA","proxies_only",1165,75,0.149356223175966,94,"SL.asl_ranger 4;SL.mean 1",0.579424591437883,0.125516438272288,0.012062308279655,0.209036628256389,1.3995843213718,0.0701591038533738
"Ghana","child_vitA","both",1165,75,0.149356223175966,167,"SL.asl_enet 2;SL.asl_ranger 3",0.630557198696313,0.122201050389335,0.038157668356207,0.271171464888082,1.81560204939434,0.143203588894668
"Ghana","women_vitA","survey_only",992,75,0.0151209677419355,80,"SL.asl_enet 2;SL.mean 3",0.283248038212214,0.015050067369253,-0.0105922549066229,0.00935949008908685,0.61897427789161,-0.00584993432100906
"Ghana","women_vitA","proxies_only",992,75,0.0151209677419355,94,"SL.mean 5",0.306175366769021,0.0149924913098475,-0.006726098146282,0.0096873330056856,0.640655622776008,-0.00551705799218003
"Ghana","women_vitA","both",992,75,0.0151209677419355,174,"SL.asl_enet 2;SL.mean 3",0.264414875469123,0.0150394701950723,-0.00988066858025416,0.00912773064799218,0.603647253520549,-0.00608525199303149
"Ghana","child_iron","survey_only",1165,75,0.23862660944206,73,"SL.asl_enet 5",0.759832269471908,0.155885797997814,0.141994670469603,0.44899800007968,1.88159233846341,0.276305152303074
"Ghana","child_iron","proxies_only",1165,75,0.23862660944206,94,"SL.asl_ranger 5",0.675743959511083,0.168359890015477,0.0733364760113885,0.383731358288701,1.60808285038251,0.190582900119884
"Ghana","child_iron","both",1165,75,0.23862660944206,167,"SL.asl_enet 3;SL.asl_ranger 2",0.764783888785251,0.155273150150227,0.145366723120363,0.456023183959168,1.91103240759867,0.285532141276698
"Ghana","women_iron","survey_only",981,75,0.135575942915392,80,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.571876329975883,0.116401435714114,0.00677221879636747,0.177036796870693,1.30581276488835,0.0479635586440447
"Ghana","women_iron","proxies_only",981,75,0.135575942915392,94,"SL.asl_ranger 5",0.622969570151795,0.114116647830404,0.0262678099489683,0.210639000273823,1.55366059600466,0.0868359189488449
"Ghana","women_iron","both",981,75,0.135575942915392,174,"SL.asl_enet 1;SL.asl_ranger 4",0.597332068378493,0.116425317674754,0.00656843929286155,0.195530233319496,1.44221923974756,0.0693574986868222
"Ghana","women_folate","survey_only",475,75,0.547368421052632,80,"SL.asl_ranger 4;SL.mean 1",0.540500894454383,0.250853199111448,-0.0125000545531382,0.560657780211884,1.02427863692556,0.0293602120960231
"Ghana","women_folate","proxies_only",475,75,0.547368421052632,94,"SL.asl_ranger 4;SL.mean 1",0.556404293381038,0.245894392038127,0.00751480852231667,0.597382337606692,1.09137157831992,0.110495862154319
"Ghana","women_folate","both",475,75,0.547368421052632,174,"SL.asl_ranger 4;SL.mean 1",0.548407871198569,0.245876030951797,0.00758891800537931,0.590539014130459,1.07886935273834,0.095376891683572
"Ghana","women_b12","survey_only",473,75,0.0845665961945032,80,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.596102771362587,0.0769969058849764,0.00540180388337808,0.15203346785949,1.79779575743846,0.073699377130574
"Ghana","women_b12","proxies_only",473,75,0.0845665961945032,94,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.524451501154734,0.0779172905421823,-0.00648715333209582,0.0934849487621834,1.10545951911282,0.00974221885568762
"Ghana","women_b12","both",473,75,0.0845665961945032,174,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.515098152424942,0.0776798043146932,-0.00341945378302455,0.132704547547576,1.56923127475009,0.0525848752655971
