"target","outcome","heldout","arm","n_domains","spearman"
"level","child_vitA","Gambia","full",23,0.715684093437152
"level","child_vitA","Gambia","nested",3,0.74238042269188
"level","child_vitA","Gambia","fixed_cs",2,0.79265850945495
"level","child_vitA","Gambia","fixed_csa",3,0.785094549499444
"level","child_vitA","Ghana","full",23,0.361963015647226
"level","child_vitA","Ghana","nested",4,0.29524893314367
"level","child_vitA","Ghana","fixed_cs",2,0.218862019914651
"level","child_vitA","Ghana","fixed_csa",3,0.246884779516358
"level","child_vitA","Malawi","full",23,0.17994094918714
"level","child_vitA","Malawi","nested",5,0.232703944011081
"level","child_vitA","Malawi","fixed_cs",2,0.148629437923744
"level","child_vitA","Malawi","fixed_csa",3,0.0543668440621127
"level","child_vitA","SierraLeone","full",23,0.0681318681318681
"level","child_vitA","SierraLeone","nested",5,-0.0593406593406593
"level","child_vitA","SierraLeone","fixed_cs",2,0.428571428571429
"level","child_vitA","SierraLeone","fixed_csa",3,0.230769230769231
"level","women_vitA","Gambia","full",23,0.753058954393771
"level","women_vitA","Gambia","nested",4,0.648053392658509
"level","women_vitA","Gambia","fixed_cs",2,0.759733036707453
"level","women_vitA","Gambia","fixed_csa",3,0.781535038932147
"level","women_vitA","Ghana","full",23,0.326059743954481
"level","women_vitA","Ghana","nested",3,0.430924608819346
"level","women_vitA","Ghana","fixed_cs",2,0.414623044096728
"level","women_vitA","Ghana","fixed_csa",3,0.387396870554765
"level","women_vitA","Malawi","full",23,0.208154115331341
"level","women_vitA","Malawi","nested",5,-0.0904352263614493
"level","women_vitA","Malawi","fixed_cs",2,0.223755194284464
"level","women_vitA","Malawi","fixed_csa",3,0.156120142888387
"level","women_vitA","SierraLeone","full",23,-0.120879120879121
"level","women_vitA","SierraLeone","nested",5,-0.0153846153846154
"level","women_vitA","SierraLeone","fixed_cs",2,0.252747252747253
"level","women_vitA","SierraLeone","fixed_csa",3,0.296703296703297
"level","child_iron","Gambia","full",23,0.496774193548387
"level","child_iron","Gambia","nested",5,0.546162402669633
"level","child_iron","Gambia","fixed_cs",2,0.550611790878754
"level","child_iron","Gambia","fixed_csa",3,0.621357063403782
"level","child_iron","Ghana","full",23,0.516045519203414
"level","child_iron","Ghana","nested",4,0.51823613086771
"level","child_iron","Ghana","fixed_cs",2,0.560284495021337
"level","child_iron","Ghana","fixed_csa",3,0.573541963015647
"level","child_iron","Malawi","full",23,-0.0576656703360793
"level","child_iron","Malawi","nested",5,-0.0125938616315521
"level","child_iron","Malawi","fixed_cs",2,0.190548224830502
"level","child_iron","Malawi","fixed_csa",3,0.203050958664431
"level","child_iron","SierraLeone","full",23,0.252747252747253
"level","child_iron","SierraLeone","nested",4,0.402197802197802
"level","child_iron","SierraLeone","fixed_cs",2,0.327472527472527
"level","child_iron","SierraLeone","fixed_csa",3,0.507692307692308
"level","women_iron","Gambia","full",23,0.410456062291435
"level","women_iron","Gambia","nested",4,0.584872080088988
"level","women_iron","Gambia","fixed_cs",2,0.729477196885428
"level","women_iron","Gambia","fixed_csa",3,0.780645161290323
"level","women_iron","Ghana","full",23,0.255391180654339
"level","women_iron","Ghana","nested",5,0.239687055476529
"level","women_iron","Ghana","fixed_cs",2,0.358065433854908
"level","women_iron","Ghana","fixed_csa",3,0.352660028449502
"level","women_iron","Malawi","full",23,0.274221768608296
"level","women_iron","Malawi","nested",5,0.161423780710068
"level","women_iron","Malawi","fixed_cs",2,0.219617992272363
"level","women_iron","Malawi","fixed_csa",3,0.205584311438361
"level","women_iron","SierraLeone","full",23,-0.032967032967033
"level","women_iron","SierraLeone","nested",5,0.164835164835165
"level","women_iron","SierraLeone","fixed_cs",2,0.0593406593406593
"level","women_iron","SierraLeone","fixed_csa",3,0.16043956043956
"level","women_folate","Ghana","full",23,-0.109985775248933
"level","women_folate","Ghana","nested",5,0.0143954480796586
"level","women_folate","Ghana","fixed_cs",2,0.0845234708392603
"level","women_folate","Ghana","fixed_csa",3,0.0282788051209104
"level","women_folate","Malawi","full",23,-0.070113727491434
"level","women_folate","Malawi","nested",2,-0.0125756360720274
"level","women_folate","Malawi","fixed_cs",2,0.275169497703579
"level","women_folate","Malawi","fixed_csa",3,0.221768608296275
"level","women_folate","SierraLeone","full",23,0.0769230769230769
"level","women_folate","SierraLeone","nested",5,0.454945054945055
"level","women_folate","SierraLeone","fixed_cs",2,0.151648351648352
"level","women_folate","SierraLeone","fixed_csa",3,0.314285714285714
"level","women_b12","Ghana","full",23,0.592631578947368
"level","women_b12","Ghana","nested",4,0.450867709815078
