"estimand","scheme","arm","cells","exact_admin2","within1_admin2","exact_admin1","within1_admin1"
"country","bands_5_20_40","transport_anchored_climate_soil",14,0.562594417077176,0.924935491437955,0.64484126984127,0.965443121693122
"country","bands_5_20_40","transport_anchored_full",14,0.552554539057002,0.917755102040816,0.652116402116402,0.953869047619048
"country","who20","transport_anchored_climate_soil",14,0.788062397372742,1,0.799437830687831,1
"country","who20","transport_anchored_full",14,0.764098053014309,1,0.798445767195767,1
"country","who_vitA","transport_anchored_climate_soil",8,0.495533661740558,0.873349753694581,0.614293981481482,0.973668981481482
"country","who_vitA","transport_anchored_full",8,0.500131362889984,0.871769293924466,0.552951388888889,0.978298611111111
"infill","bands_5_20_40","domain_index",16,0.608362068965517,0.900632183908046,0.654899691358025,0.946180555555556
"infill","bands_5_20_40","region_mean_jk",16,0.63176724137931,0.926379310344828,0.772569444444444,0.99170524691358
"infill","bands_5_20_40","spatial",16,0.644439655172414,0.938362068965517,0.693865740740741,0.968942901234568
"infill","bands_5_20_40","spatial_plus_domain",16,0.640272988505747,0.939080459770115,0.696952160493827,0.972029320987654
"infill","who20","domain_index",16,0.842284482758621,1,0.864583333333333,1
"infill","who20","region_mean_jk",16,0.837054597701149,1,0.909143518518518,1
"infill","who20","spatial",16,0.843864942528736,1,0.852237654320988,1
"infill","who20","spatial_plus_domain",16,0.845301724137931,1,0.855324074074074,1
"infill","who_vitA","domain_index",8,0.524080459770115,0.898333333333333,0.660108024691358,0.960648148148148
"infill","who_vitA","region_mean_jk",8,0.517183908045977,0.894109195402299,0.654706790123457,0.977237654320988
"infill","who_vitA","spatial",8,0.532183908045977,0.909913793103448,0.61304012345679,0.960648148148148
"infill","who_vitA","spatial_plus_domain",8,0.51801724137931,0.905747126436782,0.61304012345679,0.981481481481482
