"country","outcome","rep","fold","package","discrete_pick","w_domain_index","w_enet","w_rf","w_mean","w_hapc"
"Gambia","child_vitA",1,4,"SuperLearner","rf",0.178118658622956,0,0.124627625387225,0.697253715989819,NA
"Gambia","child_vitA",1,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",1,2,"SuperLearner","rf",0.30451381778273,0,0.471401488647676,0.224084693569595,NA
"Gambia","child_vitA",1,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",1,3,"SuperLearner","rf",0.146907190188127,0,0.853092809811873,0,NA
"Gambia","child_vitA",1,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",1,5,"SuperLearner","rf",0.109965569567125,0,0.890034430432875,0,NA
"Gambia","child_vitA",1,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",1,1,"SuperLearner","rf",0.319220678894051,0,0,0.680779321105949,NA
"Gambia","child_vitA",1,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",2,3,"SuperLearner","rf",0,0,0.858105563508017,0.141894436491983,NA
"Gambia","child_vitA",2,3,"mlr3superlearner","regr.enet",NA,NA,NA,NA,NA
"Gambia","child_vitA",2,5,"SuperLearner","rf",0.0383982948663849,0,0.961601705133615,0,NA
"Gambia","child_vitA",2,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",2,1,"SuperLearner","rf",0.327988024973099,0.534424298136451,0.13758767689045,0,NA
"Gambia","child_vitA",2,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",2,4,"SuperLearner","rf",0.0650160275561629,0,0.934983972443837,0,NA
"Gambia","child_vitA",2,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",2,2,"SuperLearner","rf",0.23959983426719,0.552510537896604,0,0.207889627836206,NA
"Gambia","child_vitA",2,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",3,5,"SuperLearner","mean",0.0931658103835576,0,0.409342144690982,0.49749204492546,NA
"Gambia","child_vitA",3,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",3,1,"SuperLearner","rf",0.418445190893582,0,0.119777981911872,0.461776827194546,NA
"Gambia","child_vitA",3,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",3,3,"SuperLearner","rf",0.37891229293015,0,0,0.62108770706985,NA
"Gambia","child_vitA",3,3,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Gambia","child_vitA",3,2,"SuperLearner","rf",0.365036237406666,0,0.0741391480896364,0.560824614503697,NA
"Gambia","child_vitA",3,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Gambia","child_vitA",3,4,"SuperLearner","rf",0.039460664239399,0,0.689096538113533,0.271442797647068,NA
