"country","outcome","rep","arm","n_areas","spearman","topk"
"Gambia","child_vitA",1,"mse_discrete",30,0.52611688884592,0.625
"Gambia","child_vitA",1,"mse_nnls",30,0.584029840200678,0.625
"Gambia","child_vitA",1,"rank_discrete",30,0.643724728520198,0.625
"Gambia","child_vitA",1,"rank_nnls",30,0.64550666548496,0.625
"Gambia","child_vitA",1,"domain_index",30,0.643724728520198,0.625
"Gambia","child_vitA",1,"enet",30,0.459962479029138,0.5
"Gambia","child_vitA",1,"rf",30,0.52611688884592,0.625
"Gambia","child_vitA",1,"mean",30,-0.19358197634098,0.125
"Gambia","child_vitA",2,"mse_discrete",30,0.540817868805204,0.625
"Gambia","child_vitA",2,"mse_nnls",30,0.59605791471282,0.5
"Gambia","child_vitA",2,"rank_discrete",30,0.620114063737104,0.625
"Gambia","child_vitA",2,"rank_nnls",30,0.624791648269604,0.625
"Gambia","child_vitA",2,"domain_index",30,0.620114063737104,0.625
"Gambia","child_vitA",2,"enet",30,0.328767369998551,0.375
"Gambia","child_vitA",2,"rf",30,0.540817868805204,0.625
"Gambia","child_vitA",2,"mean",30,-0.152684375705562,0.25
"Gambia","child_vitA",3,"mse_discrete",30,0.355941908711168,0.5
"Gambia","child_vitA",3,"mse_nnls",30,0.417641476116046,0.625
"Gambia","child_vitA",3,"rank_discrete",30,0.553514169679132,0.625
"Gambia","child_vitA",3,"rank_nnls",30,0.564428533588298,0.5
"Gambia","child_vitA",3,"domain_index",30,0.576233865979845,0.625
"Gambia","child_vitA",3,"enet",30,0.310502516109743,0.375
"Gambia","child_vitA",3,"rf",30,0.355941908711168,0.5
"Gambia","child_vitA",3,"mean",30,-0.437604326798976,0.125
"Gambia","child_vitA",4,"mse_discrete",30,0.464862805682233,0.5
"Gambia","child_vitA",4,"mse_nnls",30,0.568437891759012,0.5
"Gambia","child_vitA",4,"rank_discrete",30,0.6063040522602,0.625
"Gambia","child_vitA",4,"rank_nnls",30,0.633478590972818,0.625
"Gambia","child_vitA",4,"domain_index",30,0.607640504983772,0.625
"Gambia","child_vitA",4,"enet",30,0.358392072037716,0.625
"Gambia","child_vitA",4,"rf",30,0.464862805682233,0.5
"Gambia","child_vitA",4,"mean",30,-0.384437445972932,0
"Gambia","child_vitA",5,"mse_discrete",30,0.335757022754441,0.5
"Gambia","child_vitA",5,"mse_nnls",30,0.45662134722021,0.5
"Gambia","child_vitA",5,"rank_discrete",30,0.607195020742581,0.625
"Gambia","child_vitA",5,"rank_nnls",30,0.585589035044845,0.625
"Gambia","child_vitA",5,"domain_index",30,0.607195020742581,0.625
"Gambia","child_vitA",5,"enet",30,0.240784232363437,0.375
"Gambia","child_vitA",5,"rf",30,0.455284894496638,0.625
"Gambia","child_vitA",5,"mean",30,-0.192218722986466,0.375
"Gambia","women_vitA",1,"mse_discrete",30,0.140524592990629,0.125
"Gambia","women_vitA",1,"mse_nnls",30,0.373114041897225,0.25
"Gambia","women_vitA",1,"rank_discrete",30,0.460877973764874,0.375
"Gambia","women_vitA",1,"rank_nnls",30,0.441870277290864,0.5
"Gambia","women_vitA",1,"domain_index",30,0.461816625442603,0.5
"Gambia","women_vitA",1,"enet",30,0.198524829839655,0.375
"Gambia","women_vitA",1,"rf",30,0.294501963887432,0.25
"Gambia","women_vitA",1,"mean",30,-0.0746830486507854,0.375
"Gambia","women_vitA",2,"mse_discrete",30,0.269627694427617,0.25
"Gambia","women_vitA",2,"mse_nnls",30,0.399161625954201,0.375
"Gambia","women_vitA",2,"rank_discrete",30,0.457123367053958,0.5
"Gambia","women_vitA",2,"rank_nnls",30,0.44773685027667,0.5
"Gambia","women_vitA",2,"domain_index",30,0.457123367053958,0.5
"Gambia","women_vitA",2,"enet",30,0.194535560209308,0.25
"Gambia","women_vitA",2,"rf",30,0.269627694427617,0.25
"Gambia","women_vitA",2,"mean",30,-0.498365728496587,0.125
"Gambia","women_vitA",3,"mse_discrete",30,0.283238143754686,0.375
"Gambia","women_vitA",3,"mse_nnls",30,0.401273592229091,0.375
"Gambia","women_vitA",3,"rank_discrete",30,0.456184715376229,0.375
"Gambia","women_vitA",3,"rank_nnls",30,0.4202812887031,0.375
"Gambia","women_vitA",3,"domain_index",30,0.456184715376229,0.375
"Gambia","women_vitA",3,"enet",30,0.147368313403432,0.375
"Gambia","women_vitA",3,"rf",30,0.356922300456402,0.375
"Gambia","women_vitA",3,"mean",30,-0.26569930769991,0.25
"Gambia","women_vitA",4,"mse_discrete",30,0.30693909861734,0.125
"Gambia","women_vitA",4,"mse_nnls",30,0.404558873101142,0.375
"Gambia","women_vitA",4,"rank_discrete",30,0.452430108665314,0.375
"Gambia","women_vitA",4,"rank_nnls",30,0.446798198598941,0.375
"Gambia","women_vitA",4,"domain_index",30,0.457123367053958,0.5
"Gambia","women_vitA",4,"enet",30,0.120147414749295,0.25
"Gambia","women_vitA",4,"rf",30,0.318437581669518,0.375
"Gambia","women_vitA",4,"mean",30,-0.24559233306316,0
"Gambia","women_vitA",5,"mse_discrete",30,0.366778143072555,0.375
"Gambia","women_vitA",5,"mse_nnls",30,0.403620221423413,0.5
"Gambia","women_vitA",5,"rank_discrete",30,0.36630881723369,0.375
"Gambia","women_vitA",5,"rank_nnls",30,0.364666176797665,0.375
"Gambia","women_vitA",5,"domain_index",30,0.420750614541965,0.5
"Gambia","women_vitA",5,"enet",30,-0.0148416586058837,0.25
"Gambia","women_vitA",5,"rf",30,0.296144604323458,0.375
"Gambia","women_vitA",5,"mean",30,-0.209687021211821,0.25
"Gambia","child_iron",1,"mse_discrete",30,0.401824454594604,0.375
"Gambia","child_iron",1,"mse_nnls",30,0.478807434267768,0.375
"Gambia","child_iron",1,"rank_discrete",30,0.50639671022,0.375
"Gambia","child_iron",1,"rank_nnls",30,0.517521418265255,0.5
"Gambia","child_iron",1,"domain_index",30,0.50639671022,0.375
"Gambia","child_iron",1,"enet",30,0.241628658742935,0.375
"Gambia","child_iron",1,"rf",30,0.454333076568207,0.375
"Gambia","child_iron",1,"mean",30,-0.231495079460171,0.125
"Gambia","child_iron",2,"mse_discrete",30,0.453443099924587,0.5
"Gambia","child_iron",2,"mse_nnls",30,0.486149741577636,0.5
"Gambia","child_iron",2,"rank_discrete",30,0.525753702218743,0.5
"Gambia","child_iron",2,"rank_nnls",30,0.516186453299824,0.5
"Gambia","child_iron",2,"domain_index",30,0.525753702218743,0.5
"Gambia","child_iron",2,"enet",30,0.312264927121597,0.375
"Gambia","child_iron",2,"rf",30,0.426298812294165,0.5
"Gambia","child_iron",2,"mean",30,-0.147067462245285,0.25
"Gambia","child_iron",3,"mse_discrete",30,0.228723997410439,0.125
"Gambia","child_iron",3,"mse_nnls",30,0.326843922369587,0.25
"Gambia","child_iron",3,"rank_discrete",30,0.455000559050922,0.375
"Gambia","child_iron",3,"rank_nnls",30,0.408944267743567,0.25
"Gambia","child_iron",3,"domain_index",30,0.455445547372733,0.375
"Gambia","child_iron",3,"enet",30,0.132384025738532,0.25
"Gambia","child_iron",3,"rf",30,0.299254646417355,0.25
"Gambia","child_iron",3,"mean",30,-0.607334149642566,0
"Gambia","child_iron",4,"mse_discrete",30,0.555790413940931,0.625
"Gambia","child_iron",4,"mse_nnls",30,0.466792749578892,0.375
"Gambia","child_iron",4,"rank_discrete",30,0.50773167518543,0.5
"Gambia","child_iron",4,"rank_nnls",30,0.496606967140175,0.5
"Gambia","child_iron",4,"domain_index",30,0.50773167518543,0.5
"Gambia","child_iron",4,"enet",30,-0.143063745461977,0
"Gambia","child_iron",4,"rf",30,0.423628882363304,0.25
"Gambia","child_iron",4,"mean",30,-0.3268165827673,0.125
"Gambia","child_iron",5,"mse_discrete",30,0.380910003469525,0.375
"Gambia","child_iron",5,"mse_nnls",30,0.501724332840993,0.625
"Gambia","child_iron",5,"rank_discrete",30,0.516631441621634,0.5
"Gambia","child_iron",5,"rank_nnls",30,0.523528760609692,0.625
"Gambia","child_iron",5,"domain_index",30,0.515296476656203,0.5
"Gambia","child_iron",5,"enet",30,0.226276561640483,0.25
"Gambia","child_iron",5,"rf",30,0.380910003469525,0.375
"Gambia","child_iron",5,"mean",30,-0.145705726483755,0.125
"Gambia","women_iron",1,"mse_discrete",30,0.653910338900079,0.5
"Gambia","women_iron",1,"mse_nnls",30,0.686839474714033,0.5
"Gambia","women_iron",1,"rank_discrete",30,0.719546116367082,0.375
"Gambia","women_iron",1,"rank_nnls",30,0.707531431678207,0.375
"Gambia","women_iron",1,"domain_index",30,0.762264995260861,0.625
"Gambia","women_iron",1,"enet",30,0.602069199409191,0.5
"Gambia","women_iron",1,"rf",30,0.655022809704604,0.5
"Gambia","women_iron",1,"mean",30,-0.171578705952833,0.125
"Gambia","women_iron",2,"mse_discrete",30,0.67927467324326,0.625
"Gambia","women_iron",2,"mse_nnls",30,0.753810217146467,0.625
"Gambia","women_iron",2,"rank_discrete",30,0.694849264506616,0.625
"Gambia","women_iron",2,"rank_nnls",30,0.747357886480219,0.75
"Gambia","women_iron",2,"domain_index",30,0.775392150754261,0.75
"Gambia","women_iron",2,"enet",30,0.71376126818355,0.5
"Gambia","women_iron",2,"rf",30,0.699299147724718,0.625
"Gambia","women_iron",2,"mean",30,0.0422138086074429,0.375
"Gambia","women_iron",3,"mse_discrete",30,0.615196354902592,0.5
"Gambia","women_iron",3,"mse_nnls",30,0.706863949195492,0.625
"Gambia","women_iron",3,"rank_discrete",30,0.719101128045272,0.5
"Gambia","women_iron",3,"rank_nnls",30,0.705973972551871,0.625
"Gambia","women_iron",3,"domain_index",30,0.719101128045272,0.5
"Gambia","women_iron",3,"enet",30,0.662587611175377,0.625
"Gambia","women_iron",3,"rf",30,0.615196354902592,0.5
"Gambia","women_iron",3,"mean",30,-0.291411452967509,0.25
"Gambia","women_iron",4,"mse_discrete",30,0.723773505424279,0.625
"Gambia","women_iron",4,"mse_nnls",30,0.774724668271546,0.75
"Gambia","women_iron",4,"rank_discrete",30,0.753587722985562,0.625
"Gambia","women_iron",4,"rank_nnls",30,0.750472804732891,0.625
"Gambia","women_iron",4,"domain_index",30,0.787184341282231,0.625
"Gambia","women_iron",4,"enet",30,0.654800315543699,0.5
"Gambia","women_iron",4,"rf",30,0.746912898158409,0.625
"Gambia","women_iron",4,"mean",30,-0.155237876814468,0
"Gambia","women_iron",5,"mse_discrete",30,0.695961735311142,0.5
"Gambia","women_iron",5,"mse_nnls",30,0.769829796731634,0.625
"Gambia","women_iron",5,"rank_discrete",30,0.778729563167838,0.625
