"target","outcome","heldout","source","variant","n_cols","spearman"
"level","child_vitA","Gambia","ALL","full",382,0.714794215795328
"level","child_vitA","Ghana","ALL","full",382,0.360910384068279
"level","child_vitA","Malawi","ALL","full",382,0.180141430341911
"level","child_vitA","SierraLeone","ALL","full",382,0.0461538461538462
"level","child_vitA","Gambia","GEE","drop",306,0.691212458286986
"level","child_vitA","Gambia","GEE","only",76,0.717908787541713
"level","child_vitA","Ghana","GEE","drop",306,0.363357041251778
"level","child_vitA","Ghana","GEE","only",76,0.323556187766714
"level","child_vitA","Malawi","GEE","drop",306,0.129109863672815
"level","child_vitA","Malawi","GEE","only",76,0.252114164904863
"level","child_vitA","SierraLeone","GEE","drop",306,-0.0857142857142857
"level","child_vitA","SierraLeone","GEE","only",76,0.292307692307692
"level","child_vitA","Gambia","AlphaEarth","drop",318,0.725027808676307
"level","child_vitA","Gambia","AlphaEarth","only",64,0.522135706340378
"level","child_vitA","Ghana","AlphaEarth","drop",318,0.367368421052632
"level","child_vitA","Ghana","AlphaEarth","only",64,0.306799431009957
"level","child_vitA","Malawi","AlphaEarth","drop",318,0.162426186483925
"level","child_vitA","Malawi","AlphaEarth","only",64,0.202121455128672
"level","child_vitA","SierraLeone","AlphaEarth","drop",318,0.0461538461538462
"level","child_vitA","SierraLeone","AlphaEarth","only",64,0.389010989010989
"level","child_vitA","Gambia","DHS","drop",244,0.672969966629588
"level","child_vitA","Gambia","DHS","only",138,0.666740823136819
"level","child_vitA","Ghana","DHS","drop",244,0.334964438122333
"level","child_vitA","Ghana","DHS","only",138,0.344466983253196
"level","child_vitA","Malawi","DHS","drop",244,0.159455420281403
"level","child_vitA","Malawi","DHS","only",138,0.135087847196909
"level","child_vitA","SierraLeone","DHS","drop",244,0.0901098901098901
"level","child_vitA","SierraLeone","DHS","only",138,-0.16043956043956
"level","child_vitA","Gambia","SoilGrids/iSDA","drop",337,0.701001112347052
"level","child_vitA","Gambia","SoilGrids/iSDA","only",45,0.684983314794216
"level","child_vitA","Ghana","SoilGrids/iSDA","drop",337,0.381934566145092
"level","child_vitA","Ghana","SoilGrids/iSDA","only",45,0.107140825035562
"level","child_vitA","Malawi","SoilGrids/iSDA","drop",337,0.207352190712255
"level","child_vitA","Malawi","SoilGrids/iSDA","only",45,0.0209229423343297
"level","child_vitA","SierraLeone","SoilGrids/iSDA","drop",337,0.0505494505494506
"level","child_vitA","SierraLeone","SoilGrids/iSDA","only",45,0.248351648351648
"level","child_vitA","Gambia","MapSPAM","drop",370,0.718798665183537
"level","child_vitA","Gambia","MapSPAM","only",12,0.213348164627364
"level","child_vitA","Ghana","MapSPAM","drop",370,0.358065433854908
"level","child_vitA","Ghana","MapSPAM","only",12,0.0707573030862513
"level","child_vitA","Malawi","MapSPAM","drop",370,0.174473281329737
"level","child_vitA","Malawi","MapSPAM","only",12,0.0130333537023343
"level","child_vitA","SierraLeone","MapSPAM","drop",370,0.0505494505494506
"level","child_vitA","SierraLeone","MapSPAM","only",12,-0.476923076923077
"level","child_vitA","Gambia","Malaria Atlas","drop",359,0.737931034482759
"level","child_vitA","Gambia","Malaria Atlas","only",23,0.101223581757508
"level","child_vitA","Ghana","Malaria Atlas","drop",359,0.362645803698435
"level","child_vitA","Ghana","Malaria Atlas","only",23,0.00173541963015647
