"target","source","cells","n_cols","full","drop","only","delta_drop"
"level","SoilGrids/iSDA",22,45,0.273470634776685,0.252156072492422,0.328252685021747,0.0213145622842623
"level","Malaria Atlas",22,11,0.273470634776685,0.263935974946417,0.152151763371559,0.00953465983026791
"level","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",22,8,0.273470634776685,0.266696860350633,0.238326830192457,0.00677377442605132
"level","MapSPAM",22,12,0.273470634776685,0.26851146954249,0.183331119171835,0.00495916523419421
"level","GEE",22,76,0.273470634776685,0.270216614899986,0.274012505680618,0.00325401987669866
"level","Koppen/AEZ",22,5,0.273470634776685,0.271570596863949,-0.0305594602571467,0.00190003791273541
"level","IHME",22,17,0.273470634776685,0.273825012182852,0.214569095489489,-0.000354377406167561
"level","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",22,4,0.273470634776685,0.274034536283698,-0.0717280132986278,-0.000563901507013242
"level","AlphaEarth",22,64,0.273470634776685,0.274828554121418,0.205929884131728,-0.00135791934473334
"level","WFP prices",22,4,0.273470634776685,0.276478591891155,-0.0495352908144497,-0.00300795711447088
"level","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",22,5,0.273470634776685,0.281496702377591,-0.00645584120732318,-0.00802606760090646
"level","WorldPop/GHS",22,14,0.273470634776685,0.282566031040688,0.0561601427853292,-0.0090953962640033
"level","DHS",22,136,0.273470634776685,0.333855124083845,0.139663592102366,-0.0603844893071607
"prev","SoilGrids/iSDA",22,45,0.176836499681304,0.149622872644977,0.248595679822318,0.0272136270363269
"prev","Malaria Atlas",22,11,0.176836499681304,0.16806496064532,0.10754648723896,0.00877153903598435
"prev","MapSPAM",22,12,0.176836499681304,0.168325913262393,0.149249809124717,0.00851058641891059
"prev","IHME",22,17,0.176836499681304,0.171356933316509,0.10443092483425,0.00547956636479535
"prev","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",22,8,0.176836499681304,0.175926886043555,0.157665344279679,0.000909613637748413
"prev","WorldPop/GHS",22,14,0.176836499681304,0.176664169583656,0.0240131481711485,0.000172330097647944
"prev","Koppen/AEZ",22,5,0.176836499681304,0.177041811886716,-0.0790306054629181,-0.000205312205412533
"prev","WFP prices",22,4,0.176836499681304,0.177411538825821,0.0662701978939677,-0.000575039144517508
"prev","GEE",22,76,0.176836499681304,0.177668107369029,0.141985703586623,-0.000831607687725583
"prev","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",22,4,0.176836499681304,0.17875647046263,0.0104054932301265,-0.00191997078132627
"prev","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",22,5,0.176836499681304,0.180329442367115,0.103865102769334,-0.00349294268581135
"prev","AlphaEarth",22,64,0.176836499681304,0.182831843246204,0.0704482159907469,-0.00599534356490036
"prev","DHS",22,136,0.176836499681304,0.221143761652942,0.0354104546216577,-0.0443072619716377
