"target","outcome","heldout","arm","n_train_countries","train_set","n_train_areas","n_areas","spearman","topk"
"level","child_vitA","Gambia","domain_index",1,"Ghana",75,30,0.655172413793103,0.5
"level","child_vitA","Gambia","domain_enet",1,"Ghana",75,30,0.561290322580645,0.5
"level","child_vitA","Gambia","domain_index",1,"Malawi",87,30,0.454949944382647,0.375
"level","child_vitA","Gambia","domain_enet",1,"Malawi",87,30,0.377530589543938,0.375
"level","child_vitA","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.610233592880979,0.5
"level","child_vitA","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.737931034482759,0.5
"level","child_vitA","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.656062291434928,0.5
"level","child_vitA","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.62091212458287,0.5
"level","child_vitA","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,0.391323692992214,0.125
"level","child_vitA","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,0.282758620689655,0.125
"level","child_vitA","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.596885428253615,0.5
"level","child_vitA","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.688097886540601,0.5
"level","child_vitA","Ghana","domain_index",1,"Gambia",30,75,0.363271692745377,0.578947368421053
"level","child_vitA","Ghana","domain_enet",1,"Gambia",30,75,0.326344238975818,0.473684210526316
"level","child_vitA","Ghana","domain_index",1,"Malawi",87,75,0.335192034139403,0.473684210526316
"level","child_vitA","Ghana","domain_enet",1,"Malawi",87,75,0.228421052631579,0.368421052631579
"level","child_vitA","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.366458036984353,0.578947368421053
"level","child_vitA","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.342190611664296,0.526315789473684
"level","child_vitA","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.348051209103841,0.578947368421053
"level","child_vitA","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.325320056899004,0.473684210526316
"level","child_vitA","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.309075391180654,0.421052631578947
"level","child_vitA","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.328108108108108,0.526315789473684
"level","child_vitA","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.375618776671408,0.578947368421053
"level","child_vitA","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.346714082503556,0.526315789473684
"level","child_vitA","Malawi","domain_index",1,"Gambia",30,87,0.210851498140993,0.318181818181818
"level","child_vitA","Malawi","domain_enet",1,"Gambia",30,87,0.226288547058395,0.363636363636364
"level","child_vitA","Malawi","domain_index",1,"Ghana",75,87,0.237387912808923,0.409090909090909
"level","child_vitA","Malawi","domain_enet",1,"Ghana",75,87,0.192498359699643,0.363636363636364
"level","child_vitA","Malawi","domain_index",2,"Gambia+Ghana",105,87,0.231409929284829,0.409090909090909
"level","child_vitA","Malawi","domain_enet",2,"Gambia+Ghana",105,87,0.18898082671138,0.363636363636364
"level","child_vitA","Malawi","domain_index",2,"Gambia+SierraLeone",44,87,0.239483852154261,0.318181818181818
"level","child_vitA","Malawi","domain_enet",2,"Gambia+SierraLeone",44,87,0.190621127068601,0.363636363636364
"level","child_vitA","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.252405773857257,0.454545454545455
"level","child_vitA","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.159528322519501,0.363636363636364
"level","child_vitA","Malawi","domain_index",3,"Gambia+Ghana+SierraLeone",119,87,0.270376175548589,0.545454545454545
"level","child_vitA","Malawi","domain_enet",3,"Gambia+Ghana+SierraLeone",119,87,0.159710578114748,0.363636363636364
"level","child_vitA","SierraLeone","domain_index",1,"Gambia",30,14,0.0857142857142857,0.5
"level","child_vitA","SierraLeone","domain_enet",1,"Gambia",30,14,0.507692307692308,0.75
"level","child_vitA","SierraLeone","domain_index",1,"Ghana",75,14,-0.0901098901098901,0.5
"level","child_vitA","SierraLeone","domain_enet",1,"Ghana",75,14,0.116483516483516,0.5
"level","child_vitA","SierraLeone","domain_index",1,"Malawi",87,14,0.406593406593407,0.25
"level","child_vitA","SierraLeone","domain_enet",1,"Malawi",87,14,0.230769230769231,0.25
"level","child_vitA","SierraLeone","domain_index",2,"Gambia+Ghana",105,14,-0.010989010989011,0.5
"level","child_vitA","SierraLeone","domain_enet",2,"Gambia+Ghana",105,14,0.0153846153846154,0.25
"level","child_vitA","SierraLeone","domain_index",2,"Gambia+Malawi",117,14,0.221978021978022,0.5
"level","child_vitA","SierraLeone","domain_enet",2,"Gambia+Malawi",117,14,0.52967032967033,0.5
"level","child_vitA","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,0.142857142857143,0.5
"level","child_vitA","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,-0.103296703296703,0.25
"level","child_vitA","SierraLeone","domain_index",3,"Gambia+Ghana+Malawi",192,14,0.010989010989011,0.5
"level","child_vitA","SierraLeone","domain_enet",3,"Gambia+Ghana+Malawi",192,14,-0.112087912087912,0.25
"level","women_vitA","Gambia","domain_index",1,"Ghana",75,30,0.745939933259177,0.5
