"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"level","child_vitA","Gambia","full",1,"Ghana",0.763737486095662
"level","child_vitA","Gambia","climate_soil",1,"Ghana",0.757953281423804
"level","child_vitA","Gambia","full",1,"Malawi",0.475417130144605
"level","child_vitA","Gambia","climate_soil",1,"Malawi",0.203559510567297
"level","child_vitA","Gambia","full",2,"Ghana+Malawi",0.717463848720801
"level","child_vitA","Gambia","climate_soil",2,"Ghana+Malawi",0.794438264738598
"level","child_vitA","Gambia","full",2,"Ghana+SierraLeone",0.761512791991101
"level","child_vitA","Gambia","climate_soil",2,"Ghana+SierraLeone",0.752169076751947
"level","child_vitA","Gambia","full",2,"Malawi+SierraLeone",0.458509454949944
"level","child_vitA","Gambia","climate_soil",2,"Malawi+SierraLeone",0.596440489432703
"level","child_vitA","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.716129032258065
"level","child_vitA","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.79265850945495
"level","child_vitA","Ghana","full",1,"Gambia",0.369559032716927
"level","child_vitA","Ghana","climate_soil",1,"Gambia",0.289189189189189
"level","child_vitA","Ghana","full",1,"Malawi",0.361906116642959
"level","child_vitA","Ghana","climate_soil",1,"Malawi",0.0322332859174964
"level","child_vitA","Ghana","full",2,"Gambia+Malawi",0.361052631578947
"level","child_vitA","Ghana","climate_soil",2,"Gambia+Malawi",0.227368421052632
"level","child_vitA","Ghana","full",2,"Gambia+SierraLeone",0.337724039829303
"level","child_vitA","Ghana","climate_soil",2,"Gambia+SierraLeone",0.26628733997155
"level","child_vitA","Ghana","full",2,"Malawi+SierraLeone",0.340341394025604
"level","child_vitA","Ghana","climate_soil",2,"Malawi+SierraLeone",0.178805120910384
"level","child_vitA","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.355647226173542
"level","child_vitA","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.218862019914651
"level","child_vitA","Malawi","full",1,"Gambia",0.128581322446599
"level","child_vitA","Malawi","climate_soil",1,"Gambia",0.123095429029671
"level","child_vitA","Malawi","full",1,"Ghana",0.218305751986586
"level","child_vitA","Malawi","climate_soil",1,"Ghana",0.136691696435081
"level","child_vitA","Malawi","full",2,"Gambia+Ghana",0.169752861412845
"level","child_vitA","Malawi","climate_soil",2,"Gambia+Ghana",0.147973317780856
"level","child_vitA","Malawi","full",2,"Gambia+SierraLeone",0.122676241160604
"level","child_vitA","Malawi","climate_soil",2,"Gambia+SierraLeone",0.14206823649486
"level","child_vitA","Malawi","full",2,"Ghana+SierraLeone",0.211434716045783
"level","child_vitA","Malawi","climate_soil",2,"Ghana+SierraLeone",0.135379456149304
"level","child_vitA","Malawi","full",3,"Gambia+Ghana+SierraLeone",0.181799956258657
"level","child_vitA","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.148629437923744
"level","child_vitA","SierraLeone","full",1,"Gambia",-0.0813186813186813
"level","child_vitA","SierraLeone","climate_soil",1,"Gambia",0.476923076923077
"level","child_vitA","SierraLeone","full",1,"Ghana",0.0373626373626374
"level","child_vitA","SierraLeone","climate_soil",1,"Ghana",0.30989010989011
"level","child_vitA","SierraLeone","full",1,"Malawi",-0.2
"level","child_vitA","SierraLeone","climate_soil",1,"Malawi",0.345054945054945
"level","child_vitA","SierraLeone","full",2,"Gambia+Ghana",0.010989010989011
"level","child_vitA","SierraLeone","climate_soil",2,"Gambia+Ghana",0.371428571428571
"level","child_vitA","SierraLeone","full",2,"Gambia+Malawi",-0.00659340659340659
"level","child_vitA","SierraLeone","climate_soil",2,"Gambia+Malawi",0.446153846153846
"level","child_vitA","SierraLeone","full",2,"Ghana+Malawi",0.107692307692308
"level","child_vitA","SierraLeone","climate_soil",2,"Ghana+Malawi",0.424175824175824
