"estimand","target","arm","cells","scored","mean_spearman","median_spearman","cells_positive","mean_wmae"
"country","level","domain_index",22,22,0.275143470397347,0.277234614603036,17,NA
"country","level","domain_enet",22,22,0.257544489352477,0.228134879718047,20,NA
"country","level","index_soft1",22,22,0.299467817116673,0.302953746111641,18,NA
"country","level","index_soft2",22,22,0.289398665834455,0.28844403107561,17,NA
"country","level","index_meta",22,22,0.29060480951545,0.285166938347625,19,NA
"country","level","index_meta_agree",22,22,0.288151243414342,0.29431454266912,20,NA
"country","level","index_decor",22,22,0.296147259067098,0.301747296576571,20,NA
"country","level","ridge_min",22,22,0.289970843901081,0.255930016254796,19,NA
"country","level","ridge_nested",22,21,0.287304186296268,0.253499307428738,18,NA
"country","level","enet_1se",22,13,0.190003909017015,0.194977035794999,10,NA
"country","level","enet_nested",22,22,0.239696655104179,0.242338615674622,18,NA
"country","level","lasso_min",22,22,0.26827496874674,0.238530167073577,20,NA
"country","level","lasso_1se",22,16,0.251211869443204,0.252747252747253,13,NA
"country","level","lasso_nested",22,22,0.247187714775245,0.230993204870511,19,NA
"country","level","ridge_nested_1se",22,8,0.335078372438761,0.450611496918117,6,NA
"country","level","enet_nested_1se",22,17,0.280307415200355,0.279120879120879,13,NA
"country","level","lasso_nested_1se",22,17,0.276571531137867,0.27032967032967,13,NA
"country","level","sparse5",22,22,0.17991647626162,0.191979532095811,17,NA
"country","level","sparse10",22,22,0.220346470529809,0.211410196567389,18,NA
"country","level","sparse20",22,22,0.296657357951321,0.374702049896711,20,NA
"country","level","sparse10w",22,22,0.216389600931108,0.242668699376737,18,NA
"country","prev","domain_index",22,22,0.20702516291319,0.164942581543066,16,NA
"country","prev","domain_enet",22,22,0.183728945837775,0.174718944207903,18,NA
"country","prev","index_soft1",22,22,0.198661067546198,0.142274270380427,18,NA
"country","prev","index_soft2",22,22,0.144020722188397,0.0867739574035173,19,NA
"country","prev","index_meta",22,22,0.177666721354606,0.153262723775375,16,NA
"country","prev","index_meta_agree",22,22,0.145112089080064,0.12243745898933,17,NA
"country","prev","index_decor",22,22,0.19526973180648,0.144769800254788,18,NA
"country","prev","ridge_min",22,21,0.198939984304618,0.13980695490752,20,NA
"country","prev","ridge_nested",22,20,0.209510057189025,0.1398742861622,18,NA
"country","prev","enet_1se",22,7,0.180739248886978,0.12967032967033,6,NA
"country","prev","enet_nested",22,22,0.131779341815634,0.0927059724261338,15,NA
"country","prev","lasso_min",22,21,0.153039814581818,0.118776539918491,16,NA
"country","prev","lasso_1se",22,9,0.0890502186324666,0.134083235847511,6,NA
"country","prev","lasso_nested",22,22,0.12084612285023,0.0981039087335777,14,NA
"country","prev","ridge_nested_1se",22,7,0.114961805324485,0.0417582417582418,5,NA
"country","prev","enet_nested_1se",22,12,0.1474460663668,0.146561547285424,8,NA
"country","prev","lasso_nested_1se",22,12,0.127560405367806,0.0941066947196134,8,NA
"country","prev","sparse5",22,22,0.126398614690255,0.0946008880436832,18,NA
"country","prev","sparse10",22,22,0.158843623708956,0.172109870565419,16,NA
"country","prev","sparse20",22,22,0.198413140017238,0.19738511156437,17,NA
"country","prev","sparse10w",22,22,0.157164219535302,0.171972244884327,18,NA
"infill","level","domain_index",24,18,0.397516747966636,0.411282253925651,16,0.207749876681285
"infill","level","domain_enet",24,18,0.317792539261,0.341230423733284,16,0.179306236941146
"infill","level","index_soft1",24,18,0.398460038110404,0.405248476338039,16,0.209378874302236
"infill","level","index_soft2",24,18,0.379302858523713,0.363883908733865,16,0.213831249137968
"infill","level","index_meta",24,18,0.15218414780858,0.126813497532425,14,0.251520965384065
"infill","level","index_meta_agree",24,18,0.118904202244913,0.106574920450572,14,0.260036398962427
"infill","level","index_decor",24,18,0.396353661252876,0.418719707356306,16,0.207594352336046
"infill","level","ridge_min",24,18,0.348573869646004,0.379873448766371,16,0.170627605555682
"infill","level","ridge_nested",24,18,0.358320267853,0.378978302112194,16,0.171958086309423
"infill","level","enet_1se",24,18,0.164679859599916,0.0857602547673042,10,0.189447235978022
"infill","level","enet_nested",24,18,0.319821964025486,0.303264953177164,16,0.192809351866939
"infill","level","lasso_min",24,18,0.319085441995023,0.345192034139402,16,0.178976647230335
"infill","level","lasso_1se",24,18,0.191667648044192,0.18883256433238,12,0.188425845983381
"infill","level","lasso_nested",24,18,0.325592189193171,0.309459861821741,16,0.196112915964952
"infill","level","ridge_nested_1se",24,18,0.308896228911777,0.331341699406801,16,0.183523980267337
"infill","level","enet_nested_1se",24,18,0.322353253233839,0.305715535466939,16,0.183944637618689
"infill","level","lasso_nested_1se",24,18,0.323837264266042,0.31721586352701,16,0.18445856422656
"infill","level","sparse5",24,18,0.304252083688126,0.327220185045043,16,0.217003925639071
"infill","level","sparse10",24,18,0.331613799534881,0.358547761491669,16,0.208415881352801
"infill","level","sparse20",24,18,0.358524376577749,0.376529160739687,16,0.20278953811897
"infill","level","sparse10w",24,18,0.330666540986623,0.344826842147781,16,0.209958711280065
"infill","prev","domain_index",24,18,0.282224615277615,0.27100328715569,15,14.2041196959311
"infill","prev","domain_enet",24,18,0.151412020693359,0.0844021368904534,11,11.0936375837638
"infill","prev","index_soft1",24,18,0.27138327334511,0.246005423167483,15,14.3863171094395
"infill","prev","index_soft2",24,18,0.238391560802633,0.158494884497434,15,14.7370878585106
"infill","prev","index_meta",24,18,0.118157960363642,0.0717626479859801,15,15.613518195031
"infill","prev","index_meta_agree",24,18,0.0781691048903591,0.0640636773459614,13,16.1393988150732
"infill","prev","index_decor",24,18,0.276849796647624,0.274995978306093,15,14.3990929706068
"infill","prev","ridge_min",24,18,0.214649501504602,0.253602641641483,13,10.713378434058
"infill","prev","ridge_nested",24,18,0.23658981404393,0.257821111317227,15,10.9530637375961
"infill","prev","enet_1se",24,18,-0.0334724567894695,-0.145605240601267,5,11.3710297020196
"infill","prev","enet_nested",24,18,0.197629373941368,0.180707866896911,13,12.6850581846313
"infill","prev","lasso_min",24,18,0.153771778181817,0.160897748826943,11,11.0330721528757
"infill","prev","lasso_1se",24,18,-0.0199169734131817,-0.15065232025842,6,11.328939154835
"infill","prev","lasso_nested",24,18,0.197782321179825,0.172288043431661,13,13.0753652696814
"infill","prev","ridge_nested_1se",24,18,0.20666045488428,0.187079454685064,14,11.0871543136473
"infill","prev","enet_nested_1se",24,18,0.205335439202761,0.156987714525242,13,11.6453103236289
"infill","prev","lasso_nested_1se",24,18,0.201130110454101,0.146756063518193,13,11.7418242186797
"infill","prev","sparse5",24,18,0.193604554832065,0.225722105909922,14,14.3239416950202
"infill","prev","sparse10",24,18,0.22746711422567,0.250310274472607,14,13.7382396965045
"infill","prev","sparse20",24,18,0.255971066052701,0.226149305242279,14,13.8544654380578
"infill","prev","sparse10w",24,18,0.226025119086663,0.256154745793852,14,13.8755062473797
"region","level","domain_index",24,18,0.378650729876953,0.362059852737479,16,0.207918935326194
"region","level","domain_enet",24,18,0.262817551885673,0.233998720944232,16,0.189587583542138
"region","level","index_soft1",24,18,0.369834625366857,0.348509149230881,16,0.214035878503038
"region","level","index_soft2",24,18,0.352810117504561,0.317728281744025,16,0.215229318237328
"region","level","index_meta",24,18,0.11415080100567,0.0686568804831583,11,0.264914004906157
"region","level","index_meta_agree",24,18,0.0746864907266259,0.0370531053916442,10,0.276320692642684
"region","level","index_decor",24,18,0.379747793304724,0.361057446963622,16,0.216039912592303
"region","level","ridge_min",24,18,0.293505829774716,0.298627119674054,16,0.176998885842122
"region","level","ridge_nested",24,18,0.335404401503113,0.306672377341984,16,0.176279040773754
"region","level","enet_1se",24,18,0.00272859473486731,0.0014978340287235,9,0.193691917387196
"region","level","enet_nested",24,18,0.306181493474208,0.2090823697811,16,0.213153774768164
"region","level","lasso_min",24,18,0.277959427010442,0.284732398410119,16,0.192607481986867
"region","level","lasso_1se",24,18,-0.0176712672705345,-0.0651662136127092,9,0.195893476045734
"region","level","lasso_nested",24,18,0.317016724009146,0.26624808631625,17,0.211876905165395
"region","level","ridge_nested_1se",24,18,0.263697407224507,0.228165779689437,16,0.188332097068164
"region","level","enet_nested_1se",24,18,0.295716766834458,0.222643435153459,16,0.193292057822755
"region","level","lasso_nested_1se",24,18,0.303875583448957,0.21286542246847,16,0.193428684237518
"region","level","sparse5",24,18,0.273128798779631,0.296839687978421,16,0.218420620530325
"region","level","sparse10",24,18,0.29061838386157,0.31970635694035,16,0.206460292398263
"region","level","sparse20",24,18,0.306569908480708,0.314783829308795,16,0.201887529805116
"region","level","sparse10w",24,18,0.290607770515665,0.318875976597033,16,0.207181914034221
"region","prev","domain_index",24,18,0.269177778866839,0.210909630019048,15,14.195725563499
"region","prev","domain_enet",24,18,0.0462566730468548,0.0405417042754534,10,11.3304061315159
"region","prev","index_soft1",24,18,0.249883038751201,0.176034571120227,14,14.7229857862425
"region","prev","index_soft2",24,18,0.194278585915943,0.119954188975972,12,15.5724731622711
"region","prev","index_meta",24,18,0.0980103753379747,0.0182656338373991,10,15.8988122965118
"region","prev","index_meta_agree",24,18,0.0203896110443482,-0.0498458321265952,8,16.3777199128355
"region","prev","index_decor",24,18,0.258066673595804,0.190385808975539,16,15.1401531698376
"region","prev","ridge_min",24,18,0.0974602863686894,0.0501118800568953,12,11.0420878458786
"region","prev","ridge_nested",24,18,0.202346330926823,0.134327754753628,15,11.2584962076786
"region","prev","enet_1se",24,18,-0.281718656771181,-0.396688354642816,4,11.7755050618734
"region","prev","enet_nested",24,18,0.147490260325962,0.0714080958611499,11,13.8670096257678
"region","prev","lasso_min",24,18,0.0565961752269907,0.0632661226201949,10,11.2399429573082
"region","prev","lasso_1se",24,18,-0.293567128086131,-0.402936134547158,3,11.7089130165209
"region","prev","lasso_nested",24,18,0.146181535804587,0.0931603873479294,13,14.4700396938735
"region","prev","ridge_nested_1se",24,18,0.104286008227945,0.0262857502278967,11,11.3487776976401
"region","prev","enet_nested_1se",24,18,0.153889206004518,0.0884400986353439,12,12.6644388001125
"region","prev","lasso_nested_1se",24,18,0.166172496383402,0.0980951342805275,13,12.6245352444131
"region","prev","sparse5",24,18,0.17842997234893,0.227928549266887,12,14.1060017822537
"region","prev","sparse10",24,18,0.172074100021126,0.169883314239793,14,13.8685016455003
"region","prev","sparse20",24,18,0.227233642542102,0.198335894806329,14,13.894398900862
"region","prev","sparse10w",24,18,0.172016040192005,0.203341516364998,14,13.980173928232
