"estimand","target","arm","cells","scored","mean_spearman","median_spearman","cells_positive","mean_wmae"
"country","level","domain_index",22,22,0.281044773647006,0.267329102333112,17,NA
"country","level","hapc_lasso",22,22,0.283805819017344,0.354787370582699,18,NA
"country","level","hal_group",22,22,0.232099198757366,0.231518635928575,18,NA
"country","level","hal_lasso",22,22,0.193209315898636,0.212116104887717,19,NA
"country","level","hapc_lasso_xy",22,22,0.283471641948139,0.331076235286762,18,NA
"country","level","hapc_xy_only",22,21,0.188675461820108,0.253634115075761,16,NA
"country","prev","domain_index",22,22,0.188090391728472,0.175239014652033,16,NA
"country","prev","hapc_lasso",22,22,0.172319236769926,0.179223514530494,15,NA
"country","prev","hal_group",22,21,0.129107367246317,0.132259923406085,15,NA
"country","prev","hal_lasso",22,18,0.0916564432215709,0.137815220676363,12,NA
"country","prev","hapc_lasso_xy",22,22,0.179974332272522,0.184853006185978,16,NA
"country","prev","hapc_xy_only",22,21,0.020801808557395,0.0235278210259849,11,NA
