"column","outcome","country","n","rho","z"
"fpt_staple_anom_z","child_vitA","Gambia",30,-0.272080088987764,-1.45029206258916
"fpt_staple_seas_pos","child_vitA","Gambia",30,-0.533740286819934,-3.09358613814061
"fpt_staple_rel_win","child_vitA","Gambia",30,-0.509734122633576,-2.92216279904314
"fpt_staple_usd_kg","child_vitA","Gambia",30,-0.62714126807564,-3.8279543536076
"fpt_staple_seas_amp","child_vitA","Gambia",30,0.115906562847608,0.604987141153944
"fpt_staple_peak_month","child_vitA","Gambia",30,-0.120347020210113,-0.628386995194765
"fpt_pulses_anom_z","child_vitA","Gambia",30,0.531924360400445,3.08040924196257
"fpt_pulses_seas_pos","child_vitA","Gambia",30,-0.269115233655557,-1.43366901539399
"fpt_pulses_rel_win","child_vitA","Gambia",30,-0.548387096774194,-3.20120318733569
"fpt_pulses_seas_amp","child_vitA","Gambia",30,0.318353726362625,1.71376432767293
"fpt_animal_anom_z","child_vitA","Gambia",30,0.0438264738598443,0.227875010850916
"fpt_animal_seas_pos","child_vitA","Gambia",30,-0.213793103448276,-1.12830694766945
"fpt_animal_rel_win","child_vitA","Gambia",30,-0.376195773081201,-2.05570625142635
"fpt_animal_seas_amp","child_vitA","Gambia",30,-0.110134609648023,-0.574607038961826
"fpt_vegfruit_anom_z","child_vitA","Gambia",30,-0.389889120315194,-2.13909628183837
"fpt_vegfruit_seas_pos","child_vitA","Gambia",30,0.26670576554927,1.42018092139449
"fpt_vegfruit_rel_win","child_vitA","Gambia",30,-0.560017802998128,-3.28843246942359
"fpt_vegfruit_seas_amp","child_vitA","Gambia",30,0.156395995550612,0.819382189608729
"fpt_animal_to_staple","child_vitA","Gambia",30,-0.353058954393771,-1.91703737478008
"fpt_pulses_to_staple","child_vitA","Gambia",30,-0.337486095661847,-1.82516292565765
"fpt_vegfruit_to_staple","child_vitA","Gambia",30,-0.0852057842046719,-0.443818373586204
"fpt_fieldwork_month","child_vitA","Gambia",30,-0.216928825357571,-1.14539311575998
"fpt_months_to_peak","child_vitA","Gambia",30,0.0236035262487612,0.122670304444543
"fpt_staple_anom_z","women_vitA","Gambia",30,-0.468298109010011,-2.63906419715032
"fpt_staple_seas_pos","women_vitA","Gambia",30,-0.418457746845431,-2.31655344038339
"fpt_staple_rel_win","women_vitA","Gambia",30,-0.556680390584552,-3.26323542918969
"fpt_staple_usd_kg","women_vitA","Gambia",30,-0.625361512791991,-3.8127392266036
"fpt_staple_seas_amp","women_vitA","Gambia",30,-0.0117908787541713,-0.0612700426618533
"fpt_staple_peak_month","women_vitA","Gambia",30,-0.15551484015766,-0.814689433907367
"fpt_pulses_anom_z","women_vitA","Gambia",30,0.356173526140156,1.93554908501402
"fpt_pulses_seas_pos","women_vitA","Gambia",30,-0.452754661088009,-2.53655267634356
"fpt_pulses_rel_win","women_vitA","Gambia",30,-0.47853170189099,-2.70760148691127
"fpt_pulses_seas_amp","women_vitA","Gambia",30,0.151501668520578,0.793333093398319
"fpt_animal_anom_z","women_vitA","Gambia",30,-0.131924360400445,-0.689517952964878
"fpt_animal_seas_pos","women_vitA","Gambia",30,-0.30901001112347,-1.65991369219277
"fpt_animal_rel_win","women_vitA","Gambia",30,-0.508342602892102,-2.9124033872784
"fpt_animal_seas_amp","women_vitA","Gambia",30,-0.314829237680712,-1.69341044362474
"fpt_vegfruit_anom_z","women_vitA","Gambia",30,-0.167546336838744,-0.878882721572696
"fpt_vegfruit_seas_pos","women_vitA","Gambia",30,0.32625256179252,1.7595660842675
"fpt_vegfruit_rel_win","women_vitA","Gambia",30,-0.420068975788822,-2.32671118126559
"fpt_vegfruit_seas_amp","women_vitA","Gambia",30,-0.107007786429366,-0.558165770055708
"fpt_animal_to_staple","women_vitA","Gambia",30,-0.436262513904338,-2.42974905956493
"fpt_pulses_to_staple","women_vitA","Gambia",30,-0.201779755283648,-1.06306604415772
"fpt_vegfruit_to_staple","women_vitA","Gambia",30,0.217797552836485,1.15013100647787
"fpt_fieldwork_month","women_vitA","Gambia",30,-0.11355838853197,-0.592622906399529
"fpt_months_to_peak","women_vitA","Gambia",30,0.057647073722936,0.299875457224881
"fpt_staple_anom_z","child_iron","Gambia",30,-0.211568409343715,-1.11619943152991
"fpt_staple_seas_pos","child_iron","Gambia",30,-0.420021657271442,-2.32641263149143
"fpt_staple_rel_win","child_iron","Gambia",30,-0.394704641445641,-2.1686698395101
"fpt_staple_usd_kg","child_iron","Gambia",30,-0.389098998887653,-2.1342564621831
"fpt_staple_seas_amp","child_iron","Gambia",30,-0.021579532814238,-0.112147952087951
"fpt_staple_peak_month","child_iron","Gambia",30,-0.143411629396491,-0.750361408541536
"fpt_pulses_anom_z","child_iron","Gambia",30,0.15817575083426,0.828864657404253
"fpt_pulses_seas_pos","child_iron","Gambia",30,-0.28358379460478,-1.51506812620909
"fpt_pulses_rel_win","child_iron","Gambia",30,-0.346829810901001,-1.88015266935705
"fpt_pulses_seas_amp","child_iron","Gambia",30,0.188876529477197,0.993358227357894
"fpt_animal_anom_z","child_iron","Gambia",30,0.0229143492769744,0.119087297382135
"fpt_animal_seas_pos","child_iron","Gambia",30,-0.113236929922136,-0.590930799599293
"fpt_animal_rel_win","child_iron","Gambia",30,-0.307230255839822,-1.64969573615443
"fpt_animal_seas_amp","child_iron","Gambia",30,-0.0671932365933391,-0.34967318431729
"fpt_vegfruit_anom_z","child_iron","Gambia",30,-0.277590229674959,-1.48126307304401
"fpt_vegfruit_seas_pos","child_iron","Gambia",30,0.379411195986686,2.07519598297151
"fpt_vegfruit_rel_win","child_iron","Gambia",30,-0.401824454594604,-2.21264013226986
"fpt_vegfruit_seas_amp","child_iron","Gambia",30,-0.0282536151279199,-0.146849173957051
"fpt_animal_to_staple","child_iron","Gambia",30,-0.183537263626251,-0.964617999940163
"fpt_pulses_to_staple","child_iron","Gambia",30,-0.12258064516129,-0.640167052726052
"fpt_vegfruit_to_staple","child_iron","Gambia",30,0.0153503893214683,0.0797692285154727
"fpt_fieldwork_month","child_iron","Gambia",30,-0.00621216567461542,-0.0322797749609718
"fpt_months_to_peak","child_iron","Gambia",30,-0.11098196476581,-0.579064509857862
"fpt_staple_anom_z","women_iron","Gambia",30,-0.408231368186874,-2.25246481978618
"fpt_staple_seas_pos","women_iron","Gambia",30,-0.510505046204918,-2.92757771672998
"fpt_staple_rel_win","women_iron","Gambia",30,-0.505729227737284,-2.89412467691182
"fpt_staple_usd_kg","women_iron","Gambia",30,-0.596885428253615,-3.57648465385706
"fpt_staple_seas_amp","women_iron","Gambia",30,0.123470522803115,0.644862053132353
"fpt_staple_peak_month","women_iron","Gambia",30,-0.175382374803352,-0.920833565779521
"fpt_pulses_anom_z","women_iron","Gambia",30,0.319243604004449,1.7189113758637
"fpt_pulses_seas_pos","women_iron","Gambia",30,-0.343906564100774,-1.86290582493305
"fpt_pulses_rel_win","women_iron","Gambia",30,-0.514571746384872,-2.95623791461282
"fpt_pulses_seas_amp","women_iron","Gambia",30,0.130144605116796,0.680108510109152
"fpt_animal_anom_z","women_iron","Gambia",30,-0.00956618464961068,-0.0497088698976623
"fpt_animal_seas_pos","women_iron","Gambia",30,-0.155506117908788,-0.814642988561309
"fpt_animal_rel_win","women_iron","Gambia",30,-0.483870967741935,-2.74370533090319
"fpt_animal_seas_amp","women_iron","Gambia",30,0.0549560577435588,0.285848054460032
"fpt_vegfruit_anom_z","women_iron","Gambia",30,-0.39485011548404,-2.16956530186185
"fpt_vegfruit_seas_pos","women_iron","Gambia",30,0.366406723243907,1.99670604270502
"fpt_vegfruit_rel_win","women_iron","Gambia",30,-0.552008013205544,-3.22818638324946
"fpt_vegfruit_seas_amp","women_iron","Gambia",30,-0.0375973303670745,-0.195453589091379
"fpt_animal_to_staple","women_iron","Gambia",30,-0.381535038932147,-2.08809974931926
"fpt_pulses_to_staple","women_iron","Gambia",30,-0.240044493882091,-1.2721289291699
"fpt_vegfruit_to_staple","women_iron","Gambia",30,0.0972191323692992,0.506766050803756
"fpt_fieldwork_month","women_iron","Gambia",30,-0.00571519242064619,-0.0296973342844695
"fpt_months_to_peak","women_iron","Gambia",30,0.0190643865855379,0.0990734624849766
"fpt_staple_anom_z","child_vitA","Ghana",75,-0.119214628879818,-1.01640313952765
"fpt_staple_seas_pos","child_vitA","Ghana",75,0.12761992060796,1.08882802067351
"fpt_staple_rel_win","child_vitA","Ghana",75,0.0455483008339231,0.38675775885862
"fpt_staple_usd_kg","child_vitA","Ghana",75,0.306588240322408,2.68792767850732
"fpt_staple_seas_amp","child_vitA","Ghana",75,0.119590033953979,1.01963462831803
"fpt_staple_peak_month","child_vitA","Ghana",75,-0.0268179881702971,-0.227612752689682
"fpt_vegfruit_anom_z","child_vitA","Ghana",75,-0.0677951635846373,-0.576144812537018
"fpt_vegfruit_seas_pos","child_vitA","Ghana",75,-0.304212689998377,-2.66569700860953
"fpt_vegfruit_rel_win","child_vitA","Ghana",75,0.0786913229018492,0.669101402172192
"fpt_vegfruit_seas_amp","child_vitA","Ghana",75,-0.404028478164402,-3.63555267890218
"fpt_vegfruit_to_staple","child_vitA","Ghana",75,0.0876813655761024,0.745916533851351
"fpt_fieldwork_month","child_vitA","Ghana",75,0.0526365257169586,0.447048901885095
"fpt_months_to_peak","child_vitA","Ghana",75,-0.0569114448125146,-0.483432005542419
"fpt_staple_anom_z","women_vitA","Ghana",75,-0.194081245082898,-1.66799163640183
"fpt_staple_seas_pos","women_vitA","Ghana",75,0.219880770783233,1.89672189550866
"fpt_staple_rel_win","women_vitA","Ghana",75,0.0684220259247877,0.581488705200403
"fpt_staple_usd_kg","women_vitA","Ghana",75,0.18654471227152,1.60163842467357
"fpt_staple_seas_amp","women_vitA","Ghana",75,0.0902721964401039,0.768075908349436
"fpt_staple_peak_month","women_vitA","Ghana",75,-0.181494722608875,-1.55728581001298
"fpt_vegfruit_anom_z","women_vitA","Ghana",75,-0.20873399715505,-1.7975839891478
"fpt_vegfruit_seas_pos","women_vitA","Ghana",75,-0.281936571390996,-2.45890409859681
"fpt_vegfruit_rel_win","women_vitA","Ghana",75,0.159459459459459,1.3647048026142
"fpt_vegfruit_seas_amp","women_vitA","Ghana",75,-0.323885660645892,-2.85090253192667
"fpt_vegfruit_to_staple","women_vitA","Ghana",75,0.160113798008535,1.37040252239398
"fpt_fieldwork_month","women_vitA","Ghana",75,0.128507558240292,1.09648546075664
"fpt_months_to_peak","women_vitA","Ghana",75,-0.202227589372564,-1.73994123631409
"fpt_staple_anom_z","child_iron","Ghana",75,-0.224130331631911,-1.93465002748089
"fpt_staple_seas_pos","child_iron","Ghana",75,0.050043400688839,0.424987344216582
"fpt_staple_rel_win","child_iron","Ghana",75,-0.155165791847731,-1.32734726480037
"fpt_staple_usd_kg","child_iron","Ghana",75,0.187085256656629,1.60639095867777
"fpt_staple_seas_amp","child_iron","Ghana",75,0.163460102315354,1.39956008586125
"fpt_staple_peak_month","child_iron","Ghana",75,-0.0440804841687429,-0.374277855428434
"fpt_vegfruit_anom_z","child_iron","Ghana",75,0.0593172119487909,0.503914802669592
"fpt_vegfruit_seas_pos","child_iron","Ghana",75,-0.448381567447809,-4.09561405207839
"fpt_vegfruit_rel_win","child_iron","Ghana",75,0.268819345661451,2.33846520892533
"fpt_vegfruit_seas_amp","child_iron","Ghana",75,-0.326986678434148,-2.88033246067267
"fpt_vegfruit_to_staple","child_iron","Ghana",75,0.291209103840683,2.54462469717978
"fpt_fieldwork_month","child_iron","Ghana",75,0.0393976419760266,0.334473202893489
"fpt_months_to_peak","child_iron","Ghana",75,-0.0439375770625436,-0.373062895291425
"fpt_staple_anom_z","women_iron","Ghana",75,-0.377392055261628,-3.36878464945368
"fpt_staple_seas_pos","women_iron","Ghana",75,0.395096703704007,3.54536442578165
"fpt_staple_rel_win","women_iron","Ghana",75,0.00667150315150217,0.0566104213298028
"fpt_staple_usd_kg","women_iron","Ghana",75,0.145634037230122,1.24459509514988
"fpt_staple_seas_amp","women_iron","Ghana",75,0.187813395776661,1.61279442449356
"fpt_staple_peak_month","women_iron","Ghana",75,-0.359292468527237,-3.19108741137784
"fpt_vegfruit_anom_z","women_iron","Ghana",75,-0.351237553342816,-3.11286593759369
"fpt_vegfruit_seas_pos","women_iron","Ghana",75,-0.0695168528954489,-0.59082302237939
"fpt_vegfruit_rel_win","women_iron","Ghana",75,0.0316927453769559,0.269011954084949
"fpt_vegfruit_seas_amp","women_iron","Ghana",75,-0.101906841445262,-0.867720347452135
"fpt_vegfruit_to_staple","women_iron","Ghana",75,0.0241820768136558,0.205231736866008
"fpt_fieldwork_month","women_iron","Ghana",75,0.0174923403645246,0.148442571372723
"fpt_months_to_peak","women_iron","Ghana",75,-0.345881549062153,-3.06113335629251
"fpt_staple_anom_z","women_folate","Ghana",75,0.0131891587267683,0.11192021283999
