"tier","target","outcome","heldout","set","n_cols","addon_imputed_heldout","spearman"
"admin2","level","child_vitA","Gambia","base",382,0,0.716129032258065
"admin2","level","child_vitA","Gambia","plus",390,0,0.695661846496107
"admin2","level","child_vitA","Gambia","addon_only",8,0,0.383314794215795
"admin2","level","child_vitA","Gambia","cs",91,0,0.79265850945495
"admin2","level","child_vitA","Gambia","cs_plus",99,0,0.730367074527253
"admin2","level","child_vitA","Ghana","base",382,0,0.355647226173542
"admin2","level","child_vitA","Ghana","plus",390,0,0.35647226173542
"admin2","level","child_vitA","Ghana","addon_only",8,0,0.278293029871977
"admin2","level","child_vitA","Ghana","cs",91,0,0.218862019914651
"admin2","level","child_vitA","Ghana","cs_plus",99,0,0.23425320056899
"admin2","level","child_vitA","Malawi","base",382,0,0.181799956258657
"admin2","level","child_vitA","Malawi","plus",390,0,0.176168258365532
"admin2","level","child_vitA","Malawi","addon_only",8,0,0.00495735219071225
"admin2","level","child_vitA","Malawi","cs",91,0,0.148629437923744
"admin2","level","child_vitA","Malawi","cs_plus",99,0,0.129273893708537
"admin2","level","child_vitA","SierraLeone","base",382,0,0.0637362637362637
"admin2","level","child_vitA","SierraLeone","plus",390,0,0.0505494505494506
"admin2","level","child_vitA","SierraLeone","addon_only",8,0,0.235164835164835
"admin2","level","child_vitA","SierraLeone","cs",91,0,0.428571428571429
"admin2","level","child_vitA","SierraLeone","cs_plus",99,0,0.424175824175824
"admin2","level","women_vitA","Gambia","base",382,0,0.746829810901001
"admin2","level","women_vitA","Gambia","plus",390,0,0.760622914349277
"admin2","level","women_vitA","Gambia","addon_only",8,0,0.246273637374861
"admin2","level","women_vitA","Gambia","cs",91,0,0.759733036707453
"admin2","level","women_vitA","Gambia","cs_plus",99,0,0.720133481646274
"admin2","level","women_vitA","Ghana","base",382,0,0.27348506401138
"admin2","level","women_vitA","Ghana","plus",390,0,0.289445234708393
"admin2","level","women_vitA","Ghana","addon_only",8,0,0.442930298719772
"admin2","level","women_vitA","Ghana","cs",91,0,0.414623044096728
"admin2","level","women_vitA","Ghana","cs_plus",99,0,0.437411095305832
"admin2","level","women_vitA","Malawi","base",382,0,0.207716701902748
"admin2","level","women_vitA","Malawi","plus",390,0,0.207115258438434
"admin2","level","women_vitA","Malawi","addon_only",8,0,0.163756652329226
"admin2","level","women_vitA","Malawi","cs",91,0,0.223755194284464
"admin2","level","women_vitA","Malawi","cs_plus",99,0,0.205803018152657
"admin2","level","women_vitA","SierraLeone","base",382,0,-0.0725274725274725
"admin2","level","women_vitA","SierraLeone","plus",390,0,-0.0021978021978022
"admin2","level","women_vitA","SierraLeone","addon_only",8,0,0.235164835164835
"admin2","level","women_vitA","SierraLeone","cs",91,0,0.252747252747253
"admin2","level","women_vitA","SierraLeone","cs_plus",99,0,0.353846153846154
"admin2","level","child_iron","Gambia","base",382,0,0.469632925472747
