"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",426,0,0.734371523915462
"Gambia","child_vitA","level",1,"plus",430,4,0.738375973303671
"Gambia","child_vitA","level",1,"addon_only",4,4,0.539043381535039
"Gambia","child_vitA","level",2,"base",426,0,0.76952169076752
"Gambia","child_vitA","level",2,"plus",430,4,0.770411568409344
"Gambia","child_vitA","level",2,"addon_only",4,4,0.527474972191324
"Gambia","child_vitA","level",3,"base",426,0,0.728142380422692
"Gambia","child_vitA","level",3,"plus",430,4,0.721913236929922
"Gambia","child_vitA","level",3,"addon_only",4,4,0.518576195773081
"Gambia","child_vitA","level",4,"base",426,0,0.775305895439377
"Gambia","child_vitA","level",4,"plus",430,4,0.776640711902113
"Gambia","child_vitA","level",4,"addon_only",4,4,0.514571746384872
"Gambia","child_vitA","level",5,"base",426,0,0.741935483870968
"Gambia","child_vitA","level",5,"plus",430,4,0.749054505005562
"Gambia","child_vitA","level",5,"addon_only",4,4,0.639154616240267
"Gambia","child_vitA","level",6,"base",426,0,0.737041156840934
"Gambia","child_vitA","level",6,"plus",430,4,0.737041156840934
"Gambia","child_vitA","level",6,"addon_only",4,4,0.565739710789766
"Gambia","child_vitA","level",7,"base",426,0,0.753058954393771
"Gambia","child_vitA","level",7,"plus",430,4,0.760622914349277
"Gambia","child_vitA","level",7,"addon_only",4,4,0.60845383759733
"Gambia","child_vitA","level",8,"base",426,0,0.746829810901001
"Gambia","child_vitA","level",8,"plus",430,4,0.755728587319244
"Gambia","child_vitA","level",8,"addon_only",4,4,0.555506117908787
"Gambia","child_vitA","level",9,"base",426,0,0.731256952169077
"Gambia","child_vitA","level",9,"plus",430,4,0.728587319243604
"Gambia","child_vitA","level",9,"addon_only",4,4,0.45139043381535
"Gambia","child_vitA","level",10,"base",426,0,0.690767519466073
"Gambia","child_vitA","level",10,"plus",430,4,0.69432703003337
"Gambia","child_vitA","level",10,"addon_only",4,4,0.573748609566185
"Gambia","child_vitA","prev",1,"base",426,0,0.659984903323649
"Gambia","child_vitA","prev",1,"plus",430,4,0.653079897585197
"Gambia","child_vitA","prev",1,"addon_only",4,4,0.497828639530326
"Gambia","child_vitA","prev",2,"base",426,0,0.607640504983772
"Gambia","child_vitA","prev",2,"plus",430,4,0.60585856801901
"Gambia","child_vitA","prev",2,"addon_only",4,4,0.446152467552234
"Gambia","child_vitA","prev",3,"base",426,0,0.584029840200678
"Gambia","child_vitA","prev",3,"plus",430,4,0.580020482029964
"Gambia","child_vitA","prev",3,"addon_only",4,4,0.395590006177118
"Gambia","child_vitA","prev",4,"base",426,0,0.612540831636867
"Gambia","child_vitA","prev",4,"plus",430,4,0.607195020742581
"Gambia","child_vitA","prev",4,"addon_only",4,4,0.424100997613307
"Gambia","child_vitA","prev",5,"base",426,0,0.62078229009889
"Gambia","child_vitA","prev",5,"plus",430,4,0.615213737084009
"Gambia","child_vitA","prev",5,"addon_only",4,4,0.528344310051872
"Gambia","child_vitA","prev",6,"base",426,0,0.653970866067578
"Gambia","child_vitA","prev",6,"plus",430,4,0.650852476379245
"Gambia","child_vitA","prev",6,"addon_only",4,4,0.468426679611757
"Gambia","child_vitA","prev",7,"base",426,0,0.611872605275081
"Gambia","child_vitA","prev",7,"plus",430,4,0.603408404692462
"Gambia","child_vitA","prev",7,"addon_only",4,4,0.491146375912469
"Gambia","child_vitA","prev",8,"base",426,0,0.608754215586748
"Gambia","child_vitA","prev",8,"plus",430,4,0.6109816367927
"Gambia","child_vitA","prev",8,"addon_only",4,4,0.539926900322824
"Gambia","child_vitA","prev",9,"base",426,0,0.51119316676604
"Gambia","child_vitA","prev",9,"plus",430,4,0.495155734083184
"Gambia","child_vitA","prev",9,"addon_only",4,4,0.269295223799626
"Gambia","child_vitA","prev",10,"base",426,0,0.578015802944607
"Gambia","child_vitA","prev",10,"plus",430,4,0.580911450512345
"Gambia","child_vitA","prev",10,"addon_only",4,4,0.470654100817709
"Gambia","women_vitA","level",1,"base",426,0,0.728142380422692
"Gambia","women_vitA","level",1,"plus",430,4,0.729477196885428
"Gambia","women_vitA","level",1,"addon_only",4,4,0.442046718576196
"Gambia","women_vitA","level",2,"base",426,0,0.704560622914349
"Gambia","women_vitA","level",2,"plus",430,4,0.707230255839822
"Gambia","women_vitA","level",2,"addon_only",4,4,0.461179087875417
"Gambia","women_vitA","level",3,"base",426,0,0.732146829810901
"Gambia","women_vitA","level",3,"plus",430,4,0.72146829810901
"Gambia","women_vitA","level",3,"addon_only",4,4,0.468298109010011
"Gambia","women_vitA","level",4,"base",426,0,0.705005561735261
"Gambia","women_vitA","level",4,"plus",430,4,0.694771968854282
"Gambia","women_vitA","level",4,"addon_only",4,4,0.421579532814238
"Gambia","women_vitA","level",5,"base",426,0,0.743270300333704
"Gambia","women_vitA","level",5,"plus",430,4,0.743270300333704
"Gambia","women_vitA","level",5,"addon_only",4,4,0.508342602892102
"Gambia","women_vitA","level",6,"base",426,0,0.737486095661847
"Gambia","women_vitA","level",6,"plus",430,4,0.738820912124583
"Gambia","women_vitA","level",6,"addon_only",4,4,0.450500556173526
"Gambia","women_vitA","level",7,"base",426,0,0.739710789766407
"Gambia","women_vitA","level",7,"plus",430,4,0.744160177975528
"Gambia","women_vitA","level",7,"addon_only",4,4,0.494104560622914
"Gambia","women_vitA","level",8,"base",426,0,0.750389321468298
"Gambia","women_vitA","level",8,"plus",430,4,0.750389321468298
"Gambia","women_vitA","level",8,"addon_only",4,4,0.460734149054505
"Gambia","women_vitA","level",9,"base",426,0,0.718798665183537
"Gambia","women_vitA","level",9,"plus",430,4,0.72146829810901
"Gambia","women_vitA","level",9,"addon_only",4,4,0.329477196885428
"Gambia","women_vitA","level",10,"base",426,0,0.696551724137931
"Gambia","women_vitA","level",10,"plus",430,4,0.69432703003337
"Gambia","women_vitA","level",10,"addon_only",4,4,0.482981090100111
"Gambia","women_vitA","prev",1,"base",426,0,0.458531344570552
"Gambia","women_vitA","prev",1,"plus",430,4,0.464163254636925
"Gambia","women_vitA","prev",1,"addon_only",4,4,0.570934882978584
"Gambia","women_vitA","prev",2,"base",426,0,0.47002982762273
"Gambia","women_vitA","prev",2,"plus",430,4,0.476835052286265
"Gambia","women_vitA","prev",2,"addon_only",4,4,0.570700220059151
"Gambia","women_vitA","prev",3,"base",426,0,0.479651007319451
"Gambia","women_vitA","prev",3,"plus",430,4,0.48058965899718
"Gambia","women_vitA","prev",3,"addon_only",4,4,0.559436399926405
"Gambia","women_vitA","prev",4,"base",426,0,0.473080445575349
"Gambia","women_vitA","prev",4,"plus",430,4,0.468152524267272
"Gambia","women_vitA","prev",4,"addon_only",4,4,0.569292242542558
"Gambia","women_vitA","prev",5,"base",426,0,0.399396288873633
"Gambia","women_vitA","prev",5,"plus",430,4,0.41816932242821
"Gambia","women_vitA","prev",5,"addon_only",4,4,0.602849040021365
"Gambia","women_vitA","prev",6,"base",426,0,0.451256794068153
"Gambia","women_vitA","prev",6,"plus",430,4,0.46369392879806
"Gambia","women_vitA","prev",6,"addon_only",4,4,0.555212467376625
"Gambia","women_vitA","prev",7,"base",426,0,0.485282917385824
"Gambia","women_vitA","prev",7,"plus",430,4,0.493026793727088
"Gambia","women_vitA","prev",7,"addon_only",4,4,0.510626512684504
"Gambia","women_vitA","prev",8,"base",426,0,0.482936288191502
"Gambia","women_vitA","prev",8,"plus",430,4,0.487629546580147
"Gambia","women_vitA","prev",8,"addon_only",4,4,0.476131063527968
"Gambia","women_vitA","prev",9,"base",426,0,0.504759939698698
"Gambia","women_vitA","prev",9,"plus",430,4,0.516727748589741
"Gambia","women_vitA","prev",9,"addon_only",4,4,0.566945613348236
"Gambia","women_vitA","prev",10,"base",426,0,0.526818254125327
"Gambia","women_vitA","prev",10,"plus",430,4,0.5324501641917
"Gambia","women_vitA","prev",10,"addon_only",4,4,0.492322804968791
"Gambia","child_iron","level",1,"base",426,0,0.371301446051168
"Gambia","child_iron","level",1,"plus",430,4,0.376640711902113
"Gambia","child_iron","level",1,"addon_only",4,4,0.367296996662959
"Gambia","child_iron","level",2,"base",426,0,0.454949944382647
"Gambia","child_iron","level",2,"plus",430,4,0.463403781979978
"Gambia","child_iron","level",2,"addon_only",4,4,0.391323692992214
"Gambia","child_iron","level",3,"base",426,0,0.382869855394883
"Gambia","child_iron","level",3,"plus",430,4,0.394883203559511
"Gambia","child_iron","level",3,"addon_only",4,4,0.40111234705228
"Gambia","child_iron","level",4,"base",426,0,0.466518353726363
"Gambia","child_iron","level",4,"plus",430,4,0.467853170189099
"Gambia","child_iron","level",4,"addon_only",4,4,0.38642936596218
"Gambia","child_iron","level",5,"base",426,0,0.429143492769744
"Gambia","child_iron","level",5,"plus",430,4,0.433592880978865
"Gambia","child_iron","level",5,"addon_only",4,4,0.402892102335929
"Gambia","child_iron","level",6,"base",426,0,0.396662958843159
"Gambia","child_iron","level",6,"plus",430,4,0.405116796440489
"Gambia","child_iron","level",6,"addon_only",4,4,0.410011123470523
"Gambia","child_iron","level",7,"base",426,0,0.414015572858732
"Gambia","child_iron","level",7,"plus",430,4,0.406896551724138
