"country","outcome","target","arm","n_units","spearman","topk","capture_top20","lift","thin"
"Gambia","child_vitA","level","null_train_mean",6,NA,0,0.115747800434171,0.578739002170853,TRUE
"Ghana","child_vitA","level","null_train_mean",16,NA,0,0.254290501901892,1.27145250950946,FALSE
"Malawi","child_vitA","level","null_train_mean",27,NA,0.142857142857143,0,0,FALSE
"SierraLeone","child_vitA","level","null_train_mean",4,NA,0,0.231499036787201,1.15749518393601,TRUE
"Gambia","child_vitA","level","domain_index",6,0.885714285714286,1,0.210363181627027,1.05181590813513,TRUE
"Ghana","child_vitA","level","domain_index",16,0.641176470588235,1,0.26946171455924,1.3473085727962,FALSE
"Malawi","child_vitA","level","domain_index",27,0.625152625152625,0.714285714285714,0.535126956653723,2.67563478326861,FALSE
"SierraLeone","child_vitA","level","domain_index",4,-0.4,0.5,0.386805383300103,1.93402691650052,TRUE
"Gambia","child_vitA","level","domain_enet",6,0.828571428571429,1,0.210363181627027,1.05181590813513,TRUE
"Ghana","child_vitA","level","domain_enet",16,0.494117647058823,0.75,0.26946171455924,1.3473085727962,FALSE
"Malawi","child_vitA","level","domain_enet",27,0.330891330891331,0.428571428571429,0.220553899829081,1.1027694991454,FALSE
"SierraLeone","child_vitA","level","domain_enet",4,-0.4,0.5,0.386805383300103,1.93402691650052,TRUE
"Gambia","women_vitA","level","null_train_mean",6,NA,0.5,0.0441489491997571,0.220744745998785,TRUE
"Ghana","women_vitA","level","null_train_mean",16,NA,0,0.119072596178575,0.595362980892875,FALSE
"Malawi","women_vitA","level","null_train_mean",27,NA,0.285714285714286,0,0,FALSE
"SierraLeone","women_vitA","level","null_train_mean",4,NA,0.5,0.225793064459809,1.12896532229904,TRUE
"Gambia","women_vitA","level","domain_index",6,0.771428571428571,0.5,0.275624724715835,1.37812362357917,TRUE
"Ghana","women_vitA","level","domain_index",16,0.644117647058823,0.75,0.345321233269859,1.7266061663493,FALSE
"Malawi","women_vitA","level","domain_index",27,0.334554334554335,0.428571428571429,0.350248571941383,1.75124285970691,FALSE
"SierraLeone","women_vitA","level","domain_index",4,-0.4,0.5,0.327285455514044,1.63642727757022,TRUE
"Gambia","women_vitA","level","domain_enet",6,-0.942857142857143,0,0.0441489491997571,0.220744745998785,TRUE
"Ghana","women_vitA","level","domain_enet",16,0.485294117647059,0.5,0.0948111881221169,0.474055940610584,FALSE
"Malawi","women_vitA","level","domain_enet",27,0.0476190476190476,0.428571428571429,0.350248571941383,1.75124285970691,FALSE
"SierraLeone","women_vitA","level","domain_enet",4,-0.2,0.5,0.257306889963608,1.28653444981804,TRUE
"Gambia","child_iron","level","null_train_mean",6,NA,0.5,0.141335500935021,0.706677504675107,TRUE
"Ghana","child_iron","level","null_train_mean",16,NA,0,0.226658746266551,1.13329373133275,FALSE
"Malawi","child_iron","level","null_train_mean",27,NA,0.428571428571429,0.276835471801508,1.38417735900754,FALSE
"SierraLeone","child_iron","level","null_train_mean",4,NA,0.5,0.329181646118046,1.64590823059023,TRUE
"Gambia","child_iron","level","domain_index",6,0.714285714285714,0.5,0.135816568986678,0.679082844933388,TRUE
"Ghana","child_iron","level","domain_index",16,0.794117647058823,0.75,0.351666417582289,1.75833208791144,FALSE
"Malawi","child_iron","level","domain_index",27,0.1996336996337,0.428571428571429,0.127450449118784,0.637252245593918,FALSE
"SierraLeone","child_iron","level","domain_index",4,-0.6,0,0.370797356950313,1.85398678475157,TRUE
"Gambia","child_iron","level","domain_enet",6,0.542857142857143,0.5,0.13185725221265,0.659286261063248,TRUE
"Ghana","child_iron","level","domain_enet",16,-0.0411764705882353,0.5,0.278487761409227,1.39243880704613,FALSE
"Malawi","child_iron","level","domain_enet",27,0.180708180708181,0.428571428571429,0.281289682604943,1.40644841302471,FALSE
"SierraLeone","child_iron","level","domain_enet",4,0.4,0.5,0.202307171001064,1.01153585500532,TRUE
"Gambia","women_iron","level","null_train_mean",6,NA,0.5,0.133550501204984,0.667752506024919,TRUE
"Ghana","women_iron","level","null_train_mean",16,NA,0,0.233997560085643,1.16998780042821,FALSE
"Malawi","women_iron","level","null_train_mean",27,NA,0.142857142857143,0.21268112599719,1.06340562998595,FALSE
"SierraLeone","women_iron","level","null_train_mean",4,NA,0.5,0.263727934246629,1.31863967123314,TRUE
"Gambia","women_iron","level","domain_index",6,0.542857142857143,0.5,0.152297350480216,0.761486752401078,TRUE
"Ghana","women_iron","level","domain_index",16,0.5,0.5,0.277754276338647,1.38877138169324,FALSE
"Malawi","women_iron","level","domain_index",27,0.171550671550672,0.285714285714286,0.175009788706765,0.875048943533823,FALSE
"SierraLeone","women_iron","level","domain_index",4,0,0.5,0.329738752215206,1.64869376107603,TRUE
"Gambia","women_iron","level","domain_enet",6,0.657142857142857,0.5,0.163680797146926,0.818403985734631,TRUE
"Ghana","women_iron","level","domain_enet",16,0.514705882352941,0.5,0.277754276338647,1.38877138169324,FALSE
