"target","outcome","heldout","arm","n_domains","spearman"
"level","child_vitA","Gambia","full",23,0.693882091212458
"level","child_vitA","Gambia","nested",3,0.75706340378198
"level","child_vitA","Gambia","fixed_cs",2,0.790433815350389
"level","child_vitA","Gambia","fixed_csa",3,0.776195773081201
"level","child_vitA","Ghana","full",23,0.391152204836415
"level","child_vitA","Ghana","nested",1,0.297894736842105
"level","child_vitA","Ghana","fixed_cs",2,0.251806543385491
"level","child_vitA","Ghana","fixed_csa",3,0.294110953058321
"level","child_vitA","Malawi","full",23,0.223445359772545
"level","child_vitA","Malawi","nested",4,0.276062550120289
"level","child_vitA","Malawi","fixed_cs",2,0.178154844353722
"level","child_vitA","Malawi","fixed_csa",3,0.136254283006488
"level","child_vitA","SierraLeone","full",23,-0.0901098901098901
"level","child_vitA","SierraLeone","nested",4,0.0285714285714286
"level","child_vitA","SierraLeone","fixed_cs",2,0.41978021978022
"level","child_vitA","SierraLeone","fixed_csa",3,0.402197802197802
"level","women_vitA","Gambia","full",23,0.75083426028921
"level","women_vitA","Gambia","nested",3,0.696106785317019
"level","women_vitA","Gambia","fixed_cs",2,0.766852057842047
"level","women_vitA","Gambia","fixed_csa",3,0.781979977753059
"level","women_vitA","Ghana","full",23,0.252830725462304
"level","women_vitA","Ghana","nested",4,0.455192034139403
"level","women_vitA","Ghana","fixed_cs",2,0.428364153627311
"level","women_vitA","Ghana","fixed_csa",3,0.409416785206259
"level","women_vitA","Malawi","full",23,0.205821243712182
"level","women_vitA","Malawi","nested",4,0.0248778887511847
"level","women_vitA","Malawi","fixed_cs",2,0.230061237880003
"level","women_vitA","Malawi","fixed_csa",3,0.125847488517897
"level","women_vitA","SierraLeone","full",23,-0.0857142857142857
"level","women_vitA","SierraLeone","nested",5,-0.0461538461538462
"level","women_vitA","SierraLeone","fixed_cs",2,0.2
"level","women_vitA","SierraLeone","fixed_csa",3,0.323076923076923
"level","child_iron","Gambia","full",23,0.518131256952169
"level","child_iron","Gambia","nested",5,0.580422691879867
"level","child_iron","Gambia","fixed_cs",2,0.550611790878754
"level","child_iron","Gambia","fixed_csa",3,0.594660734149055
"level","child_iron","Ghana","full",23,0.568620199146515
"level","child_iron","Ghana","nested",2,0.545035561877667
"level","child_iron","Ghana","fixed_cs",2,0.560284495021337
"level","child_iron","Ghana","fixed_csa",3,0.573655761024182
"level","child_iron","Malawi","full",23,-0.0349019464897572
"level","child_iron","Malawi","nested",5,-0.0133228840125392
"level","child_iron","Malawi","fixed_cs",2,0.190548224830502
"level","child_iron","Malawi","fixed_csa",3,0.172796529853466
"level","child_iron","SierraLeone","full",23,0.208791208791209
"level","child_iron","SierraLeone","nested",5,0.243956043956044
"level","child_iron","SierraLeone","fixed_cs",2,0.327472527472527
"level","child_iron","SierraLeone","fixed_csa",3,0.52967032967033
"level","women_iron","Gambia","full",23,0.284093437152392
"level","women_iron","Gambia","nested",2,0.508787541713014
"level","women_iron","Gambia","fixed_cs",2,0.729477196885428
"level","women_iron","Gambia","fixed_csa",3,0.78020022246941
"level","women_iron","Ghana","full",23,0.295590327169275
"level","women_iron","Ghana","nested",5,0.281934566145092
"level","women_iron","Ghana","fixed_cs",2,0.358065433854908
"level","women_iron","Ghana","fixed_csa",3,0.352517780938834
"level","women_iron","Malawi","full",23,0.260734854560035
"level","women_iron","Malawi","nested",5,0.121127068601006
"level","women_iron","Malawi","fixed_cs",2,0.219617992272363
"level","women_iron","Malawi","fixed_csa",3,0.190256615878107
"level","women_iron","SierraLeone","full",23,0.00659340659340659
"level","women_iron","SierraLeone","nested",5,0.191208791208791
"level","women_iron","SierraLeone","fixed_cs",2,0.0593406593406593
"level","women_iron","SierraLeone","fixed_csa",3,0.164835164835165
"level","women_folate","Ghana","full",23,-0.148221906116643
"level","women_folate","Ghana","nested",5,0.0217923186344239
"level","women_folate","Ghana","fixed_cs",2,0.0845234708392603
"level","women_folate","Ghana","fixed_csa",3,-0.0260881934566145
"level","women_folate","Malawi","full",23,-0.110355762921922
"level","women_folate","Malawi","nested",3,0.180542392651454
"level","women_folate","Malawi","fixed_cs",2,0.275169497703579
"level","women_folate","Malawi","fixed_csa",3,0.208828461033754
"level","women_folate","SierraLeone","full",23,0.0813186813186813
"level","women_folate","SierraLeone","nested",5,0.498901098901099
"level","women_folate","SierraLeone","fixed_cs",2,0.151648351648352
"level","women_folate","SierraLeone","fixed_csa",3,0.323076923076923
"level","women_b12","Ghana","full",23,0.614992887624466
"level","women_b12","Ghana","nested",2,0.467482219061166
"level","women_b12","Ghana","fixed_cs",2,0.553968705547653
"level","women_b12","Ghana","fixed_csa",3,0.624438122332859
"level","women_b12","Malawi","full",23,0.450317124735729
"level","women_b12","Malawi","nested",3,0.128872931398994
"level","women_b12","Malawi","fixed_cs",2,0.456240431581249
"level","women_b12","Malawi","fixed_csa",3,0.420099147043814
"level","women_b12","SierraLeone","full",23,0.454945054945055
"level","women_b12","SierraLeone","nested",5,0.305494505494505
"level","women_b12","SierraLeone","fixed_cs",2,0.336263736263736
"level","women_b12","SierraLeone","fixed_csa",3,0.481318681318681
"prev","child_vitA","Gambia","full",23,0.657980224238292
"prev","child_vitA","Gambia","nested",4,0.400267590709618
"prev","child_vitA","Gambia","fixed_cs",2,-0.0592494040783297
"prev","child_vitA","Gambia","fixed_csa",3,0.336340602098789
"prev","child_vitA","Ghana","full",23,0.352728618508766
"prev","child_vitA","Ghana","nested",3,0.293290215050728
"prev","child_vitA","Ghana","fixed_cs",2,0.254386113889406
"prev","child_vitA","Ghana","fixed_csa",3,0.276002667902176
"prev","child_vitA","Malawi","full",23,0.157806207392223
"prev","child_vitA","Malawi","nested",1,-0.0457039309312051
"prev","child_vitA","Malawi","fixed_cs",2,0.0240832379499084
"prev","child_vitA","Malawi","fixed_csa",3,-0.0276527985466115
"prev","child_vitA","SierraLeone","full",23,-0.0241758241758242
"prev","child_vitA","SierraLeone","nested",4,0.0725274725274725
"prev","child_vitA","SierraLeone","fixed_cs",2,0.468131868131868
"prev","child_vitA","SierraLeone","fixed_csa",3,0.358241758241758
"prev","women_vitA","Gambia","full",23,0.354810334181512
