"country","outcome","target","rep","set","n_cols","addon_cols","spearman"
"Gambia","child_vitA","level",1,"base",426,0,0.734371523915462
"Gambia","child_vitA","level",1,"plus",439,13,0.728142380422692
"Gambia","child_vitA","level",1,"addon_only",13,13,0.554616240266963
"Gambia","child_vitA","level",2,"base",426,0,0.76952169076752
"Gambia","child_vitA","level",2,"plus",439,13,0.768186874304783
"Gambia","child_vitA","level",2,"addon_only",13,13,0.65650723025584
"Gambia","child_vitA","level",3,"base",426,0,0.728142380422692
"Gambia","child_vitA","level",3,"plus",439,13,0.707675194660734
"Gambia","child_vitA","level",3,"addon_only",13,13,0.571078976640712
"Gambia","child_vitA","level",4,"base",426,0,0.775305895439377
"Gambia","child_vitA","level",4,"plus",439,13,0.773081201334817
"Gambia","child_vitA","level",4,"addon_only",13,13,0.515461624026696
"Gambia","child_vitA","level",5,"base",426,0,0.741935483870968
"Gambia","child_vitA","level",5,"plus",439,13,0.728587319243604
"Gambia","child_vitA","level",5,"addon_only",13,13,0.515461624026696
"Gambia","child_vitA","level",6,"base",426,0,0.737041156840934
"Gambia","child_vitA","level",6,"plus",439,13,0.737041156840934
"Gambia","child_vitA","level",6,"addon_only",13,13,0.608898776418243
"Gambia","child_vitA","level",7,"base",426,0,0.753058954393771
"Gambia","child_vitA","level",7,"plus",439,13,0.755728587319244
"Gambia","child_vitA","level",7,"addon_only",13,13,0.62714126807564
"Gambia","child_vitA","level",8,"base",426,0,0.746829810901001
"Gambia","child_vitA","level",8,"plus",439,13,0.753948832035595
"Gambia","child_vitA","level",8,"addon_only",13,13,0.653837597330367
"Gambia","child_vitA","level",9,"base",426,0,0.731256952169077
"Gambia","child_vitA","level",9,"plus",439,13,0.72146829810901
"Gambia","child_vitA","level",9,"addon_only",13,13,0.432258064516129
"Gambia","child_vitA","level",10,"base",426,0,0.690767519466073
"Gambia","child_vitA","level",10,"plus",439,13,0.682758620689655
"Gambia","child_vitA","level",10,"addon_only",13,13,0.603114571746385
"Gambia","child_vitA","prev",1,"base",426,0,0.659984903323649
"Gambia","child_vitA","prev",1,"plus",439,13,0.653970866067578
"Gambia","child_vitA","prev",1,"addon_only",13,13,0.501169771339255
"Gambia","child_vitA","prev",2,"base",426,0,0.607640504983772
"Gambia","child_vitA","prev",2,"plus",439,13,0.614990994963414
"Gambia","child_vitA","prev",2,"addon_only",13,13,0.580465966271154
"Gambia","child_vitA","prev",3,"base",426,0,0.584029840200678
"Gambia","child_vitA","prev",3,"plus",439,13,0.599176304401153
"Gambia","child_vitA","prev",3,"addon_only",13,13,0.550173037870204
"Gambia","child_vitA","prev",4,"base",426,0,0.612540831636867
"Gambia","child_vitA","prev",4,"plus",439,13,0.608085989224962
"Gambia","child_vitA","prev",4,"addon_only",13,13,0.349259645093312
"Gambia","child_vitA","prev",5,"base",426,0,0.62078229009889
"Gambia","child_vitA","prev",5,"plus",439,13,0.628578264319723
"Gambia","child_vitA","prev",5,"addon_only",13,13,0.597839851677582
"Gambia","child_vitA","prev",6,"base",426,0,0.653970866067578
"Gambia","child_vitA","prev",6,"plus",439,13,0.644615697002579
"Gambia","child_vitA","prev",6,"addon_only",13,13,0.638156175505317
"Gambia","child_vitA","prev",7,"base",426,0,0.611872605275081
"Gambia","child_vitA","prev",7,"plus",439,13,0.601626467727701
"Gambia","child_vitA","prev",7,"addon_only",13,13,0.558414496332227
"Gambia","child_vitA","prev",8,"base",426,0,0.608754215586748
"Gambia","child_vitA","prev",8,"plus",439,13,0.616772931928176
"Gambia","child_vitA","prev",8,"addon_only",13,13,0.559750949055799
"Gambia","child_vitA","prev",9,"base",426,0,0.51119316676604
