"tier","target","outcome","heldout","set","n_cols","addon_imputed_heldout","spearman"
"admin2","level","child_vitA","Gambia","base",394,0,0.677864293659622
"admin2","level","child_vitA","Gambia","plus",423,0,0.653837597330367
"admin2","level","child_vitA","Gambia","addon_only",29,0,0.52035595105673
"admin2","level","child_vitA","Gambia","cs",91,0,0.789543937708565
"admin2","level","child_vitA","Gambia","cs_plus",120,0,0.734816462736374
"admin2","level","child_vitA","Gambia","replace",382,0,0.662291434927697
"admin2","level","child_vitA","Gambia","cs_replace",79,0,0.753948832035595
"admin2","level","child_vitA","Ghana","base",394,0,0.404466571834993
"admin2","level","child_vitA","Ghana","plus",423,0,0.392176386913229
"admin2","level","child_vitA","Ghana","addon_only",29,0,0.320512091038407
"admin2","level","child_vitA","Ghana","cs",91,0,0.259260312944523
"admin2","level","child_vitA","Ghana","cs_plus",120,0,0.290440967283073
"admin2","level","child_vitA","Ghana","replace",382,0,0.391379800853485
"admin2","level","child_vitA","Ghana","cs_replace",79,0,0.284153627311522
"admin2","level","child_vitA","Malawi","base",394,0,0.206149303783626
"admin2","level","child_vitA","Malawi","plus",423,0,0.226561930451265
"admin2","level","child_vitA","Malawi","addon_only",29,0,0.24517022672596
"admin2","level","child_vitA","Malawi","cs",91,0,0.188816796675658
"admin2","level","child_vitA","Malawi","cs_plus",120,0,0.281748924691988
"admin2","level","child_vitA","Malawi","replace",382,0,0.208026536414668
"admin2","level","child_vitA","Malawi","cs_replace",79,0,0.291317343442444
"admin2","level","child_vitA","SierraLeone","base",394,0,0.0681318681318681
"admin2","level","child_vitA","SierraLeone","plus",423,0,0.0593406593406593
"admin2","level","child_vitA","SierraLeone","addon_only",29,0,0.362637362637363
"admin2","level","child_vitA","SierraLeone","cs",91,0,0.446153846153846
"admin2","level","child_vitA","SierraLeone","cs_plus",120,0,0.49010989010989
"admin2","level","child_vitA","SierraLeone","replace",382,0,0.0505494505494506
"admin2","level","child_vitA","SierraLeone","cs_replace",79,0,0.393406593406593
"admin2","level","women_vitA","Gambia","base",394,0,0.767741935483871
"admin2","level","women_vitA","Gambia","plus",423,0,0.752169076751947
"admin2","level","women_vitA","Gambia","addon_only",29,0,0.604449388209121
"admin2","level","women_vitA","Gambia","cs",91,0,0.759288097886541
"admin2","level","women_vitA","Gambia","cs_plus",120,0,0.753503893214683
"admin2","level","women_vitA","Gambia","replace",382,0,0.734371523915462
"admin2","level","women_vitA","Gambia","cs_replace",79,0,0.737041156840934
"admin2","level","women_vitA","Ghana","base",394,0,0.334395448079659
"admin2","level","women_vitA","Ghana","plus",423,0,0.331834992887624
"admin2","level","women_vitA","Ghana","addon_only",29,0,0.335106685633001
"admin2","level","women_vitA","Ghana","cs",91,0,0.422475106685633
"admin2","level","women_vitA","Ghana","cs_plus",120,0,0.426429587482219
"admin2","level","women_vitA","Ghana","replace",382,0,0.271209103840683
"admin2","level","women_vitA","Ghana","cs_replace",79,0,0.373285917496444
"admin2","level","women_vitA","Malawi","base",394,0,0.212455347379164
"admin2","level","women_vitA","Malawi","plus",423,0,0.208062987533717
"admin2","level","women_vitA","Malawi","addon_only",29,0,0.204709484581177
"admin2","level","women_vitA","Malawi","cs",91,0,0.226306772617919
"admin2","level","women_vitA","Malawi","cs_plus",120,0,0.20336079317635
"admin2","level","women_vitA","Malawi","replace",382,0,0.169479478019975
"admin2","level","women_vitA","Malawi","cs_replace",79,0,0.104432456076402
"admin2","level","women_vitA","SierraLeone","base",394,0,-0.107692307692308
"admin2","level","women_vitA","SierraLeone","plus",423,0,-0.0505494505494506
"admin2","level","women_vitA","SierraLeone","addon_only",29,0,0.261538461538461
"admin2","level","women_vitA","SierraLeone","cs",91,0,0.2
"admin2","level","women_vitA","SierraLeone","cs_plus",120,0,0.296703296703297
"admin2","level","women_vitA","SierraLeone","replace",382,0,-0.0505494505494506
"admin2","level","women_vitA","SierraLeone","cs_replace",79,0,0.450549450549451
"admin2","level","child_iron","Gambia","base",394,0,0.527030033370412
"admin2","level","child_iron","Gambia","plus",423,0,0.510122358175751
"admin2","level","child_iron","Gambia","addon_only",29,0,0.43047830923248
"admin2","level","child_iron","Gambia","cs",91,0,0.550611790878754
"admin2","level","child_iron","Gambia","cs_plus",120,0,0.555061179087875
"admin2","level","child_iron","Gambia","replace",382,0,0.489210233592881
"admin2","level","child_iron","Gambia","cs_replace",79,0,0.532814238042269
"admin2","level","child_iron","Ghana","base",394,0,0.526315789473684
"admin2","level","child_iron","Ghana","plus",423,0,0.524409672830725
"admin2","level","child_iron","Ghana","addon_only",29,0,-0.347539118065434
"admin2","level","child_iron","Ghana","cs",91,0,0.560284495021337
"admin2","level","child_iron","Ghana","cs_plus",120,0,0.561678520625889
"admin2","level","child_iron","Ghana","replace",382,0,0.510412517780939
"admin2","level","child_iron","Ghana","cs_replace",79,0,0.526031294452347
"admin2","level","child_iron","Malawi","base",394,0,-0.0526171903477437
"admin2","level","child_iron","Malawi","plus",423,0,-0.0790624772180506
"admin2","level","child_iron","Malawi","addon_only",29,0,-0.130987096303856
"admin2","level","child_iron","Malawi","cs",91,0,0.190548224830502
"admin2","level","child_iron","Malawi","cs_plus",120,0,0.102427644528687
"admin2","level","child_iron","Malawi","replace",382,0,-0.107512575636072
"admin2","level","child_iron","Malawi","cs_replace",79,0,0.106236786469345
"admin2","level","child_iron","SierraLeone","base",394,0,0.274725274725275
"admin2","level","child_iron","SierraLeone","plus",423,0,0.349450549450549
"admin2","level","child_iron","SierraLeone","addon_only",29,0,0.463736263736264
"admin2","level","child_iron","SierraLeone","cs",91,0,0.327472527472527
"admin2","level","child_iron","SierraLeone","cs_plus",120,0,0.459340659340659
"admin2","level","child_iron","SierraLeone","replace",382,0,0.345054945054945
"admin2","level","child_iron","SierraLeone","cs_replace",79,0,0.454945054945055
"admin2","level","women_iron","Gambia","base",394,0,0.410456062291435
"admin2","level","women_iron","Gambia","plus",423,0,0.494549499443827
"admin2","level","women_iron","Gambia","addon_only",29,0,0.739265850945495
"admin2","level","women_iron","Gambia","cs",91,0,0.729477196885428
"admin2","level","women_iron","Gambia","cs_plus",120,0,0.744160177975528
"admin2","level","women_iron","Gambia","replace",382,0,0.339710789766407
"admin2","level","women_iron","Gambia","cs_replace",79,0,0.743715239154616
"admin2","level","women_iron","Ghana","base",394,0,0.279743954480797
"admin2","level","women_iron","Ghana","plus",423,0,0.280512091038407
"admin2","level","women_iron","Ghana","addon_only",29,0,0.148364153627312
"admin2","level","women_iron","Ghana","cs",91,0,0.358065433854908
"admin2","level","women_iron","Ghana","cs_plus",120,0,0.357610241820768
"admin2","level","women_iron","Ghana","replace",382,0,0.250071123755334
"admin2","level","women_iron","Ghana","cs_replace",79,0,0.340256045519203
"admin2","level","women_iron","Malawi","base",394,0,0.270868265655756
"admin2","level","women_iron","Malawi","plus",423,0,0.22568710359408
"admin2","level","women_iron","Malawi","addon_only",29,0,-0.138915214697091
"admin2","level","women_iron","Malawi","cs",91,0,0.219617992272363
"admin2","level","women_iron","Malawi","cs_plus",120,0,0.134905591601662
"admin2","level","women_iron","Malawi","replace",382,0,0.227928847415616
"admin2","level","women_iron","Malawi","cs_replace",79,0,0.15169133192389
"admin2","level","women_iron","SierraLeone","base",394,0,-0.0153846153846154
"admin2","level","women_iron","SierraLeone","plus",423,0,0.0901098901098901
"admin2","level","women_iron","SierraLeone","addon_only",29,0,0.367032967032967
"admin2","level","women_iron","SierraLeone","cs",91,0,0.0593406593406593
"admin2","level","women_iron","SierraLeone","cs_plus",120,0,0.142857142857143
"admin2","level","women_iron","SierraLeone","replace",382,0,0.0989010989010989
"admin2","level","women_iron","SierraLeone","cs_replace",79,0,0.195604395604396
"admin2","level","women_folate","Ghana","base",395,0,-0.102247510668563
"admin2","level","women_folate","Ghana","plus",424,0,-0.17701280227596
"admin2","level","women_folate","Ghana","addon_only",29,0,-0.400739687055476
"admin2","level","women_folate","Ghana","cs",91,0,0.0845234708392603
"admin2","level","women_folate","Ghana","cs_plus",120,0,-0.182958748221906
"admin2","level","women_folate","Ghana","replace",383,0,-0.193428165007112
"admin2","level","women_folate","Ghana","cs_replace",79,0,-0.253513513513513
"admin2","level","women_folate","Malawi","base",395,0,-0.0892870161113946
"admin2","level","women_folate","Malawi","plus",424,0,-0.1115951009696
"admin2","level","women_folate","Malawi","addon_only",29,0,-0.115221987315011
"admin2","level","women_folate","Malawi","cs",91,0,0.275169497703579
"admin2","level","women_folate","Malawi","cs_plus",120,0,0.171976379674856
"admin2","level","women_folate","Malawi","replace",383,0,-0.167638696507983
"admin2","level","women_folate","Malawi","cs_replace",79,0,-0.044634395275935
"admin2","level","women_folate","SierraLeone","base",395,0,0.032967032967033
"admin2","level","women_folate","SierraLeone","plus",424,0,-0.00659340659340659
"admin2","level","women_folate","SierraLeone","addon_only",29,0,-0.318681318681319
"admin2","level","women_folate","SierraLeone","cs",91,0,0.151648351648352
"admin2","level","women_folate","SierraLeone","cs_plus",120,0,0.156043956043956
"admin2","level","women_folate","SierraLeone","replace",383,0,0.0241758241758242
"admin2","level","women_folate","SierraLeone","cs_replace",79,0,-0.213186813186813
"admin2","level","women_b12","Ghana","base",395,0,0.595874822190611
"admin2","level","women_b12","Ghana","plus",424,0,0.620341394025605
"admin2","level","women_b12","Ghana","addon_only",29,0,0.617268847795164
"admin2","level","women_b12","Ghana","cs",91,0,0.553968705547653
"admin2","level","women_b12","Ghana","cs_plus",120,0,0.600625889046942
"admin2","level","women_b12","Ghana","replace",383,0,0.594793741109531
"admin2","level","women_b12","Ghana","cs_replace",79,0,0.59547652916074
"admin2","level","women_b12","Malawi","base",395,0,0.443792374425895
"admin2","level","women_b12","Malawi","plus",424,0,0.477072246117956
"admin2","level","women_b12","Malawi","addon_only",29,0,0.463949843260188
"admin2","level","women_b12","Malawi","cs",91,0,0.456240431581249
"admin2","level","women_b12","Malawi","cs_plus",120,0,0.581960341182474
"admin2","level","women_b12","Malawi","replace",383,0,0.450335350295254
"admin2","level","women_b12","Malawi","cs_replace",79,0,0.496008602464096
"admin2","level","women_b12","SierraLeone","base",395,0,0.432967032967033
"admin2","level","women_b12","SierraLeone","plus",424,0,0.516483516483516
"admin2","level","women_b12","SierraLeone","addon_only",29,0,0.252747252747253
"admin2","level","women_b12","SierraLeone","cs",91,0,0.336263736263736
"admin2","level","women_b12","SierraLeone","cs_plus",120,0,0.428571428571429
"admin2","level","women_b12","SierraLeone","replace",383,0,0.485714285714286
"admin2","level","women_b12","SierraLeone","cs_replace",79,0,0.428571428571429
"admin2","prev","child_vitA","Gambia","base",394,0,0.564428533588298
"admin2","prev","child_vitA","Gambia","plus",423,0,0.540372384564014
"admin2","prev","child_vitA","Gambia","addon_only",29,0,0.187326123420584
"admin2","prev","child_vitA","Gambia","cs",91,0,0.643724728520198
"admin2","prev","child_vitA","Gambia","cs_plus",120,0,0.572224507809131
"admin2","prev","child_vitA","Gambia","replace",382,0,0.529012536413658
"admin2","prev","child_vitA","Gambia","cs_replace",79,0,0.478450075038542
"admin2","prev","child_vitA","Ghana","base",394,0,0.362151436168232
"admin2","prev","child_vitA","Ghana","plus",423,0,0.353923010289852
"admin2","prev","child_vitA","Ghana","addon_only",29,0,0.307458297724871
"admin2","prev","child_vitA","Ghana","cs",91,0,0.226396794534881
"admin2","prev","child_vitA","Ghana","cs_plus",120,0,0.255225055829067
"admin2","prev","child_vitA","Ghana","replace",382,0,0.353779156690579
"admin2","prev","child_vitA","Ghana","cs_replace",79,0,0.251240311129222
"admin2","prev","child_vitA","Malawi","base",394,0,0.217629812512388
"admin2","prev","child_vitA","Malawi","plus",423,0,0.195973447213391
"admin2","prev","child_vitA","Malawi","addon_only",29,0,0.0107472687571729
"admin2","prev","child_vitA","Malawi","cs",91,0,0.2011995327295
"admin2","prev","child_vitA","Malawi","cs_plus",120,0,0.211232855377915
"admin2","prev","child_vitA","Malawi","replace",382,0,0.187263304686541
"admin2","prev","child_vitA","Malawi","cs_replace",79,0,0.122370363041149
"admin2","prev","child_vitA","SierraLeone","base",394,0,-0.204395604395604
"admin2","prev","child_vitA","SierraLeone","plus",423,0,-0.16043956043956
"admin2","prev","child_vitA","SierraLeone","addon_only",29,0,0.221978021978022
"admin2","prev","child_vitA","SierraLeone","cs",91,0,0.235164835164835
"admin2","prev","child_vitA","SierraLeone","cs_plus",120,0,0.147252747252747
"admin2","prev","child_vitA","SierraLeone","replace",382,0,-0.213186813186813
"admin2","prev","child_vitA","SierraLeone","cs_replace",79,0,0.257142857142857
"admin2","prev","women_vitA","Gambia","base",394,0,0.459235333328848
"admin2","prev","women_vitA","Gambia","plus",423,0,0.409721457328651
"admin2","prev","women_vitA","Gambia","addon_only",29,0,0.145725672967407
"admin2","prev","women_vitA","Gambia","cs",91,0,0.559905725765269
"admin2","prev","women_vitA","Gambia","cs_plus",120,0,0.422158592058558
"admin2","prev","women_vitA","Gambia","replace",382,0,0.377807300285869
"admin2","prev","women_vitA","Gambia","cs_replace",79,0,0.393999041726692
"admin2","prev","women_vitA","Ghana","base",394,0,0.249979365410831
"admin2","prev","women_vitA","Ghana","plus",423,0,0.252163564573657
"admin2","prev","women_vitA","Ghana","addon_only",29,0,0.232149168163268
"admin2","prev","women_vitA","Ghana","cs",91,0,0.224705060812411
"admin2","prev","women_vitA","Ghana","cs_plus",120,0,0.239905303965958
"admin2","prev","women_vitA","Ghana","replace",382,0,0.24146544622512
"admin2","prev","women_vitA","Ghana","cs_replace",79,0,0.25818125614471
"admin2","prev","women_vitA","Malawi","base",394,0,0.0870144900008482
"admin2","prev","women_vitA","Malawi","plus",423,0,0.131602905428455
"admin2","prev","women_vitA","Malawi","addon_only",29,0,0.276826979888423
"admin2","prev","women_vitA","Malawi","cs",91,0,0.0623922145788777
"admin2","prev","women_vitA","Malawi","cs_plus",120,0,0.149091034382008
"admin2","prev","women_vitA","Malawi","replace",382,0,0.0980313799011914
"admin2","prev","women_vitA","Malawi","cs_replace",79,0,0.120522881488568
"admin2","prev","women_vitA","SierraLeone","base",394,0,-0.0732014417394684
"admin2","prev","women_vitA","SierraLeone","plus",423,0,-0.0960768922830523
"admin2","prev","women_vitA","SierraLeone","addon_only",29,0,-0.0366007208697342
"admin2","prev","women_vitA","SierraLeone","cs",91,0,0.0274505406523006
"admin2","prev","women_vitA","SierraLeone","cs_plus",120,0,-0.107514617554844
"admin2","prev","women_vitA","SierraLeone","replace",382,0,-0.0892142571199771
"admin2","prev","women_vitA","SierraLeone","cs_replace",79,0,0.0960768922830523
"admin2","prev","child_iron","Gambia","base",394,0,0.581822230766827
"admin2","prev","child_iron","Gambia","plus",423,0,0.572032487687003
"admin2","prev","child_iron","Gambia","addon_only",29,0,0.415396598409815
"admin2","prev","child_iron","Gambia","cs",91,0,0.565135168698945
"admin2","prev","child_iron","Gambia","cs_plus",120,0,0.550673048240114
"admin2","prev","child_iron","Gambia","replace",382,0,0.570697522721573
"admin2","prev","child_iron","Gambia","cs_replace",79,0,0.454778064890017
"admin2","prev","child_iron","Ghana","base",394,0,0.540170356477344
"admin2","prev","child_iron","Ghana","plus",423,0,0.535401585852137
"admin2","prev","child_iron","Ghana","addon_only",29,0,-0.472979235033568
"admin2","prev","child_iron","Ghana","cs",91,0,0.497908197643179
"admin2","prev","child_iron","Ghana","cs_plus",120,0,0.495666589894205
"admin2","prev","child_iron","Ghana","replace",382,0,0.535358752583049
"admin2","prev","child_iron","Ghana","cs_replace",79,0,0.481460222313126
"admin2","prev","child_iron","Malawi","base",394,0,-0.136535319509507
"admin2","prev","child_iron","Malawi","plus",423,0,-0.16269318833738
"admin2","prev","child_iron","Malawi","addon_only",29,0,-0.162802635487288
"admin2","prev","child_iron","Malawi","cs",91,0,0.179347396314959
"admin2","prev","child_iron","Malawi","cs_plus",120,0,0.0593477170372986
"admin2","prev","child_iron","Malawi","replace",382,0,-0.185941587096881
"admin2","prev","child_iron","Malawi","cs_replace",79,0,0.114709733698802
"admin2","prev","child_iron","SierraLeone","base",394,0,0.375824175824176
"admin2","prev","child_iron","SierraLeone","plus",423,0,0.38021978021978
"admin2","prev","child_iron","SierraLeone","addon_only",29,0,0.375824175824176
"admin2","prev","child_iron","SierraLeone","cs",91,0,0.208791208791209
"admin2","prev","child_iron","SierraLeone","cs_plus",120,0,0.217582417582418
"admin2","prev","child_iron","SierraLeone","replace",382,0,0.41978021978022
"admin2","prev","child_iron","SierraLeone","cs_replace",79,0,0.301098901098901
"admin2","prev","women_iron","Gambia","base",394,0,0.395817112250167
"admin2","prev","women_iron","Gambia","plus",423,0,0.438535991143945
"admin2","prev","women_iron","Gambia","addon_only",29,0,0.742685509101212
"admin2","prev","women_iron","Gambia","cs",91,0,0.736010684274059
"admin2","prev","women_iron","Gambia","cs_plus",120,0,0.760707536134525
"admin2","prev","women_iron","Gambia","replace",382,0,0.313716766876186
"admin2","prev","women_iron","Gambia","cs_replace",79,0,0.740460567492161
"admin2","prev","women_iron","Ghana","base",394,0,0.327863593776276
"admin2","prev","women_iron","Ghana","plus",423,0,0.328295239355479
"admin2","prev","women_iron","Ghana","addon_only",29,0,-0.243850975877489
"admin2","prev","women_iron","Ghana","cs",91,0,0.318122791872273
"admin2","prev","women_iron","Ghana","cs_plus",120,0,0.322683846825846
"admin2","prev","women_iron","Ghana","replace",382,0,0.310137348657026
"admin2","prev","women_iron","Ghana","cs_replace",79,0,0.285202622365092
"admin2","prev","women_iron","Malawi","base",394,0,0.162364328753514
"admin2","prev","women_iron","Malawi","plus",423,0,0.120609269919519
"admin2","prev","women_iron","Malawi","addon_only",29,0,-0.144379385433973
"admin2","prev","women_iron","Malawi","cs",91,0,0.119850255327547
"admin2","prev","women_iron","Malawi","cs_plus",120,0,0.0259731090862756
"admin2","prev","women_iron","Malawi","replace",382,0,0.13117068027855
"admin2","prev","women_iron","Malawi","cs_replace",79,0,0.065395586491282
"admin2","prev","women_iron","SierraLeone","base",394,0,-0.032967032967033
"admin2","prev","women_iron","SierraLeone","plus",423,0,-0.0417582417582418
"admin2","prev","women_iron","SierraLeone","addon_only",29,0,0.226373626373626
"admin2","prev","women_iron","SierraLeone","cs",91,0,-0.142857142857143
"admin2","prev","women_iron","SierraLeone","cs_plus",120,0,-0.0197802197802198
"admin2","prev","women_iron","SierraLeone","replace",382,0,-0.0285714285714286
"admin2","prev","women_iron","SierraLeone","cs_replace",79,0,0.213186813186813
"admin2","prev","women_folate","Ghana","base",395,0,-0.0156915011339403
"admin2","prev","women_folate","Ghana","plus",424,0,-0.0506090104692296
"admin2","prev","women_folate","Ghana","addon_only",29,0,-0.206569134818647
