"tier","target","outcome","heldout","set","n_cols","addon_imputed_heldout","spearman"
"admin2","level","child_vitA","Gambia","base",322,128,0.626251390433815
"admin2","level","child_vitA","Gambia","plus",450,128,0.626251390433815
"admin2","level","child_vitA","Gambia","addon_only",128,128,NA
"admin2","level","child_vitA","Gambia","cs",101,128,0.78420467185762
"admin2","level","child_vitA","Gambia","cs_plus",229,128,0.78420467185762
"admin2","level","child_vitA","Ghana","base",322,0,0.367055476529161
"admin2","level","child_vitA","Ghana","plus",450,0,0.367055476529161
"admin2","level","child_vitA","Ghana","addon_only",128,0,NA
"admin2","level","child_vitA","Ghana","cs",101,0,0.290867709815078
"admin2","level","child_vitA","Ghana","cs_plus",229,0,0.290867709815078
"admin2","level","child_vitA","Malawi","base",322,128,0.268298461762776
"admin2","level","child_vitA","Malawi","plus",450,128,0.268298461762776
"admin2","level","child_vitA","Malawi","addon_only",128,128,NA
"admin2","level","child_vitA","Malawi","cs",101,128,0.225632426915506
"admin2","level","child_vitA","Malawi","cs_plus",229,128,0.225632426915506
"admin2","level","child_vitA","SierraLeone","base",322,128,0.0417582417582418
"admin2","level","child_vitA","SierraLeone","plus",450,128,0.0417582417582418
"admin2","level","child_vitA","SierraLeone","addon_only",128,128,NA
"admin2","level","child_vitA","SierraLeone","cs",101,128,0.397802197802198
"admin2","level","child_vitA","SierraLeone","cs_plus",229,128,0.397802197802198
"admin2","level","women_vitA","Gambia","base",322,128,0.765962180200222
"admin2","level","women_vitA","Gambia","plus",450,128,0.765962180200222
"admin2","level","women_vitA","Gambia","addon_only",128,128,NA
"admin2","level","women_vitA","Gambia","cs",101,128,0.745494994438265
"admin2","level","women_vitA","Gambia","cs_plus",229,128,0.745494994438265
"admin2","level","women_vitA","Ghana","base",322,0,0.309843527738265
"admin2","level","women_vitA","Ghana","plus",450,0,0.309843527738265
"admin2","level","women_vitA","Ghana","addon_only",128,0,NA
"admin2","level","women_vitA","Ghana","cs",101,0,0.43448079658606
"admin2","level","women_vitA","Ghana","cs_plus",229,0,0.43448079658606
"admin2","level","women_vitA","Malawi","base",322,128,0.245990376904571
"admin2","level","women_vitA","Malawi","plus",450,128,0.245990376904571
"admin2","level","women_vitA","Malawi","addon_only",128,128,NA
"admin2","level","women_vitA","Malawi","cs",101,128,0.206732521688416
"admin2","level","women_vitA","Malawi","cs_plus",229,128,0.206732521688416
"admin2","level","women_vitA","SierraLeone","base",322,128,-0.0241758241758242
"admin2","level","women_vitA","SierraLeone","plus",450,128,-0.0241758241758242
"admin2","level","women_vitA","SierraLeone","addon_only",128,128,NA
"admin2","level","women_vitA","SierraLeone","cs",101,128,0.38021978021978
"admin2","level","women_vitA","SierraLeone","cs_plus",229,128,0.38021978021978
"admin2","level","child_iron","Gambia","base",322,128,0.405561735261402
"admin2","level","child_iron","Gambia","plus",450,128,0.405561735261402
"admin2","level","child_iron","Gambia","addon_only",128,128,NA
"admin2","level","child_iron","Gambia","cs",101,128,0.536373748609566
"admin2","level","child_iron","Gambia","cs_plus",229,128,0.536373748609566
"admin2","level","child_iron","Ghana","base",322,0,0.555704125177809
"admin2","level","child_iron","Ghana","plus",450,0,0.555704125177809
"admin2","level","child_iron","Ghana","addon_only",128,0,NA
"admin2","level","child_iron","Ghana","cs",101,0,0.567368421052632
"admin2","level","child_iron","Ghana","cs_plus",229,0,0.567368421052632
"admin2","level","child_iron","Malawi","base",322,128,-0.0568090690384195
"admin2","level","child_iron","Malawi","plus",450,128,-0.0568090690384195
"admin2","level","child_iron","Malawi","addon_only",128,128,NA
"admin2","level","child_iron","Malawi","cs",101,128,0.142615003280601
"admin2","level","child_iron","Malawi","cs_plus",229,128,0.142615003280601
"admin2","level","child_iron","SierraLeone","base",322,128,0.257142857142857
"admin2","level","child_iron","SierraLeone","plus",450,128,0.257142857142857
"admin2","level","child_iron","SierraLeone","addon_only",128,128,NA
"admin2","level","child_iron","SierraLeone","cs",101,128,0.314285714285714
"admin2","level","child_iron","SierraLeone","cs_plus",229,128,0.314285714285714
"admin2","level","women_iron","Gambia","base",322,128,0.61245828698554
"admin2","level","women_iron","Gambia","plus",450,128,0.61245828698554
"admin2","level","women_iron","Gambia","addon_only",128,128,NA
"admin2","level","women_iron","Gambia","cs",101,128,0.712124582869855
"admin2","level","women_iron","Gambia","cs_plus",229,128,0.712124582869855
"admin2","level","women_iron","Ghana","base",322,0,0.352375533428165
"admin2","level","women_iron","Ghana","plus",450,0,0.352375533428165
"admin2","level","women_iron","Ghana","addon_only",128,0,NA
"admin2","level","women_iron","Ghana","cs",101,0,0.319857752489331
"admin2","level","women_iron","Ghana","cs_plus",229,0,0.319857752489331
"admin2","level","women_iron","Malawi","base",322,128,0.218706714296129
"admin2","level","women_iron","Malawi","plus",450,128,0.218706714296129
"admin2","level","women_iron","Malawi","addon_only",128,128,NA
"admin2","level","women_iron","Malawi","cs",101,128,0.289221404097106
"admin2","level","women_iron","Malawi","cs_plus",229,128,0.289221404097106
"admin2","level","women_iron","SierraLeone","base",322,128,-0.032967032967033
"admin2","level","women_iron","SierraLeone","plus",450,128,-0.032967032967033
"admin2","level","women_iron","SierraLeone","addon_only",128,128,NA
"admin2","level","women_iron","SierraLeone","cs",101,128,0.107692307692308
"admin2","level","women_iron","SierraLeone","cs_plus",229,128,0.107692307692308
"admin2","level","women_folate","Ghana","base",324,0,-0.0603129445234708
"admin2","level","women_folate","Ghana","plus",452,0,-0.0603129445234708
"admin2","level","women_folate","Ghana","addon_only",128,0,NA
"admin2","level","women_folate","Ghana","cs",101,0,-0.00679943100995732
"admin2","level","women_folate","Ghana","cs_plus",229,0,-0.00679943100995732
"admin2","level","women_folate","Malawi","base",324,128,0.104450681635926
"admin2","level","women_folate","Malawi","plus",452,128,0.104450681635926
"admin2","level","women_folate","Malawi","addon_only",128,128,NA
"admin2","level","women_folate","Malawi","cs",101,128,0.279525406429977
"admin2","level","women_folate","Malawi","cs_plus",229,128,0.279525406429977
"admin2","level","women_folate","SierraLeone","base",324,128,0.2
"admin2","level","women_folate","SierraLeone","plus",452,128,0.2
"admin2","level","women_folate","SierraLeone","addon_only",128,128,NA
"admin2","level","women_folate","SierraLeone","cs",101,128,0.103296703296703
"admin2","level","women_folate","SierraLeone","cs_plus",229,128,0.103296703296703
"admin2","level","women_b12","Ghana","base",324,0,0.59977240398293
"admin2","level","women_b12","Ghana","plus",452,0,0.59977240398293
"admin2","level","women_b12","Ghana","addon_only",128,0,NA
"admin2","level","women_b12","Ghana","cs",101,0,0.600455192034139
"admin2","level","women_b12","Ghana","cs_plus",229,0,0.600455192034139
"admin2","level","women_b12","Malawi","base",324,128,0.450590508128599
"admin2","level","women_b12","Malawi","plus",452,128,0.450590508128599
"admin2","level","women_b12","Malawi","addon_only",128,128,NA
"admin2","level","women_b12","Malawi","cs",101,128,0.493402347452067
"admin2","level","women_b12","Malawi","cs_plus",229,128,0.493402347452067
