"target","domain","cells","drop","only","full","delta_drop"
"level","Climate and weather",22,0.28,0.335,0.308,0.028
"level","Soil characteristics",22,0.283,0.327,0.308,0.025
"level","Anaemia and haemoglobin",22,0.286,0.17,0.308,0.021
"level","Agricultural production, land use",22,0.292,0.179,0.308,0.015
"level","Ecosystem productivity/greenness",22,0.295,0.214,0.308,0.012
"level","Infection and inflammation burden",22,0.297,0.145,0.308,0.01
"level","Livestock density",22,0.297,0.236,0.308,0.01
"level","Built environment",22,0.303,0.092,0.308,0.005
"level","Immunisation",22,0.304,-0.013,0.308,0.004
"level","Child anthropometry",22,0.305,0.201,0.308,0.003
"level","Food prices and supply",22,0.305,0.012,0.308,0.003
"level","Water and coast proximity",22,0.305,-0.013,0.308,0.003
"level","Food fortification and supplementation",22,0.306,0.032,0.308,0.002
"level","Satellite embedding",22,0.306,0.204,0.308,0.001
"level","Household assets and characteristics",22,0.307,0.163,0.308,0
"level","Household diet and consumption (HCES)",22,0.311,-0.097,0.308,-0.003
"level","Ruralness, population density, built environment",22,0.311,-0.085,0.308,-0.003
"level","Infant and young child feeding",22,0.314,0.047,0.308,-0.006
"level","Education, employment, SES",22,0.32,0.097,0.308,-0.013
"level","Water and sanitation",22,0.322,0.031,0.308,-0.014
"prev","Soil characteristics",22,0.199,0.228,0.23,0.031
"prev","Infection and inflammation burden",22,0.209,0.127,0.23,0.021
"prev","Climate and weather",22,0.211,0.264,0.23,0.019
"prev","Agricultural production, land use",22,0.213,0.183,0.23,0.018
"prev","Livestock density",22,0.216,0.138,0.23,0.014
"prev","Anaemia and haemoglobin",22,0.22,0.157,0.23,0.01
"prev","Child anthropometry",22,0.221,0.157,0.23,0.009
"prev","Water and coast proximity",22,0.225,0.116,0.23,0.005
"prev","Food fortification and supplementation",22,0.228,-0.108,0.23,0.002
"prev","Food prices and supply",22,0.229,0.042,0.23,0.001
"prev","Infant and young child feeding",22,0.231,0.091,0.23,-0.001
"prev","Household assets and characteristics",22,0.234,0.106,0.23,-0.004
"prev","Household diet and consumption (HCES)",22,0.234,-0.119,0.23,-0.004
"prev","Ecosystem productivity/greenness",22,0.236,0.117,0.23,-0.006
"prev","Ruralness, population density, built environment",22,0.236,0.001,0.23,-0.006
"prev","Immunisation",22,0.237,-0.073,0.23,-0.007
"prev","Built environment",22,0.24,0.048,0.23,-0.01
"prev","Satellite embedding",22,0.242,0.112,0.23,-0.012
"prev","Water and sanitation",22,0.246,-0.019,0.23,-0.016
"prev","Education, employment, SES",22,0.252,0.004,0.23,-0.021
