"tier","target","outcome","heldout","n_units","rho_full","rho_cs","rho_urb_only","rho_full_resid","rho_cs_resid","partial_full","partial_cs","rho_full_plus_urb","rho_cs_plus_urb","cor_y_urb","cor_cs_urb","cor_full_urb"
"admin1","level","child_vitA","Gambia",6,0.828571428571429,0.942857142857143,0.828571428571429,0.828571428571429,0.942857142857143,0.805555555555556,0.852386356061616,0.828571428571429,0.942857142857143,-0.828571428571429,-0.771428571428571,-0.542857142857143
"admin1","level","child_vitA","Ghana",16,0.517647058823529,0.402941176470588,0.129411764705882,0.508823529411765,0.411764705882353,0.517549315578334,0.39724885109932,0.517647058823529,0.405882352941176,-0.129411764705882,-0.0794117647058823,-0.441176470588235
"admin1","level","child_vitA","Malawi",27,0.526251526251526,0.28998778998779,0.158119658119658,-0.0262515262515262,0.0482295482295482,0.545423556239214,0.325986094154961,0.553724053724054,0.319291819291819,-0.158119658119658,0.171550671550672,0.0695970695970696
"admin1","level","child_vitA","SierraLeone",4,-0.4,0.4,-0.2,0.4,0.4,NA,NA,-0.4,0,0.2,0.8,-0.8
"admin1","level","women_vitA","Gambia",6,0.771428571428571,0.885714285714286,-0.828571428571429,0.942857142857143,0.885714285714286,0.684027777777778,0.75,0.771428571428571,0.771428571428571,-0.828571428571429,-0.714285714285714,-0.542857142857143
"admin1","level","women_vitA","Ghana",16,0.591176470588235,0.579411764705882,0.173529411764706,0.473529411764706,0.538235294117647,0.70255348007309,0.649001708670525,0.626470588235294,0.623529411764706,0.173529411764706,-0.238235294117647,-0.341176470588235
"admin1","level","women_vitA","Malawi",27,0.308302808302808,0.27960927960928,-0.284493284493284,0.311965811965812,0.351648351648352,0.252113419809699,0.216465113335402,0.315018315018315,0.259462759462759,0.284493284493284,0.283272283272283,0.264346764346764
"admin1","level","women_vitA","SierraLeone",4,-0.4,0.4,0.8,-0.4,0.4,NA,NA,-0.4,0.4,0.8,0.8,0
"admin1","level","child_iron","Gambia",6,0.485714285714286,0.6,0.828571428571429,0.485714285714286,0.6,-0.139271503632789,-0.276041666666667,0.485714285714286,0.6,-0.828571428571429,-0.828571428571429,-0.657142857142857
"admin1","level","child_iron","Ghana",16,0.826470588235294,0.726470588235294,0.208823529411765,0.744117647058824,0.688235294117647,0.818895387693669,0.717759449114911,0.838235294117647,0.758823529411765,-0.208823529411765,-0.161764705882353,-0.302941176470588
"admin1","level","child_iron","Malawi",27,-0.0341880341880342,0.11050061050061,0.144688644688645,-0.105006105006105,-0.0311355311355311,-0.0137145952100959,0.158411483621034,-0.0293040293040293,0.133089133089133,-0.144688644688645,0.277167277167277,0.143467643467643
