"variant","target","outcome","country","set","n_units","spearman","thin"
"current","level","child_vitA","Gambia","full",6,0.828571428571429,TRUE
"current","level","child_vitA","Ghana","full",16,0.529411764705882,FALSE
"current","level","child_vitA","Malawi","full",27,0.488400488400488,FALSE
"current","level","child_vitA","SierraLeone","full",4,-0.4,TRUE
"current","level","child_vitA","Gambia","climate_soil",6,0.885714285714286,TRUE
"current","level","child_vitA","Ghana","climate_soil",16,0.452941176470588,FALSE
"current","level","child_vitA","Malawi","climate_soil",27,0.404761904761905,FALSE
"current","level","child_vitA","SierraLeone","climate_soil",4,0,TRUE
"current","level","child_vitA","Gambia","csa",6,0.885714285714286,TRUE
"current","level","child_vitA","Ghana","csa",16,0.452941176470588,FALSE
"current","level","child_vitA","Malawi","csa",27,0.449328449328449,FALSE
"current","level","child_vitA","SierraLeone","csa",4,0,TRUE
"current","level","women_vitA","Gambia","full",6,0.771428571428571,TRUE
"current","level","women_vitA","Ghana","full",16,0.585294117647059,FALSE
"current","level","women_vitA","Malawi","full",27,0.266788766788767,FALSE
"current","level","women_vitA","SierraLeone","full",4,-0.4,TRUE
"current","level","women_vitA","Gambia","climate_soil",6,0.771428571428571,TRUE
"current","level","women_vitA","Ghana","climate_soil",16,0.567647058823529,FALSE
"current","level","women_vitA","Malawi","climate_soil",27,0.316849816849817,FALSE
"current","level","women_vitA","SierraLeone","climate_soil",4,0.2,TRUE
"current","level","women_vitA","Gambia","csa",6,0.657142857142857,TRUE
"current","level","women_vitA","Ghana","csa",16,0.529411764705882,FALSE
"current","level","women_vitA","Malawi","csa",27,0.277777777777778,FALSE
"current","level","women_vitA","SierraLeone","csa",4,0.2,TRUE
"current","level","child_iron","Gambia","full",6,0.485714285714286,TRUE
"current","level","child_iron","Ghana","full",16,0.838235294117647,FALSE
"current","level","child_iron","Malawi","full",27,-0.0457875457875458,FALSE
"current","level","child_iron","SierraLeone","full",4,-0.8,TRUE
"current","level","child_iron","Gambia","climate_soil",6,0.6,TRUE
"current","level","child_iron","Ghana","climate_soil",16,0.738235294117647,FALSE
"current","level","child_iron","Malawi","climate_soil",27,-0.00305250305250305,FALSE
"current","level","child_iron","SierraLeone","climate_soil",4,0.2,TRUE
"current","level","child_iron","Gambia","csa",6,0.657142857142857,TRUE
"current","level","child_iron","Ghana","csa",16,0.647058823529412,FALSE
"current","level","child_iron","Malawi","csa",27,-0.0244200244200244,FALSE
"current","level","child_iron","SierraLeone","csa",4,0.2,TRUE
"current","level","women_iron","Gambia","full",6,0.314285714285714,TRUE
"current","level","women_iron","Ghana","full",16,0.470588235294118,FALSE
"current","level","women_iron","Malawi","full",27,0.130647130647131,FALSE
"current","level","women_iron","SierraLeone","full",4,0,TRUE
"current","level","women_iron","Gambia","climate_soil",6,0.314285714285714,TRUE
"current","level","women_iron","Ghana","climate_soil",16,0.532352941176471,FALSE
"current","level","women_iron","Malawi","climate_soil",27,0.616605616605617,FALSE
"current","level","women_iron","SierraLeone","climate_soil",4,0.8,TRUE
"current","level","women_iron","Gambia","csa",6,0.428571428571429,TRUE
"current","level","women_iron","Ghana","csa",16,0.576470588235294,FALSE
"current","level","women_iron","Malawi","csa",27,0.606837606837607,FALSE
"current","level","women_iron","SierraLeone","csa",4,0.8,TRUE
"current","level","women_folate","Ghana","full",16,-0.00588235294117647,FALSE
"current","level","women_folate","Malawi","full",27,0.161782661782662,FALSE
"current","level","women_folate","SierraLeone","full",4,-0.4,TRUE
"current","level","women_folate","Ghana","climate_soil",16,-0.164705882352941,FALSE
"current","level","women_folate","Malawi","climate_soil",27,-0.00610500610500611,FALSE
"current","level","women_folate","SierraLeone","climate_soil",4,-0.6,TRUE
"current","level","women_folate","Ghana","csa",16,-0.111764705882353,FALSE
"current","level","women_folate","Malawi","csa",27,0.0634920634920635,FALSE
"current","level","women_folate","SierraLeone","csa",4,-0.8,TRUE
"current","level","women_b12","Ghana","full",16,0.691176470588235,FALSE
"current","level","women_b12","Malawi","full",27,0.507936507936508,FALSE
"current","level","women_b12","SierraLeone","full",4,0.8,TRUE
"current","level","women_b12","Ghana","climate_soil",16,0.641176470588235,FALSE
"current","level","women_b12","Malawi","climate_soil",27,0.735653235653236,FALSE
"current","level","women_b12","SierraLeone","climate_soil",4,0.8,TRUE
"current","level","women_b12","Ghana","csa",16,0.65,FALSE
"current","level","women_b12","Malawi","csa",27,0.567765567765568,FALSE
"current","level","women_b12","SierraLeone","csa",4,0.8,TRUE
"current","prev","child_vitA","Gambia","full",6,0.828571428571429,TRUE
"current","prev","child_vitA","Ghana","full",16,0.423529411764706,FALSE
"current","prev","child_vitA","Malawi","full",27,0.44225351290244,FALSE
"current","prev","child_vitA","SierraLeone","full",4,0.4,TRUE
"current","prev","child_vitA","Gambia","climate_soil",6,0.771428571428571,TRUE
"current","prev","child_vitA","Ghana","climate_soil",16,0.394117647058824,FALSE
"current","prev","child_vitA","Malawi","climate_soil",27,0.287780035381526,FALSE
"current","prev","child_vitA","SierraLeone","climate_soil",4,-0.2,TRUE
"current","prev","child_vitA","Gambia","csa",6,0.828571428571429,TRUE
"current","prev","child_vitA","Ghana","csa",16,0.438235294117647,FALSE
"current","prev","child_vitA","Malawi","csa",27,0.175190037188441,FALSE
"current","prev","child_vitA","SierraLeone","csa",4,-0.2,TRUE
"current","prev","women_vitA","Gambia","full",6,0.0857142857142857,TRUE
"current","prev","women_vitA","Ghana","full",16,0.315581817069574,FALSE
"current","prev","women_vitA","Malawi","full",27,0.384371106798037,FALSE
"current","prev","women_vitA","SierraLeone","full",4,0,TRUE
"current","prev","women_vitA","Gambia","climate_soil",6,0.0857142857142857,TRUE
"current","prev","women_vitA","Ghana","climate_soil",16,0.327661503847356,FALSE
"current","prev","women_vitA","Malawi","climate_soil",27,0.190841598480144,FALSE
"current","prev","women_vitA","SierraLeone","climate_soil",4,0.4,TRUE
"current","prev","women_vitA","Gambia","csa",6,0.0857142857142857,TRUE
"current","prev","women_vitA","Ghana","csa",16,0.338231229777916,FALSE
"current","prev","women_vitA","Malawi","csa",27,0.279542623125845,FALSE
"current","prev","women_vitA","SierraLeone","csa",4,0.2,TRUE
"current","prev","child_iron","Gambia","full",6,0.657142857142857,TRUE
