"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Gambia","child_vitA","survey_only",1020,30,0.200980392156863,80,"SL.asl_ranger 4;SL.mean 1",0.569495735448152,0.161869493277395,-0.00798456265630354,0.248731672752321,1.23759173759691,0.0597623389047448
"Gambia","child_vitA","proxies_only",1020,30,0.200980392156863,68,"SL.asl_enet 3;SL.asl_ranger 2",0.586224749364058,0.159090650918618,0.00931968747131195,0.239101359063561,1.18967505485284,0.0477096763740268
"Gambia","child_vitA","both",1020,30,0.200980392156863,148,"SL.asl_enet 5",0.618862786173874,0.15898633034046,0.0099693066813441,0.263708141013225,1.31210879918776,0.0785058942742207
"Gambia","women_vitA","survey_only",1413,30,0.02689313517339,80,"SL.asl_enet 1;SL.mean 4",0.42755980861244,0.0262088598761614,-0.00148894074808914,0.0276042732069689,1.02644310635387,0.000730791302870599
"Gambia","women_vitA","proxies_only",1413,30,0.02689313517339,68,"SL.asl_enet 2;SL.asl_ranger 2;SL.mean 1",0.623215311004785,0.0262530597999003,-0.00317790146654717,0.0357829623255475,1.33056120436839,0.00913550964799902
"Gambia","women_vitA","both",1413,30,0.02689313517339,148,"SL.asl_enet 2;SL.mean 3",0.493674641148325,0.0261414731124814,0.00108603194806101,0.0340493205332579,1.26609710298667,0.00735395630072249
"Gambia","child_iron","survey_only",1013,30,0.622902270483712,80,"SL.asl_ranger 3;SL.mean 2",0.522489856539524,0.237490985363585,-0.0110515468655432,0.650759948035133,1.04472238884246,0.0738738936114913
"Gambia","child_iron","proxies_only",1013,30,0.622902270483712,68,"SL.asl_ranger 4;SL.mean 1",0.587439118493872,0.231442650554959,0.014697549483775,0.678355552700132,1.08902404894649,0.147052813835689
"Gambia","child_iron","both",1013,30,0.622902270483712,148,"SL.asl_ranger 4;SL.mean 1",0.548545481700285,0.234930053854391,-0.000149096148000183,0.65784142320729,1.05609090603643,0.0926527793428924
"Gambia","women_iron","survey_only",1402,30,0.451497860199715,80,"SL.asl_enet 4;SL.asl_ranger 1",0.598055166945028,0.242760578620072,0.019733544563673,0.522539672813005,1.15734695305503,0.129519663568053
"Gambia","women_iron","proxies_only",1402,30,0.451497860199715,68,"SL.asl_enet 4;SL.asl_ranger 1",0.610168516589732,0.240479456848921,0.0289447071244809,0.555011439792171,1.22926704358392,0.188720466305103
"Gambia","women_iron","both",1402,30,0.451497860199715,148,"SL.asl_enet 4;SL.asl_ranger 1",0.59674245085532,0.241123635485038,0.0263435158112785,0.522620984213148,1.15752704560321,0.129667906198744
"Ghana","child_vitA","survey_only",1165,75,0.149356223175966,73,"SL.asl_enet 2;SL.asl_ranger 2;SL.mean 1",0.56793613788464,0.12547395030748,0.012396730308003,0.209942172333104,1.40564730326475,0.0712236435601076
"Ghana","child_vitA","proxies_only",1165,75,0.149356223175966,71,"SL.asl_enet 2;SL.asl_ranger 1;SL.mean 2",0.551303687207859,0.126982770333255,0.000520834258026626,0.172660220606428,1.15602963796833,0.0273957184727435
"Ghana","child_vitA","both",1165,75,0.149356223175966,144,"SL.asl_enet 2;SL.asl_ranger 2;SL.mean 1",0.589382024426737,0.125039314818283,0.0158177386464158,0.215672895815603,1.44401680244355,0.0779605687438728
"Ghana","women_vitA","survey_only",992,75,0.0151209677419355,80,"SL.asl_enet 2;SL.mean 3",0.283248038212214,0.015050067369253,-0.0105922549066229,0.00935949008908685,0.61897427789161,-0.00584993432100906
"Ghana","women_vitA","proxies_only",992,75,0.0151209677419355,71,"SL.asl_enet 1;SL.mean 4",0.249198225861481,0.0150248871413301,-0.00890143567695834,0.00896417228424387,0.592830593731328,-0.00625132148826007
"Ghana","women_vitA","both",992,75,0.0151209677419355,151,"SL.mean 5",0.306175366769021,0.0149924913098475,-0.006726098146282,0.0096873330056856,0.640655622776008,-0.00551705799218003
"Ghana","child_iron","survey_only",1165,75,0.23862660944206,73,"SL.asl_enet 5",0.759832269471908,0.155885797997814,0.141994670469603,0.44899800007968,1.88159233846341,0.276305152303074
"Ghana","child_iron","proxies_only",1165,75,0.23862660944206,71,"SL.asl_ranger 5",0.679629013812625,0.169122111973721,0.0691411579589563,0.371986463164302,1.55886413520292,0.175156966839246
"Ghana","child_iron","both",1165,75,0.23862660944206,144,"SL.asl_enet 2;SL.asl_ranger 3",0.757865410039499,0.15570556789123,0.142986668419235,0.450460452543539,1.88772096119864,0.278225960781537
"Ghana","women_iron","survey_only",981,75,0.135575942915392,80,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.571876329975883,0.116401435714114,0.00677221879636747,0.177036796870693,1.30581276488835,0.0479635586440447
"Ghana","women_iron","proxies_only",981,75,0.135575942915392,71,"SL.asl_enet 1;SL.asl_ranger 4",0.621870123421762,0.114605843207662,0.0220936136759714,0.192369279344371,1.41890423335961,0.0657007818830522
"Ghana","women_iron","both",981,75,0.135575942915392,151,"SL.asl_enet 1;SL.asl_ranger 4",0.624104482905377,0.115234215823669,0.0167318487171781,0.204655959169666,1.50953004470258,0.0799144999356637
"Ghana","women_folate","survey_only",475,75,0.547368421052632,80,"SL.asl_ranger 4;SL.mean 1",0.540500894454383,0.250853199111448,-0.0125000545531382,0.560657780211884,1.02427863692556,0.0293602120960231
"Ghana","women_folate","proxies_only",475,75,0.547368421052632,71,"SL.asl_ranger 4;SL.mean 1",0.541073345259392,0.249160728116169,-0.00566886012899226,0.55258038031517,1.00952184865271,0.0115147937195605
"Ghana","women_folate","both",475,75,0.547368421052632,151,"SL.asl_ranger 3;SL.mean 2",0.527048300536673,0.245420103669407,0.00942914328425848,0.59805233118398,1.09259560504766,0.111976080522746
