"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Gambia","child_vitA","survey_only",1020,30,0.200980392156863,80,"SL.asl_ranger 4;SL.mean 1",0.569495735448152,0.161869493277395,-0.00798456265630354,0.248731672752321,1.23759173759691,0.0597623389047448
"Gambia","child_vitA","proxies_only",1020,30,0.200980392156863,82,"SL.asl_enet 2;SL.asl_ranger 3",0.58344755349394,0.1595792107227,0.00627735546373043,0.240840218680547,1.1983269417276,0.0498859178578623
"Gambia","child_vitA","both",1020,30,0.200980392156863,162,"SL.asl_enet 2;SL.asl_ranger 3",0.622855005237169,0.157667170124918,0.0181839066409408,0.261871134115463,1.30296856974523,0.0762068181567754
"Gambia","women_vitA","survey_only",1413,30,0.02689313517339,80,"SL.asl_enet 1;SL.mean 4",0.42755980861244,0.0262088598761614,-0.00148894074808914,0.0276042732069689,1.02644310635387,0.000730791302870599
"Gambia","women_vitA","proxies_only",1413,30,0.02689313517339,82,"SL.asl_enet 3;SL.asl_ranger 2",0.492153110047847,0.0269406922194271,-0.0294536061980728,0.0355176958353942,1.32069747935295,0.00886291215666327
"Gambia","women_vitA","both",1413,30,0.02689313517339,162,"SL.asl_enet 1;SL.mean 4",0.33600956937799,0.0263155715197519,-0.00556658973434487,0.0189315695329449,0.70395546710661,-0.00818159436359914
"Gambia","child_iron","survey_only",1013,30,0.622902270483712,80,"SL.asl_ranger 3;SL.mean 2",0.522489856539524,0.237490985363585,-0.0110515468655432,0.650759948035133,1.04472238884246,0.0738738936114913
"Gambia","child_iron","proxies_only",1013,30,0.622902270483712,82,"SL.asl_ranger 5",0.580606284381975,0.230169574553365,0.0201173150328504,0.663438371540609,1.06507618125299,0.107494948614233
"Gambia","child_iron","both",1013,30,0.622902270483712,162,"SL.asl_enet 1;SL.asl_ranger 3;SL.mean 1",0.552432771052348,0.23420012881111,0.0029583558800218,0.659632657051363,1.05896653184316,0.0974028313953687
"Gambia","women_iron","survey_only",1402,30,0.451497860199715,80,"SL.asl_enet 4;SL.asl_ranger 1",0.598055166945028,0.242760578620072,0.019733544563673,0.522539672813005,1.15734695305503,0.129519663568053
"Gambia","women_iron","proxies_only",1402,30,0.451497860199715,82,"SL.asl_enet 4;SL.asl_ranger 1",0.608260045154147,0.238548440108982,0.0367421466667975,0.558922739971636,1.23792998647746,0.195851341274687
"Gambia","women_iron","both",1402,30,0.451497860199715,162,"SL.asl_enet 4;SL.asl_ranger 1",0.601767339048476,0.24021970246817,0.0299935944996484,0.535557533971827,1.18617956181438,0.153253137358259
