"target","source","cells","n_cols","full","drop","only","delta_drop"
"level","SoilGrids/iSDA",22,45,0.30216095543492,0.276911036046245,0.326980355208555,0.0252499193886748
"level","GEE",22,80,0.30216095543492,0.287265900017896,0.267010765302048,0.0148950554170243
"level","MapSPAM",22,12,0.30216095543492,0.290595962620877,0.178574928287099,0.0115649928140427
"level","IHME",22,29,0.30216095543492,0.291855513586812,0.206399425107719,0.0103054418481083
"level","Malaria Atlas",22,10,0.30216095543492,0.29315426914105,0.0683280320231723,0.00900668629387025
"level","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",22,8,0.30216095543492,0.293508769129475,0.23634125231315,0.00865218630544473
"level","WorldPop/GHS",22,10,0.30216095543492,0.297902366012623,0.131667654219134,0.00425858942229701
"level","Koppen/AEZ",22,5,0.30216095543492,0.298741983435348,-0.0290044841439927,0.00341897199957225
"level","AlphaEarth",22,64,0.30216095543492,0.299209821776545,0.204394917048318,0.00295113365837513
"level","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",22,5,0.30216095543492,0.301023775838763,-0.0130943883124929,0.00113717959615689
"level","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",22,17,0.30216095543492,0.302364019538425,-0.0455080493654188,-0.000203064103504624
"level","WFP prices",22,4,0.30216095543492,0.303425420191484,0.0121714161993633,-0.00126446475656428
"level","Global Data Lab Subnational HDI (SHDI)",22,2,0.30216095543492,0.303813766478261,0.117228792906918,-0.00165281104334092
"level","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",22,3,0.30216095543492,0.303915804440923,0.0195325572357706,-0.00175484900600265
"level","ACLED (Armed Conflict Location & Event Data Project) export",22,7,0.30216095543492,0.304491192213381,-0.0219369442542712,-0.00233023677846089
"level","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)",22,3,0.30216095543492,0.311107033638618,-0.140033484735321,-0.00894607820369764
"level","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",22,27,0.30216095543492,0.315444090397184,0.159081465888096,-0.0132831349622635
"prev","SoilGrids/iSDA",22,45,0.223185062086678,0.198782726452292,0.227910465378611,0.0244023356343856
"prev","Malaria Atlas",22,10,0.223185062086678,0.209954559051612,0.0864276371225255,0.0132305030350659
"prev","Gridded Livestock of the World 4 (2020, 5 arc-min, dasymetric; FAO catalog)",22,8,0.223185062086678,0.212818418988297,0.137881091278188,0.010366643098381
"prev","MapSPAM",22,12,0.223185062086678,0.212844647237928,0.183122084678723,0.0103404148487497
"prev","MICS microdata (UNICEF MICS6 2017/2018, MICS5 2013-14)",22,27,0.223185062086678,0.219140010960435,0.0862088772395297,0.00404505112624251
"prev","JRC Global Surface Water 1.4; USDOS LSIB 2017 (Earth Engine)",22,5,0.223185062086678,0.220617019872259,0.11636822301758,0.00256804221441856
"prev","Koppen/AEZ",22,5,0.223185062086678,0.222322418877861,-0.0419301917311564,0.000862643208817099
"prev","GEE",22,80,0.223185062086678,0.223326767166057,0.174997005560027,-0.000141705079378912
"prev","WHO ESPEN implementation-unit database 2014-2025 (portal export, no key)",22,3,0.223185062086678,0.224502154198117,-0.00484476907185961,-0.00131709211143952
"prev","WFP prices",22,4,0.223185062086678,0.224962939077837,0.0420515587947909,-0.00177787699115939
"prev","Global Data Lab Subnational HDI (SHDI)",22,2,0.223185062086678,0.226196515856384,0.0461842650389277,-0.00301145376970577
"prev","HCES microdata (IHS4, IHS 2015/16, SLIHS 2011, GLSS7)",22,3,0.223185062086678,0.226710644650909,-0.0930362222390434,-0.0035255825642313
"prev","WorldPop/GHS",22,10,0.223185062086678,0.228162048263133,0.0415746796014917,-0.00497698617645576
"prev","ACLED (Armed Conflict Location & Event Data Project) export",22,7,0.223185062086678,0.22821332890748,-0.00685169345974907,-0.00502826682080246
"prev","IHME",22,29,0.223185062086678,0.230237543383171,0.103282499600734,-0.00705248129649358
"prev","AlphaEarth",22,64,0.223185062086678,0.23386316642421,0.111816034195728,-0.0106781043375318
"prev","WHO Health Inequality Data Repository (HEAT) - UNICEF MICS by subnational region",22,17,0.223185062086678,0.239672450360482,-0.0775258588063295,-0.0164873882738041
