"country","outcome","target","estimand","arm","reps","n_areas","spearman","wmae","topk","na_draws"
"Gambia","child_iron","level","country","domain_enet",1,30,0.412680756395996,NA,0.25,0
"Gambia","child_iron","level","country","domain_index",1,30,0.521690767519466,NA,0.5,0
"Gambia","child_iron","level","country","ridge_min",1,30,0.379755283648498,NA,0.375,0
"Gambia","child_iron","level","country","sl_disc",1,30,0.47853170189099,NA,0.5,0
"Gambia","child_iron","level","country","sl_lrn_domain_index",1,30,0.521690767519466,NA,0.5,0
"Gambia","child_iron","level","country","sl_lrn_domain_pc1_ols",1,30,0.361512791991101,NA,0.25,0
"Gambia","child_iron","level","country","sl_lrn_domain_pc_enet",1,30,0.371301446051168,NA,0.25,0
"Gambia","child_iron","level","country","sl_lrn_domain_pc_ridge",1,30,0.382869855394883,NA,0.25,0
"Gambia","child_iron","level","country","sl_lrn_enet",1,30,0.492769744160178,NA,0.375,0
"Gambia","child_iron","level","country","sl_lrn_hapc",1,30,0.437152391546162,NA,0.375,0
"Gambia","child_iron","level","country","sl_lrn_hapc_lasso",1,30,0.355728587319244,NA,0.5,0
"Gambia","child_iron","level","country","sl_lrn_lasso",1,30,0.57686318131257,NA,0.5,0
"Gambia","child_iron","level","country","sl_lrn_mean",1,30,NA,NA,0.25,1
"Gambia","child_iron","level","country","sl_lrn_ranger",1,30,0.47853170189099,NA,0.5,0
"Gambia","child_iron","level","country","sl_lrn_ridge",1,30,0.494994438264739,NA,0.5,0
"Gambia","child_iron","level","country","sl_lrn_xgb",1,30,0.361957730812013,NA,0.25,0
"Gambia","child_iron","level","country","sl_nnls",1,30,0.475862068965517,NA,0.5,0
"Gambia","child_iron","level","country","sl_rank_disc",1,30,0.47853170189099,NA,0.5,0
"Gambia","child_iron","level","country","sl_rank_nnls",1,30,0.519466073414905,NA,0.5,0
"Gambia","child_iron","prev","country","domain_enet",1,30,0.423183894041494,NA,0.25,0
"Gambia","child_iron","prev","country","domain_index",1,30,0.607409059270913,NA,0.5,0
"Gambia","child_iron","prev","country","ridge_min",1,30,0.548893094952873,NA,0.5,0
"Gambia","child_iron","prev","country","sl_disc",1,30,0.463010348843506,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_domain_index",1,30,0.607409059270913,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_domain_pc1_ols",1,30,0.0496161978818365,NA,0,0
"Gambia","child_iron","prev","country","sl_lrn_domain_pc_enet",1,30,0.468350208705228,NA,0.375,0
"Gambia","child_iron","prev","country","sl_lrn_domain_pc_ridge",1,30,0.463010348843506,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_enet",1,30,0.273890312074174,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_hapc",1,30,0.497941932105606,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_hapc_lasso",1,30,0.566692627825281,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_lasso",1,30,0.242073647064745,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_mean",1,30,NA,NA,0.25,1
"Gambia","child_iron","prev","country","sl_lrn_ranger",1,30,0.584047172375878,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_ridge",1,30,0.583379689893163,NA,0.5,0
"Gambia","child_iron","prev","country","sl_lrn_xgb",1,30,0.382912450917671,NA,0.375,0
"Gambia","child_iron","prev","country","sl_nnls",1,30,0.474580045210571,NA,0.5,0
"Gambia","child_iron","prev","country","sl_rank_disc",1,30,0.463010348843506,NA,0.5,0
"Gambia","child_iron","prev","country","sl_rank_nnls",1,30,0.477472469302337,NA,0.5,0
"Gambia","child_vitA","level","country","domain_enet",1,30,0.66496106785317,NA,0.5,0
"Gambia","child_vitA","level","country","domain_index",1,30,0.686318131256952,NA,0.5,0
"Gambia","child_vitA","level","country","ridge_min",1,30,0.649833147942158,NA,0.5,0
"Gambia","child_vitA","level","country","sl_disc",1,30,0.536818687430478,NA,0.625,0
"Gambia","child_vitA","level","country","sl_lrn_domain_index",1,30,0.686318131256952,NA,0.5,0
"Gambia","child_vitA","level","country","sl_lrn_domain_pc1_ols",1,30,-0.19377085650723,NA,0.375,0
"Gambia","child_vitA","level","country","sl_lrn_domain_pc_enet",1,30,0.424249165739711,NA,0.5,0
"Gambia","child_vitA","level","country","sl_lrn_domain_pc_ridge",1,30,0.639154616240267,NA,0.5,0
"Gambia","child_vitA","level","country","sl_lrn_enet",1,30,0.634705228031146,NA,0.5,0
"Gambia","child_vitA","level","country","sl_lrn_hapc",1,30,0.628031145717464,NA,0.625,0
"Gambia","child_vitA","level","country","sl_lrn_hapc_lasso",1,30,0.536818687430478,NA,0.625,0
"Gambia","child_vitA","level","country","sl_lrn_lasso",1,30,0.702335928809789,NA,0.625,0
"Gambia","child_vitA","level","country","sl_lrn_mean",1,30,NA,NA,0.25,1
"Gambia","child_vitA","level","country","sl_lrn_ranger",1,30,0.546607341490545,NA,0.5,0
"Gambia","child_vitA","level","country","sl_lrn_ridge",1,30,0.658286985539488,NA,0.5,0
"Gambia","child_vitA","level","country","sl_lrn_xgb",1,30,0.512347052280311,NA,0.75,0
"Gambia","child_vitA","level","country","sl_nnls",1,30,0.676974416017798,NA,0.625,0
"Gambia","child_vitA","level","country","sl_rank_disc",1,30,0.686318131256952,NA,0.5,0
"Gambia","child_vitA","level","country","sl_rank_nnls",1,30,0.516796440489433,NA,0.5,0
"Gambia","child_vitA","prev","country","domain_enet",1,30,0.590489361697939,NA,0.625,0
"Gambia","child_vitA","prev","country","domain_index",1,30,0.659984903323649,NA,0.625,0
"Gambia","child_vitA","prev","country","ridge_min",1,30,0.630360201284485,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_disc",1,30,0.600067272883534,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_lrn_domain_index",1,30,0.659984903323649,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_lrn_domain_pc1_ols",1,30,-0.0539035931840443,NA,0.125,0
"Gambia","child_vitA","prev","country","sl_lrn_domain_pc_enet",1,30,0.553736911799728,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_lrn_domain_pc_ridge",1,30,0.484018628053422,NA,0.5,0
"Gambia","child_vitA","prev","country","sl_lrn_enet",1,30,0.441920367260925,NA,0.5,0
"Gambia","child_vitA","prev","country","sl_lrn_hapc",1,30,0.382225478941405,NA,0.5,0
"Gambia","child_vitA","prev","country","sl_lrn_hapc_lasso",1,30,0.642165533676031,NA,0.5,0
"Gambia","child_vitA","prev","country","sl_lrn_lasso",1,30,0.392026132247595,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_lrn_mean",1,30,NA,NA,0.125,1
"Gambia","child_vitA","prev","country","sl_lrn_ranger",1,30,0.244793590534151,NA,0.375,0
"Gambia","child_vitA","prev","country","sl_lrn_ridge",1,30,0.600067272883534,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_lrn_xgb",1,30,0.456844089340805,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_nnls",1,30,0.639492628228889,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_rank_disc",1,30,0.659984903323649,NA,0.625,0
"Gambia","child_vitA","prev","country","sl_rank_nnls",1,30,0.434792619401878,NA,0.375,0
"Gambia","women_iron","level","country","domain_enet",1,30,0.524360400444939,NA,0.375,0
"Gambia","women_iron","level","country","domain_index",1,30,0.523025583982202,NA,0.5,0
"Gambia","women_iron","level","country","ridge_min",1,30,0.54349276974416,NA,0.5,0
"Gambia","women_iron","level","country","sl_disc",1,30,0.257842046718576,NA,0.25,0
"Gambia","women_iron","level","country","sl_lrn_domain_index",1,30,0.523025583982202,NA,0.5,0
"Gambia","women_iron","level","country","sl_lrn_domain_pc1_ols",1,30,0.161735261401557,NA,0.375,0
"Gambia","women_iron","level","country","sl_lrn_domain_pc_enet",1,30,0.405116796440489,NA,0.375,0
"Gambia","women_iron","level","country","sl_lrn_domain_pc_ridge",1,30,0.599555061179088,NA,0.5,0
"Gambia","women_iron","level","country","sl_lrn_enet",1,30,0.65027808676307,NA,0.625,0
"Gambia","women_iron","level","country","sl_lrn_hapc",1,30,0.257842046718576,NA,0.25,0
"Gambia","women_iron","level","country","sl_lrn_hapc_lasso",1,30,0.35706340378198,NA,0.375,0
"Gambia","women_iron","level","country","sl_lrn_lasso",1,30,0.653837597330367,NA,0.625,0
"Gambia","women_iron","level","country","sl_lrn_mean",1,30,NA,NA,0.25,1
"Gambia","women_iron","level","country","sl_lrn_ranger",1,30,0.532369299221357,NA,0.375,0
"Gambia","women_iron","level","country","sl_lrn_ridge",1,30,0.684983314794216,NA,0.5,0
"Gambia","women_iron","level","country","sl_lrn_xgb",1,30,0.414015572858732,NA,0.25,0
"Gambia","women_iron","level","country","sl_nnls",1,30,0.475862068965517,NA,0.25,0
"Gambia","women_iron","level","country","sl_rank_disc",1,30,0.523025583982202,NA,0.5,0
"Gambia","women_iron","level","country","sl_rank_nnls",1,30,0.587541713014461,NA,0.375,0
"Gambia","women_iron","prev","country","domain_enet",1,30,0.172210480540545,NA,0.25,0
"Gambia","women_iron","prev","country","domain_index",1,30,0.349760820942812,NA,0.25,0
"Gambia","women_iron","prev","country","ridge_min",1,30,0.100567360729104,NA,0.125,0
"Gambia","women_iron","prev","country","sl_disc",1,30,0.39158972319297,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_domain_index",1,30,0.349760820942812,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_domain_pc1_ols",1,30,0.18467015355123,NA,0.375,0
"Gambia","women_iron","prev","country","sl_lrn_domain_pc_enet",1,30,0.39158972319297,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_domain_pc_ridge",1,30,0.531093562080465,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_enet",1,30,0.154410947668137,NA,0.125,0
"Gambia","women_iron","prev","country","sl_lrn_hapc",1,30,-0.0656357774670035,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_hapc_lasso",1,30,-0.0238068752168453,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_lasso",1,30,0.153965959346327,NA,0.125,0
"Gambia","women_iron","prev","country","sl_lrn_mean",1,30,NA,NA,0.125,1
"Gambia","women_iron","prev","country","sl_lrn_ranger",1,30,0.0703081548460105,NA,0.25,0
"Gambia","women_iron","prev","country","sl_lrn_ridge",1,30,0.563577709572609,NA,0.375,0
"Gambia","women_iron","prev","country","sl_lrn_xgb",1,30,0.167760597322443,NA,0.375,0
"Gambia","women_iron","prev","country","sl_nnls",1,30,0.296139728164683,NA,0.125,0
"Gambia","women_iron","prev","country","sl_rank_disc",1,30,-0.0238068752168453,NA,0.25,0
"Gambia","women_iron","prev","country","sl_rank_nnls",1,30,0.200912227297302,NA,0.125,0
"Gambia","women_vitA","level","country","domain_enet",1,30,0.497219132369299,NA,0.5,0
"Gambia","women_vitA","level","country","domain_index",1,30,0.743270300333704,NA,0.5,0
"Gambia","women_vitA","level","country","ridge_min",1,30,0.646718576195773,NA,0.5,0
"Gambia","women_vitA","level","country","sl_disc",1,30,0.55194660734149,NA,0.625,0
"Gambia","women_vitA","level","country","sl_lrn_domain_index",1,30,0.743270300333704,NA,0.5,0
"Gambia","women_vitA","level","country","sl_lrn_domain_pc1_ols",1,30,0.711679644048943,NA,0.625,0
"Gambia","women_vitA","level","country","sl_lrn_domain_pc_enet",1,30,0.378865406006674,NA,0.5,0
"Gambia","women_vitA","level","country","sl_lrn_domain_pc_ridge",1,30,0.639154616240267,NA,0.5,0
"Gambia","women_vitA","level","country","sl_lrn_enet",1,30,0.340600667408231,NA,0.375,0
"Gambia","women_vitA","level","country","sl_lrn_hapc",1,30,0.33392658509455,NA,0.375,0
"Gambia","women_vitA","level","country","sl_lrn_hapc_lasso",1,30,0.55194660734149,NA,0.625,0
"Gambia","women_vitA","level","country","sl_lrn_lasso",1,30,0.244493882091212,NA,0.5,0
"Gambia","women_vitA","level","country","sl_lrn_mean",1,30,NA,NA,0.375,1
"Gambia","women_vitA","level","country","sl_lrn_ranger",1,30,0.465628476084538,NA,0.625,0
"Gambia","women_vitA","level","country","sl_lrn_ridge",1,30,0.67119021134594,NA,0.5,0
"Gambia","women_vitA","level","country","sl_lrn_xgb",1,30,0.0718576195773081,NA,0.25,0
"Gambia","women_vitA","level","country","sl_nnls",1,30,0.683203559510567,NA,0.625,0
"Gambia","women_vitA","level","country","sl_rank_disc",1,30,0.743270300333704,NA,0.5,0
"Gambia","women_vitA","level","country","sl_rank_nnls",1,30,0.743270300333704,NA,0.625,0
"Gambia","women_vitA","prev","country","domain_enet",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","domain_index",1,30,0.33345600851318,NA,0.375,0
"Gambia","women_vitA","prev","country","ridge_min",1,30,0.531042186675107,NA,0.5,0
"Gambia","women_vitA","prev","country","sl_disc",1,30,0.126248650654533,NA,0.375,0
"Gambia","women_vitA","prev","country","sl_lrn_domain_index",1,30,0.33345600851318,NA,0.375,0
"Gambia","women_vitA","prev","country","sl_lrn_domain_pc1_ols",1,30,-0.00891719093842424,NA,0.125,0
"Gambia","women_vitA","prev","country","sl_lrn_domain_pc_enet",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_lrn_domain_pc_ridge",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_lrn_enet",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_lrn_hapc",1,30,0.269862357347049,NA,0.375,0
"Gambia","women_vitA","prev","country","sl_lrn_hapc_lasso",1,30,0.274086289896829,NA,0.375,0
"Gambia","women_vitA","prev","country","sl_lrn_lasso",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_lrn_mean",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_lrn_ranger",1,30,0.126248650654533,NA,0.375,0
"Gambia","women_vitA","prev","country","sl_lrn_ridge",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_lrn_xgb",1,30,-0.286288761707305,NA,0.25,0
"Gambia","women_vitA","prev","country","sl_nnls",1,30,0.279718199963202,NA,0.5,0
"Gambia","women_vitA","prev","country","sl_rank_disc",1,30,NA,NA,0.125,1
"Gambia","women_vitA","prev","country","sl_rank_nnls",1,30,0.235366908190513,NA,0.375,0
"Ghana","child_iron","level","country","domain_enet",1,75,0.448136557610242,NA,0.578947368421053,0
"Ghana","child_iron","level","country","domain_index",1,75,0.595647226173542,NA,0.631578947368421,0
"Ghana","child_iron","level","country","ridge_min",1,75,0.500256045519203,NA,0.473684210526316,0
"Ghana","child_iron","level","country","sl_disc",1,75,0.52221906116643,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_domain_index",1,75,0.595647226173542,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_domain_pc1_ols",1,75,0.237211948790896,NA,0.315789473684211,0
"Ghana","child_iron","level","country","sl_lrn_domain_pc_enet",1,75,0.373001422475107,NA,0.421052631578947,0
"Ghana","child_iron","level","country","sl_lrn_domain_pc_ridge",1,75,0.52221906116643,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_enet",1,75,0.475761024182077,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_hapc",1,75,0.585889046941678,NA,0.526315789473684,0
"Ghana","child_iron","level","country","sl_lrn_hapc_lasso",1,75,0.547254623044097,NA,0.368421052631579,0
"Ghana","child_iron","level","country","sl_lrn_lasso",1,75,0.467425320056899,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_mean",1,75,NA,NA,0.105263157894737,1
"Ghana","child_iron","level","country","sl_lrn_ranger",1,75,0.539658605974395,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_ridge",1,75,0.506856330014225,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_lrn_xgb",1,75,0.549075391180654,NA,0.578947368421053,0
"Ghana","child_iron","level","country","sl_nnls",1,75,0.504807965860597,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_rank_disc",1,75,0.475761024182077,NA,0.631578947368421,0
"Ghana","child_iron","level","country","sl_rank_nnls",1,75,0.510412517780939,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","domain_enet",1,75,0.448264438769399,NA,0.526315789473684,0
"Ghana","child_iron","prev","country","domain_index",1,75,0.58767245189669,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","ridge_min",1,75,0.563942820821561,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_disc",1,75,0.410442662164095,NA,0.526315789473684,0
"Ghana","child_iron","prev","country","sl_lrn_domain_index",1,75,0.58767245189669,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_lrn_domain_pc1_ols",1,75,0.458458756812505,NA,0.421052631578947,0
"Ghana","child_iron","prev","country","sl_lrn_domain_pc_enet",1,75,0.410442662164095,NA,0.526315789473684,0
"Ghana","child_iron","prev","country","sl_lrn_domain_pc_ridge",1,75,0.563942820821561,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_lrn_enet",1,75,0.465212135572154,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_lrn_hapc",1,75,0.551406950734941,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_lrn_hapc_lasso",1,75,0.562772044799804,NA,0.631578947368421,0
"Ghana","child_iron","prev","country","sl_lrn_lasso",1,75,0.48848487844367,NA,0.631578947368421,0
"Ghana","child_iron","prev","country","sl_lrn_mean",1,75,NA,NA,0.105263157894737,1
"Ghana","child_iron","prev","country","sl_lrn_ranger",1,75,0.620311402942264,NA,0.631578947368421,0
"Ghana","child_iron","prev","country","sl_lrn_ridge",1,75,0.539642079491917,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_lrn_xgb",1,75,0.463227527437711,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_nnls",1,75,0.415339932596567,NA,0.526315789473684,0
"Ghana","child_iron","prev","country","sl_rank_disc",1,75,0.463227527437711,NA,0.578947368421053,0
"Ghana","child_iron","prev","country","sl_rank_nnls",1,75,0.530618537470568,NA,0.578947368421053,0
"Ghana","child_vitA","level","country","domain_enet",1,75,0.303300142247511,NA,0.473684210526316,0
"Ghana","child_vitA","level","country","domain_index",1,75,0.362048364153627,NA,0.578947368421053,0
"Ghana","child_vitA","level","country","ridge_min",1,75,0.37126600284495,NA,0.578947368421053,0
"Ghana","child_vitA","level","country","sl_disc",1,75,0.33524893314367,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_lrn_domain_index",1,75,0.362048364153627,NA,0.578947368421053,0
"Ghana","child_vitA","level","country","sl_lrn_domain_pc1_ols",1,75,0.416557610241821,NA,0.473684210526316,0
"Ghana","child_vitA","level","country","sl_lrn_domain_pc_enet",1,75,0.431863442389758,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_lrn_domain_pc_ridge",1,75,0.186201991465149,NA,0.315789473684211,0
"Ghana","child_vitA","level","country","sl_lrn_enet",1,75,0.331351351351351,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_lrn_hapc",1,75,0.35203413940256,NA,0.473684210526316,0
"Ghana","child_vitA","level","country","sl_lrn_hapc_lasso",1,75,0.381251778093883,NA,0.526315789473684,0
"Ghana","child_vitA","level","country","sl_lrn_lasso",1,75,0.33524893314367,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_lrn_mean",1,75,NA,NA,0.0526315789473684,1
"Ghana","child_vitA","level","country","sl_lrn_ranger",1,75,0.361934566145092,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_lrn_ridge",1,75,0.354167852062589,NA,0.578947368421053,0
"Ghana","child_vitA","level","country","sl_lrn_xgb",1,75,0.409530583214794,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_nnls",1,75,0.332062588904694,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_rank_disc",1,75,0.331351351351351,NA,0.631578947368421,0
"Ghana","child_vitA","level","country","sl_rank_nnls",1,75,0.394395448079659,NA,0.631578947368421,0
"Ghana","child_vitA","prev","country","domain_enet",1,75,0.313155230101989,NA,0.368421052631579,0
"Ghana","child_vitA","prev","country","domain_index",1,75,0.362112880099289,NA,0.473684210526316,0
"Ghana","child_vitA","prev","country","ridge_min",1,75,0.331425347887485,NA,0.473684210526316,0
"Ghana","child_vitA","prev","country","sl_disc",1,75,0.128261068506599,NA,0.315789473684211,0
"Ghana","child_vitA","prev","country","sl_lrn_domain_index",1,75,0.362112880099289,NA,0.473684210526316,0
"Ghana","child_vitA","prev","country","sl_lrn_domain_pc1_ols",1,75,0.260751462798305,NA,0.421052631578947,0
