"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","sl_disc",2,-0.00243079320244035,-0.00243079320244035,1
"infill","prev","sl_disc",2,-0.0673525997172629,-0.0673525997172629,0
"region","level","sl_disc",2,-0.20103476356659,-0.20103476356659,0
"region","prev","sl_disc",2,-0.215181694949329,-0.215181694949329,0
"infill","level","sl_nnls",2,0.0732029598308668,0.0732029598308668,2
"infill","prev","sl_nnls",2,-0.0120365620704062,-0.0120365620704062,1
"region","level","sl_nnls",2,-0.0369622629854805,-0.0369622629854805,0
"region","prev","sl_nnls",2,-0.165245579873115,-0.165245579873115,0
"infill","level","sl_rank_disc",2,0.0692662389735365,0.0692662389735365,1
"infill","prev","sl_rank_disc",2,-0.0180375086967099,-0.0180375086967099,1
"region","level","sl_rank_disc",2,-0.056581249544361,-0.056581249544361,1
"region","prev","sl_rank_disc",2,-0.0827130725709449,-0.0827130725709449,0
"infill","level","sl_rank_nnls",2,0.0959484581176642,0.0959484581176642,2
"infill","prev","sl_rank_nnls",2,0.0307523500898616,0.0307523500898616,1
"region","level","sl_rank_nnls",2,-0.0470766202522417,-0.0470766202522417,0
"region","prev","sl_rank_nnls",2,0.0915129450646204,0.0915129450646204,1
"infill","level","sl_lrn_mean",2,-0.315685907063597,-0.315685907063597,0
"infill","prev","sl_lrn_mean",2,-0.0673525997172629,-0.0673525997172629,0
"region","level","sl_lrn_mean",2,-0.636717753167974,-0.636717753167974,0
"region","prev","sl_lrn_mean",2,-0.262218968150595,-0.262218968150595,0
"infill","level","sl_lrn_lasso",2,-0.138822555939695,-0.138822555939695,0
"infill","prev","sl_lrn_lasso",2,-0.0394391906062259,-0.0394391906062259,0
"region","level","sl_lrn_lasso",2,-0.292828554410567,-0.292828554410567,0
"region","prev","sl_lrn_lasso",1,-0.17875039342833,-0.17875039342833,0
"infill","level","sl_lrn_enet",2,-0.0972716123031778,-0.0972716123031778,0
"infill","prev","sl_lrn_enet",2,-0.0728685945252194,-0.0728685945252194,0
"region","level","sl_lrn_enet",2,-0.250142577906434,-0.250142577906434,0
"region","prev","sl_lrn_enet",1,-0.178117758538797,-0.178117758538797,0
"infill","level","sl_lrn_ridge",2,-0.0284444069305101,-0.0284444069305101,1
"infill","prev","sl_lrn_ridge",2,-0.0827152949403818,-0.0827152949403818,0
"region","level","sl_lrn_ridge",2,-0.0949369713103265,-0.0949369713103265,1
"region","prev","sl_lrn_ridge",1,-0.396973769624542,-0.396973769624542,0
"infill","level","sl_lrn_ranger",2,-0.0166399358460305,-0.0166399358460305,0
