"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"country","level","sl_disc",4,-0.0311828616275077,-0.0275862068965517,0
"country","prev","sl_disc",4,-0.0764157418422906,-0.0761822452527754,0
"infill","level","sl_disc",1,-0.00436699857752487,-0.00436699857752487,0
"infill","prev","sl_disc",1,-0.0123074259848142,-0.0123074259848142,0
"region","level","sl_disc",1,-0.0419061166429587,-0.0419061166429587,0
"region","prev","sl_disc",1,-0.0208740798025501,-0.0208740798025501,0
"country","level","sl_nnls",4,-0.0560284780585489,-0.0564396035030822,0
"country","prev","sl_nnls",4,-0.0382521321221944,-0.0232169127076181,0
"infill","level","sl_nnls",1,-0.0184352773826458,-0.0184352773826458,0
"infill","prev","sl_nnls",1,-0.039956301181557,-0.039956301181557,0
"region","level","sl_nnls",1,-0.0525462304409673,-0.0525462304409673,0
"region","prev","sl_nnls",1,-0.0526135321972619,-0.0526135321972619,0
"country","level","sl_rank_disc",4,-0.0405783097071663,-0.0275862068965517,0
"country","prev","sl_rank_disc",4,-0.0720629575014198,-0.0674766765710339,0
"infill","level","sl_rank_disc",1,0.00120910384068273,0.00120910384068273,1
"infill","prev","sl_rank_disc",1,-0.0411984659851288,-0.0411984659851288,0
"region","level","sl_rank_disc",1,0.00307254623044095,0.00307254623044095,1
"region","prev","sl_rank_disc",1,-0.0497151476555946,-0.0497151476555946,0
"country","level","sl_rank_nnls",4,-0.0358315419407712,-0.064515179660663,1
"country","prev","sl_rank_nnls",4,-0.116597603465026,-0.113281823623759,0
"infill","level","sl_rank_nnls",1,-0.00120910384068279,-0.00120910384068279,0
"infill","prev","sl_rank_nnls",1,-0.0402632729433593,-0.0402632729433593,0
"region","level","sl_rank_nnls",1,-0.0561308677098151,-0.0561308677098151,0
"region","prev","sl_rank_nnls",1,-0.045388987477638,-0.045388987477638,0
"country","level","sl_lrn_mean",0,NA,NA,0
"country","prev","sl_lrn_mean",0,NA,NA,0
"infill","level","sl_lrn_mean",1,-0.656572337171218,-0.656572337171218,0
"infill","prev","sl_lrn_mean",1,-0.708035774927017,-0.708035774927017,0
"region","level","sl_lrn_mean",1,-1.05617312099122,-1.05617312099122,0
"region","prev","sl_lrn_mean",1,-1.11775898788982,-1.11775898788982,0
"country","level","sl_lrn_lasso",4,0.0653382683585459,0.0175628598320478,2
"country","prev","sl_lrn_lasso",4,-0.180820259241337,-0.254920250141506,1
"infill","level","sl_lrn_lasso",1,0.0527880512091038,0.0527880512091038,1
"infill","prev","sl_lrn_lasso",1,-0.0100158460885697,-0.0100158460885697,0
"region","level","sl_lrn_lasso",1,-0.097325746799431,-0.097325746799431,0
"region","prev","sl_lrn_lasso",1,-0.0641499593384797,-0.0641499593384797,0
"country","level","sl_lrn_enet",4,-0.00522308399023381,-0.0953286542760227,1
"country","prev","sl_lrn_enet",4,-0.22058894563111,-0.247680265000739,1
"infill","level","sl_lrn_enet",1,0.0428307254623044,0.0428307254623044,1
"infill","prev","sl_lrn_enet",1,-0.00376932767980387,-0.00376932767980387,0
"region","level","sl_lrn_enet",1,0.0231578947368422,0.0231578947368422,1
"region","prev","sl_lrn_enet",1,-0.118276933710208,-0.118276933710208,0
"country","level","sl_lrn_ridge",4,-0.0338281222522178,-0.0300407045679571,1
"country","prev","sl_lrn_ridge",4,-0.0491004330755253,-0.0425036234465539,1
"infill","level","sl_lrn_ridge",1,0.09049786628734,0.09049786628734,1
"infill","prev","sl_lrn_ridge",1,0.0324961734819452,0.0324961734819452,1
"region","level","sl_lrn_ridge",1,0.0195732574679943,0.0195732574679943,1
"region","prev","sl_lrn_ridge",1,0.0064821013887536,0.0064821013887536,1
"country","level","sl_lrn_ranger",4,0.0532094669707044,-0.000426586216059927,2
"country","prev","sl_lrn_ranger",4,-0.0558580378144364,-0.0348248039683695,0
"infill","level","sl_lrn_ranger",1,0.0801137980085348,0.0801137980085348,1
"infill","prev","sl_lrn_ranger",1,0.00860234820864314,0.00860234820864314,1
"region","level","sl_lrn_ranger",1,0.0243243243243243,0.0243243243243243,1
"region","prev","sl_lrn_ranger",1,-0.0537271971935677,-0.0537271971935677,0
"country","level","sl_lrn_xgb",4,0.0135597892649383,-0.000881465618307764,2
"country","prev","sl_lrn_xgb",4,-0.107062383723338,-0.0930645416319018,1
"infill","level","sl_lrn_xgb",1,0.0185490753911807,0.0185490753911807,1
"infill","prev","sl_lrn_xgb",1,-0.0521780606281937,-0.0521780606281937,0
"region","level","sl_lrn_xgb",1,-0.0846088193456614,-0.0846088193456614,0
"region","prev","sl_lrn_xgb",1,-0.169248523925738,-0.169248523925738,0
"country","level","sl_lrn_domain_index",4,0,0,0
"country","prev","sl_lrn_domain_index",4,0,0,0
"infill","level","sl_lrn_domain_index",1,7.11237553342459e-05,7.11237553342459e-05,1
"infill","prev","sl_lrn_domain_index",1,-0.000214166345443467,-0.000214166345443467,0
"region","level","sl_lrn_domain_index",1,-0.000739687055476557,-0.000739687055476557,0
"region","prev","sl_lrn_domain_index",1,0.0147774778355946,0.0147774778355946,1
"country","level","sl_lrn_domain_pc_ridge",4,-0.131442861089463,-0.129205106919363,0
"country","prev","sl_lrn_domain_pc_ridge",4,-0.0638235247407554,-0.0585998276703579,1
"infill","level","sl_lrn_domain_pc_ridge",1,0.0540682788051209,0.0540682788051209,1
"infill","prev","sl_lrn_domain_pc_ridge",1,0.0113793718212259,0.0113793718212259,1
"region","level","sl_lrn_domain_pc_ridge",1,0.0218207681365575,0.0218207681365575,1
"region","prev","sl_lrn_domain_pc_ridge",1,0.0218592449915897,0.0218592449915897,1
"country","level","sl_lrn_domain_pc_enet",4,-0.114599285443219,-0.178553454978165,1
"country","prev","sl_lrn_domain_pc_enet",4,-0.0419765881092204,-0.102641511735869,1
"infill","level","sl_lrn_domain_pc_enet",1,-0.00641536273115223,-0.00641536273115223,0
"infill","prev","sl_lrn_domain_pc_enet",1,0.00417624373614622,0.00417624373614622,1
"region","level","sl_lrn_domain_pc_enet",1,-0.0477951635846373,-0.0477951635846373,0
"region","prev","sl_lrn_domain_pc_enet",1,-0.157897707617237,-0.157897707617237,0
"country","level","sl_lrn_domain_pc1_ols",4,-0.186454751564877,-0.20756151523671,1
"country","prev","sl_lrn_domain_pc1_ols",4,-0.265805213754688,-0.222848605783851,0
"infill","level","sl_lrn_domain_pc1_ols",1,-0.0752773826458037,-0.0752773826458037,0
"infill","prev","sl_lrn_domain_pc1_ols",1,-0.115664104295799,-0.115664104295799,0
"region","level","sl_lrn_domain_pc1_ols",1,-0.215277382645804,-0.215277382645804,0
