"column","outcome","country","n","rho","z"
"fe_ph","child_vitA","Gambia",30,0.415350389321468,2.29701034160479
"fe_clay","child_vitA","Gambia",30,0.519021134593993,2.98778266959845
"fe_sand","child_vitA","Gambia",30,-0.585761957730812,-3.48760427495204
"fe_silt","child_vitA","Gambia",30,0.614238042269188,3.71888066267885
"fe_fines","child_vitA","Gambia",30,0.566629588431591,3.33875920067452
"fe_bd","child_vitA","Gambia",30,0.583537263626251,3.47004101402937
"fe_oc","child_vitA","Gambia",30,-0.45139043381535,-2.52764309276803
"fe_ntot","child_vitA","Gambia",30,-0.27119021134594,-1.44529976213204
"fe_cec","child_vitA","Gambia",30,0.6146829810901,3.72259503921709
"fe_zn","child_vitA","Gambia",30,-0.725472747497219,-4.77579879146155
"fe_fe","child_vitA","Gambia",30,0.414015572858732,2.28863402087734
"fe_ca","child_vitA","Gambia",30,0.481646273637375,2.72863270276681
"fe_mg","child_vitA","Gambia",30,0.507452725250278,2.90617199668071
"fe_k","child_vitA","Gambia",30,-0.385094549499444,-2.10978120938733
"fe_p","child_vitA","Gambia",30,-0.512791991101224,-2.94367508465174
"fe_s","child_vitA","Gambia",30,-0.30055617352614,-1.61148740692379
"fe_al","child_vitA","Gambia",30,-0.0206896551724138,-0.107521945614427
"fe_zn_avail","child_vitA","Gambia",30,-0.721913236929922,-4.73696359104474
"fe_fe_avail","child_vitA","Gambia",30,0.265850945494994,1.41540017058572
"fe_p_avail","child_vitA","Gambia",30,-0.376195773081201,-2.05570625142635
"fe_ca_mg","child_vitA","Gambia",30,-0.032258064516129,-0.167675996483447
"fe_k_mg","child_vitA","Gambia",30,-0.708565072302558,-4.59493786786209
"fe_oc_clay","child_vitA","Gambia",30,-0.652057842046719,-4.04712909154324
"fe_cn","child_vitA","Gambia",30,-0.458064516129032,-2.57136331247793
"fe_base_sat","child_vitA","Gambia",30,-0.282758620689655,-1.51040660824795
"fe_fertility","child_vitA","Gambia",30,0.131924360400445,0.689517952964878
"fe_ph_topsub","child_vitA","Gambia",30,-0.106562847608454,-0.555827132354342
"fe_oc_topsub","child_vitA","Gambia",30,0.722803114571746,4.74663309373714
"fe_ph","women_vitA","Gambia",30,0.302335928809789,1.62165963824084
"fe_clay","women_vitA","Gambia",30,0.319243604004449,1.7189113758637
"fe_sand","women_vitA","Gambia",30,-0.420689655172414,-2.33062860922899
"fe_silt","women_vitA","Gambia",30,0.411790878754171,2.27469826696487
"fe_fines","women_vitA","Gambia",30,0.364627363737486,1.98603446298122
"fe_bd","women_vitA","Gambia",30,0.539488320355951,3.13553286477099
"fe_oc","women_vitA","Gambia",30,-0.459844271412681,-2.58307897579358
"fe_ntot","women_vitA","Gambia",30,-0.275639599555061,-1.47028749146131
"fe_cec","women_vitA","Gambia",30,0.544382647385984,3.17153972745805
"fe_zn","women_vitA","Gambia",30,-0.708120133481646,-4.59029769364258
"fe_fe","women_vitA","Gambia",30,0.330812013348165,1.78612427535138
"fe_ca","women_vitA","Gambia",30,0.417575083426029,2.31099586861354
"fe_mg","women_vitA","Gambia",30,0.438042269187987,2.44118175940926
"fe_k","women_vitA","Gambia",30,-0.291212458286986,-1.55827706907267
"fe_p","women_vitA","Gambia",30,-0.311679644048943,-1.67526397010576
"fe_s","women_vitA","Gambia",30,-0.0954393770856507,-0.497431550655002
"fe_al","women_vitA","Gambia",30,-0.0731924360400445,-0.381000385065913
"fe_zn_avail","women_vitA","Gambia",30,-0.693882091212458,-4.44480935511763
"fe_fe_avail","women_vitA","Gambia",30,0.159065628476085,0.833607941113812
"fe_p_avail","women_vitA","Gambia",30,-0.220022246941046,-1.16227271140518
"fe_ca_mg","women_vitA","Gambia",30,-0.0224694104560623,-0.116774136315493
"fe_k_mg","women_vitA","Gambia",30,-0.598220244716351,-3.58727262206821
"fe_oc_clay","women_vitA","Gambia",30,-0.553726362625139,-3.24104584920831
"fe_cn","women_vitA","Gambia",30,-0.474972191323693,-2.68366511704438
"fe_base_sat","women_vitA","Gambia",30,-0.19377085650723,-1.01975625050012
"fe_fertility","women_vitA","Gambia",30,0.0593993325917686,0.309011755265023
"fe_ph_topsub","women_vitA","Gambia",30,0.187541713014461,0.986167605279859
"fe_oc_topsub","women_vitA","Gambia",30,0.6440489432703,3.97537903947478
"fe_ph","child_iron","Gambia",30,0.208898776418243,1.10168614093057
"fe_clay","child_iron","Gambia",30,0.246273637374861,1.30653069778757
"fe_sand","child_iron","Gambia",30,-0.297886540600667,-1.59625144712657
"fe_silt","child_iron","Gambia",30,0.29432703003337,1.57597810723765
"fe_fines","child_iron","Gambia",30,0.264071190211346,1.40545402454695
"fe_bd","child_iron","Gambia",30,0.398442714126808,2.19171833429315
"fe_oc","child_iron","Gambia",30,-0.388654060066741,-2.13153257200359
"fe_ntot","child_iron","Gambia",30,-0.326362625139043,-1.76020614132118
"fe_cec","child_iron","Gambia",30,0.333481646273637,1.80171623773435
"fe_zn","child_iron","Gambia",30,-0.565739710789766,-3.33195363200033
"fe_fe","child_iron","Gambia",30,0.310789766407119,1.67014408127323
"fe_ca","child_iron","Gambia",30,0.206674082313682,1.08960466525582
"fe_mg","child_iron","Gambia",30,0.235150166852058,1.24517561128849
"fe_k","child_iron","Gambia",30,-0.367296996662959,-2.00205142239452
"fe_p","child_iron","Gambia",30,-0.257842046718576,-1.37072104127213
"fe_s","child_iron","Gambia",30,-0.0736373748609566,-0.383324883498908
"fe_al","child_iron","Gambia",30,-0.0807563959955506,-0.420538331652077
"fe_zn_avail","child_iron","Gambia",30,-0.540378197997775,-3.14205950310029
"fe_fe_avail","child_iron","Gambia",30,0.276974416017798,1.4777966972845
"fe_p_avail","child_iron","Gambia",30,-0.228921023359288,-1.2109660351623
"fe_ca_mg","child_iron","Gambia",30,-0.0505005561735261,-0.262632003356561
"fe_k_mg","child_iron","Gambia",30,-0.443381535038932,-2.47561304363599
"fe_oc_clay","child_iron","Gambia",30,-0.378420467185762,-2.06918495813052
