"tier","target","outcome","heldout","set","n_cols","addon_imputed_heldout","spearman"
"admin2","level","child_vitA","Gambia","base",382,0,0.716129032258065
"admin2","level","child_vitA","Gambia","plus",405,0,0.724137931034483
"admin2","level","child_vitA","Gambia","addon_only",23,0,-0.0812013348164627
"admin2","level","child_vitA","Gambia","cs",91,0,0.79265850945495
"admin2","level","child_vitA","Gambia","cs_plus",114,0,0.732146829810901
"admin2","level","child_vitA","Gambia","replace",401,0,0.737486095661847
"admin2","level","child_vitA","Ghana","base",382,10,0.355647226173542
"admin2","level","child_vitA","Ghana","plus",405,10,0.360199146514936
"admin2","level","child_vitA","Ghana","addon_only",23,10,-0.184950213371266
"admin2","level","child_vitA","Ghana","cs",91,10,0.218862019914651
"admin2","level","child_vitA","Ghana","cs_plus",114,10,0.197325746799431
"admin2","level","child_vitA","Ghana","replace",401,10,0.356842105263158
"admin2","level","child_vitA","Malawi","base",382,10,0.181799956258657
"admin2","level","child_vitA","Malawi","plus",405,10,0.179922723627615
"admin2","level","child_vitA","Malawi","addon_only",23,10,0.0733943282058759
"admin2","level","child_vitA","Malawi","cs",91,10,0.148629437923744
"admin2","level","child_vitA","Malawi","cs_plus",114,10,0.175366333746446
"admin2","level","child_vitA","Malawi","replace",401,10,0.181745279580083
"admin2","level","child_vitA","SierraLeone","base",382,1,0.0637362637362637
"admin2","level","child_vitA","SierraLeone","plus",405,1,0.0461538461538462
"admin2","level","child_vitA","SierraLeone","addon_only",23,1,-0.327472527472527
"admin2","level","child_vitA","SierraLeone","cs",91,1,0.428571428571429
"admin2","level","child_vitA","SierraLeone","cs_plus",114,1,0.494505494505494
"admin2","level","child_vitA","SierraLeone","replace",401,1,0.0505494505494506
"admin2","level","women_vitA","Gambia","base",382,0,0.746829810901001
"admin2","level","women_vitA","Gambia","plus",405,0,0.750389321468298
"admin2","level","women_vitA","Gambia","addon_only",23,0,0.115016685205784
"admin2","level","women_vitA","Gambia","cs",91,0,0.759733036707453
"admin2","level","women_vitA","Gambia","cs_plus",114,0,0.778420467185762
"admin2","level","women_vitA","Gambia","replace",401,0,0.741935483870968
"admin2","level","women_vitA","Ghana","base",382,10,0.27348506401138
"admin2","level","women_vitA","Ghana","plus",405,10,0.269445234708393
"admin2","level","women_vitA","Ghana","addon_only",23,10,-0.0894452347083926
"admin2","level","women_vitA","Ghana","cs",91,10,0.414623044096728
"admin2","level","women_vitA","Ghana","cs_plus",114,10,0.418748221906117
"admin2","level","women_vitA","Ghana","replace",401,10,0.276386913229018
"admin2","level","women_vitA","Malawi","base",382,10,0.207716701902748
"admin2","level","women_vitA","Malawi","plus",405,10,0.20706058175986
"admin2","level","women_vitA","Malawi","addon_only",23,10,0.0585040460742145
"admin2","level","women_vitA","Malawi","cs",91,10,0.223755194284464
"admin2","level","women_vitA","Malawi","cs_plus",114,10,0.236276153677918
"admin2","level","women_vitA","Malawi","replace",401,10,0.216902383903186
"admin2","level","women_vitA","SierraLeone","base",382,1,-0.0725274725274725
"admin2","level","women_vitA","SierraLeone","plus",405,1,-0.0989010989010989
"admin2","level","women_vitA","SierraLeone","addon_only",23,1,0.221978021978022
"admin2","level","women_vitA","SierraLeone","cs",91,1,0.252747252747253
"admin2","level","women_vitA","SierraLeone","cs_plus",114,1,0.292307692307692
"admin2","level","women_vitA","SierraLeone","replace",401,1,-0.0945054945054945
"admin2","level","child_iron","Gambia","base",382,0,0.469632925472747
"admin2","level","child_iron","Gambia","plus",405,0,0.458954393770857
"admin2","level","child_iron","Gambia","addon_only",23,0,-0.408676307007786
"admin2","level","child_iron","Gambia","cs",91,0,0.550611790878754
"admin2","level","child_iron","Gambia","cs_plus",114,0,0.52258064516129
"admin2","level","child_iron","Gambia","replace",401,0,0.450945494994438
"admin2","level","child_iron","Ghana","base",382,10,0.506486486486486
"admin2","level","child_iron","Ghana","plus",405,10,0.498492176386913
"admin2","level","child_iron","Ghana","addon_only",23,10,-0.215761024182077
"admin2","level","child_iron","Ghana","cs",91,10,0.560284495021337
"admin2","level","child_iron","Ghana","cs_plus",114,10,0.529900426742532
"admin2","level","child_iron","Ghana","replace",401,10,0.496386913229018
"admin2","level","child_iron","Malawi","base",382,10,-0.0412262156448203
"admin2","level","child_iron","Malawi","plus",405,10,-0.0478785448713275
"admin2","level","child_iron","Malawi","addon_only",23,10,-0.014124808631625
"admin2","level","child_iron","Malawi","cs",91,10,0.190548224830502
"admin2","level","child_iron","Malawi","cs_plus",114,10,0.196599110592695
"admin2","level","child_iron","Malawi","replace",401,10,-0.0426113581686958
"admin2","level","child_iron","SierraLeone","base",382,1,0.318681318681319
"admin2","level","child_iron","SierraLeone","plus",405,1,0.318681318681319
"admin2","level","child_iron","SierraLeone","addon_only",23,1,-0.2
"admin2","level","child_iron","SierraLeone","cs",91,1,0.327472527472527
"admin2","level","child_iron","SierraLeone","cs_plus",114,1,0.318681318681319
"admin2","level","child_iron","SierraLeone","replace",401,1,0.323076923076923
"admin2","level","women_iron","Gambia","base",382,0,0.243604004449388
"admin2","level","women_iron","Gambia","plus",405,0,0.259176863181313
"admin2","level","women_iron","Gambia","addon_only",23,0,0.0304783092324805
"admin2","level","women_iron","Gambia","cs",91,0,0.729477196885428
"admin2","level","women_iron","Gambia","cs_plus",114,0,0.716129032258065
"admin2","level","women_iron","Gambia","replace",401,0,0.269410456062291
"admin2","level","women_iron","Ghana","base",382,10,0.213627311522048
"admin2","level","women_iron","Ghana","plus",405,10,0.213627311522048
"admin2","level","women_iron","Ghana","addon_only",23,10,-0.11226173541963
"admin2","level","women_iron","Ghana","cs",91,10,0.358065433854908
"admin2","level","women_iron","Ghana","cs_plus",114,10,0.361422475106686
"admin2","level","women_iron","Ghana","replace",401,10,0.214338549075391
"admin2","level","women_iron","Malawi","base",382,10,0.25903987752424
"admin2","level","women_iron","Malawi","plus",405,10,0.245352482321207
"admin2","level","women_iron","Malawi","addon_only",23,10,-0.157231902019392
"admin2","level","women_iron","Malawi","cs",91,10,0.219617992272363
"admin2","level","women_iron","Malawi","cs_plus",114,10,0.168021433258001
"admin2","level","women_iron","Malawi","replace",401,10,0.251221112488153
"admin2","level","women_iron","SierraLeone","base",382,1,-0.0021978021978022
"admin2","level","women_iron","SierraLeone","plus",405,1,0.0021978021978022
"admin2","level","women_iron","SierraLeone","addon_only",23,1,0.0945054945054945
"admin2","level","women_iron","SierraLeone","cs",91,1,0.0593406593406593
"admin2","level","women_iron","SierraLeone","cs_plus",114,1,0.0461538461538462
"admin2","level","women_iron","SierraLeone","replace",401,1,0.0021978021978022
"admin2","level","women_folate","Ghana","base",382,10,-0.134822190611664
"admin2","level","women_folate","Ghana","plus",405,10,-0.136671408250356
"admin2","level","women_folate","Ghana","addon_only",23,10,-0.0320056899004267
"admin2","level","women_folate","Ghana","cs",91,10,0.0845234708392603
"admin2","level","women_folate","Ghana","cs_plus",114,10,0.0941394025604552
"admin2","level","women_folate","Ghana","replace",401,10,-0.14352773826458
"admin2","level","women_folate","Malawi","base",382,10,-0.101625719909601
"admin2","level","women_folate","Malawi","plus",405,10,-0.103338922504921
"admin2","level","women_folate","Malawi","addon_only",23,10,-0.11751840781512
"admin2","level","women_folate","Malawi","cs",91,10,0.275169497703579
"admin2","level","women_folate","Malawi","cs_plus",114,10,0.233706349784938
"admin2","level","women_folate","Malawi","replace",401,10,-0.102336516731064
"admin2","level","women_folate","SierraLeone","base",382,1,0.0945054945054945
"admin2","level","women_folate","SierraLeone","plus",405,1,0.12967032967033
"admin2","level","women_folate","SierraLeone","addon_only",23,1,0.221978021978022
"admin2","level","women_folate","SierraLeone","cs",91,1,0.151648351648352
"admin2","level","women_folate","SierraLeone","cs_plus",114,1,0.217582417582418
"admin2","level","women_folate","SierraLeone","replace",401,1,0.0857142857142857
"admin2","level","women_b12","Ghana","base",382,10,0.588165007112376
"admin2","level","women_b12","Ghana","plus",405,10,0.586458036984353
"admin2","level","women_b12","Ghana","addon_only",23,10,-0.405860597439545
"admin2","level","women_b12","Ghana","cs",91,10,0.553968705547653
"admin2","level","women_b12","Ghana","cs_plus",114,10,0.538634423897582
"admin2","level","women_b12","Ghana","replace",401,10,0.589189189189189
"admin2","level","women_b12","Malawi","base",382,10,0.412936502150616
"admin2","level","women_b12","Malawi","plus",405,10,0.41552453160312
"admin2","level","women_b12","Malawi","addon_only",23,10,0.112196544433914
"admin2","level","women_b12","Malawi","cs",91,10,0.456240431581249
"admin2","level","women_b12","Malawi","cs_plus",114,10,0.478420937522782
"admin2","level","women_b12","Malawi","replace",401,10,0.419625282496173
"admin2","level","women_b12","SierraLeone","base",382,1,0.432967032967033
"admin2","level","women_b12","SierraLeone","plus",405,1,0.432967032967033
"admin2","level","women_b12","SierraLeone","addon_only",23,1,-0.384615384615385
"admin2","level","women_b12","SierraLeone","cs",91,1,0.336263736263736
"admin2","level","women_b12","SierraLeone","cs_plus",114,1,0.305494505494505
"admin2","level","women_b12","SierraLeone","replace",401,1,0.432967032967033
"admin2","prev","child_vitA","Gambia","base",382,0,0.58113419263294
"admin2","prev","child_vitA","Gambia","plus",405,0,0.584698066562464
"admin2","prev","child_vitA","Gambia","addon_only",23,0,0.246798269619508
"admin2","prev","child_vitA","Gambia","cs",91,0,0.643724728520198
"admin2","prev","child_vitA","Gambia","cs_plus",114,0,0.639269886108294
"admin2","prev","child_vitA","Gambia","replace",401,0,0.584252582321273
"admin2","prev","child_vitA","Ghana","base",382,10,0.351132250463967
"admin2","prev","child_vitA","Ghana","plus",405,10,0.343867643700712
