"target","outcome","scheme","arm","country","n_areas","spearman","topk"
"prev","child_vitA","raw_pooled","domain_index","Gambia",30,0.236774874192723,0.375
"prev","child_vitA","raw_pooled","domain_index","Ghana",75,-0.0579962455692763,0.105263157894737
"prev","child_vitA","raw_pooled","domain_index","Malawi",87,0.128434145324868,0.272727272727273
"prev","child_vitA","raw_pooled","domain_index","SierraLeone",14,0.0417582417582418,0.5
"prev","child_vitA","raw_pooled","domain_enet","Gambia",30,NA,0.125
"prev","child_vitA","raw_pooled","domain_enet","Ghana",75,0.0806278740189095,0.263157894736842
"prev","child_vitA","raw_pooled","domain_enet","Malawi",87,0.163065291240364,0.272727272727273
"prev","child_vitA","raw_pooled","domain_enet","SierraLeone",14,-0.331868131868132,0.25
"prev","child_vitA","z_pooled","domain_index","Gambia",30,0.553514169679132,0.5
"prev","child_vitA","z_pooled","domain_index","Ghana",75,0.268011427056432,0.368421052631579
"prev","child_vitA","z_pooled","domain_index","Malawi",87,0.243046293984179,0.363636363636364
"prev","child_vitA","z_pooled","domain_index","SierraLeone",14,-0.595604395604396,0.25
"prev","child_vitA","z_pooled","domain_enet","Gambia",30,0.213832435771415,0.375
"prev","child_vitA","z_pooled","domain_enet","Ghana",75,0.204303321032926,0.315789473684211
"prev","child_vitA","z_pooled","domain_enet","Malawi",87,0.0298429473460912,0.227272727272727
"prev","child_vitA","z_pooled","domain_enet","SierraLeone",14,-0.687912087912088,0
"prev","child_vitA","rank_within","domain_index","Gambia",30,0.596726141074606,0.5
"prev","child_vitA","rank_within","domain_index","Ghana",75,0.302484015591284,0.473684210526316
"prev","child_vitA","rank_within","domain_index","Malawi",87,0.232289505945556,0.363636363636364
"prev","child_vitA","rank_within","domain_index","SierraLeone",14,-0.389010989010989,0.25
"prev","child_vitA","rank_within","domain_enet","Gambia",30,0.23365648450439,0.375
"prev","child_vitA","rank_within","domain_enet","Ghana",75,0.288628797411375,0.473684210526316
"prev","child_vitA","rank_within","domain_enet","Malawi",87,0.275992527083006,0.363636363636364
"prev","child_vitA","rank_within","domain_enet","SierraLeone",14,-0.327472527472527,0.25
"prev","women_vitA","raw_pooled","domain_index","Gambia",30,-0.213073930844453,0.125
"prev","women_vitA","raw_pooled","domain_index","Ghana",75,-0.0111663559985848,0.263157894736842
"prev","women_vitA","raw_pooled","domain_index","Malawi",87,0.00200450575550657,0.272727272727273
"prev","women_vitA","raw_pooled","domain_index","SierraLeone",14,0.0388882659240926,0.5
"prev","women_vitA","raw_pooled","domain_enet","Gambia",30,0.210961964569563,0.25
"prev","women_vitA","raw_pooled","domain_enet","Ghana",75,NA,0.421052631578947
"prev","women_vitA","raw_pooled","domain_enet","Malawi",87,0.144056094728413,0.272727272727273
"prev","women_vitA","raw_pooled","domain_enet","SierraLeone",14,-0.0915018021743355,0.25
"prev","women_vitA","z_pooled","domain_index","Gambia",30,0.135165841592957,0.125
"prev","women_vitA","z_pooled","domain_index","Ghana",75,0.0780530513114652,0.263157894736842
"prev","women_vitA","z_pooled","domain_index","Malawi",87,0.137411237066458,0.318181818181818
"prev","women_vitA","z_pooled","domain_index","SierraLeone",14,-0.15555306369637,0.5
"prev","women_vitA","z_pooled","domain_enet","Gambia",30,NA,0.125
"prev","women_vitA","z_pooled","domain_enet","Ghana",75,NA,0.421052631578947
"prev","women_vitA","z_pooled","domain_enet","Malawi",87,0.168283782403237,0.318181818181818
"prev","women_vitA","z_pooled","domain_enet","SierraLeone",14,NA,0.25
"prev","women_vitA","rank_within","domain_index","Gambia",30,0.49959735547119,0.5
"prev","women_vitA","rank_within","domain_index","Ghana",75,0.197272289308332,0.263157894736842
"prev","women_vitA","rank_within","domain_index","Malawi",87,0.171456267890298,0.272727272727273
"prev","women_vitA","rank_within","domain_index","SierraLeone",14,-0.109802162609203,0.25
"prev","women_vitA","rank_within","domain_enet","Gambia",30,NA,0.125
"prev","women_vitA","rank_within","domain_enet","Ghana",75,0.153253221250038,0.210526315789474
"prev","women_vitA","rank_within","domain_enet","Malawi",87,0.124784429157755,0.272727272727273
"prev","women_vitA","rank_within","domain_enet","SierraLeone",14,-0.306531037284024,0
"prev","child_iron","raw_pooled","domain_index","Gambia",30,0.419623987467012,0.375
"prev","child_iron","raw_pooled","domain_index","Ghana",75,0.0701220812801224,0.210526315789474
"prev","child_iron","raw_pooled","domain_index","Malawi",87,-0.200634866971953,0.136363636363636
"prev","child_iron","raw_pooled","domain_index","SierraLeone",14,0.164835164835165,0.25
"prev","child_iron","raw_pooled","domain_enet","Gambia",30,0.711536326574499,0.625
"prev","child_iron","raw_pooled","domain_enet","Ghana",75,0.305975581297443,0.263157894736842
"prev","child_iron","raw_pooled","domain_enet","Malawi",87,-0.15170287036751,0.0909090909090909
"prev","child_iron","raw_pooled","domain_enet","SierraLeone",14,0.586813186813187,0.5
"prev","child_iron","z_pooled","domain_index","Gambia",30,0.664145070301713,0.375
"prev","child_iron","z_pooled","domain_index","Ghana",75,-0.0321981863748068,0.157894736842105
"prev","child_iron","z_pooled","domain_index","Malawi",87,-0.28644143249937,0.181818181818182
"prev","child_iron","z_pooled","domain_index","SierraLeone",14,0.503296703296703,0.5
"prev","child_iron","z_pooled","domain_enet","Gambia",30,0.626766051269657,0.5
"prev","child_iron","z_pooled","domain_enet","Ghana",75,0.513628895908891,0.578947368421053
"prev","child_iron","z_pooled","domain_enet","Malawi",87,-0.114481718803162,0.272727272727273
"prev","child_iron","z_pooled","domain_enet","SierraLeone",14,0.542857142857143,0.5
"prev","child_iron","rank_within","domain_index","Gambia",30,0.556012908101836,0.375
"prev","child_iron","rank_within","domain_index","Ghana",75,0.345213105092551,0.421052631578947
"prev","child_iron","rank_within","domain_index","Malawi",87,-0.261104417295802,0.181818181818182
"prev","child_iron","rank_within","domain_index","SierraLeone",14,0.362637362637363,0.25
"prev","child_iron","rank_within","domain_enet","Gambia",30,0.549338083274683,0.5
"prev","child_iron","rank_within","domain_enet","Ghana",75,0.556436063426262,0.578947368421053
"prev","child_iron","rank_within","domain_enet","Malawi",87,-0.0937323632998798,0.227272727272727
"prev","child_iron","rank_within","domain_enet","SierraLeone",14,0.252747252747253,0.25
"prev","women_iron","raw_pooled","domain_index","Gambia",30,-0.20647458131993,0.25
"prev","women_iron","raw_pooled","domain_index","Ghana",75,0.214001346798325,0.368421052631579
"prev","women_iron","raw_pooled","domain_index","Malawi",87,0.149072317118485,0.409090909090909
"prev","women_iron","raw_pooled","domain_index","SierraLeone",14,0.173626373626374,0
"prev","women_iron","raw_pooled","domain_enet","Gambia",30,NA,0.125
"prev","women_iron","raw_pooled","domain_enet","Ghana",75,NA,0.157894736842105
"prev","women_iron","raw_pooled","domain_enet","Malawi",87,0.0688204084306697,0.272727272727273
"prev","women_iron","raw_pooled","domain_enet","SierraLeone",14,0.305494505494505,0.25
"prev","women_iron","z_pooled","domain_index","Gambia",30,-0.457670488981784,0
"prev","women_iron","z_pooled","domain_index","Ghana",75,0.172617008888698,0.473684210526316
"prev","women_iron","z_pooled","domain_index","Malawi",87,-0.0354422789349071,0.227272727272727
