"outcome","target","rank","column","domain","beta","beta_std","share","loco_sign_agree","loco_fits","incountry_sign_agree","incountry_fits"
"child_vitA","level",1,"ihme_wastingprevalence","Child anthropometry",3.51662400588153,3.48225766614006,0.0221807896860805,4,4,4,4
"child_vitA","level",2,"lcover_grass_frac_t0","Built environment",3.28415437210222,3.25205985055931,0.0183830436851328,4,4,4,4
"child_vitA","level",3,"wpop_share_under5","Household assets and characteristics",3.16319167507305,3.12031932414792,0.0136933588418831,4,4,4,4
"child_vitA","level",4,"wpop_dependency_ratio","Household assets and characteristics",3.15270288751119,3.11434097264634,0.0165943593465224,4,4,3,4
"child_vitA","level",5,"mics_w_iptp_sp","Infection and inflammation burden",3.10065938300056,2.98889562662035,0.00576864735851302,4,4,3,4
"child_vitA","level",6,"npp_gpp_t0","Ecosystem productivity/greenness",-2.79406067037641,-2.76675560788015,0.0168055591820851,4,4,4,4
"child_vitA","level",7,"ihme_underweightprevalence","Child anthropometry",2.7037692841076,2.67734659756369,0.0158260739736432,4,4,3,4
"child_vitA","level",8,"fprice_staple_rel","Food prices and supply",-2.63866648886655,-2.61287622322704,0.00980800742055387,4,4,3,4
"child_vitA","level",9,"ihme_recommendedhomefluids","Infection and inflammation burden",-2.63013153758354,-2.59794841142824,0.00601545589636132,3,4,3,4
"child_vitA","level",10,"map_sy_pf_mortality_rate","Infection and inflammation burden",-2.43726258681127,-2.4134443469433,0.00311498026202212,4,4,4,4
"child_vitA","level",11,"lcover_crops_frac_t0","Built environment",2.40004745699477,2.37659290337608,0.0101378477867104,4,4,4,4
"child_vitA","level",12,"npp_npp_t0","Ecosystem productivity/greenness",-2.38777988947152,-2.35855818812813,0.0135987483076939,4,4,4,4
"child_vitA","level",13,"ihme_overweightprevalence","Child anthropometry",-2.36674985743708,-2.34362070585655,0.0101631149470411,4,4,2,4
"child_vitA","level",14,"glw_ruminant_share","Livestock density",2.21936735023097,2.18672496821196,0.00851733290918579,4,4,4,4
"child_vitA","level",15,"aef_A54","Satellite embedding",-2.18932437602708,-2.16792912160551,0.0106209908326922,4,4,4,4
"child_vitA","level",16,"glw_tlu_per_capita","Livestock density",2.1822179542215,2.16089214757306,0.0084495426843362,4,4,2,4
"child_vitA","level",17,"wpop_share_wra","Household assets and characteristics",-2.17843082433797,-2.15134513455842,0.00751544798614295,4,4,3,4
"child_vitA","level",18,"mics_c_wasted","Child anthropometry",2.2508281875572,2.14917116970236,0.00707772538628553,4,4,4,4
"child_vitA","level",19,"ihme_simpother","Water and sanitation",-2.08787803434928,-2.03641899672261,0.00929947149958253,4,4,3,4
"child_vitA","level",20,"ihme_sod","Water and sanitation",2.01685893605311,1.96715027579107,0.010737940231551,4,4,3,4
"child_vitA","prev",1,"glw_tlu_per_capita","Livestock density",3.14593034812238,3.11518662602819,0.022790238911073,4,4,3,4
"child_vitA","prev",2,"hces_own_prod_share","Household diet and consumption (HCES)",2.94102031669952,2.8562521057071,0.0201068182280823,4,4,2,4
"child_vitA","prev",3,"ihme_overweightprevalence","Child anthropometry",-2.76346954067448,-2.73646343113841,0.017264430089548,4,4,3,4
"child_vitA","prev",4,"ihme_recommendedhomefluids","Infection and inflammation burden",-2.70722869373373,-2.67410218225069,0.0136674627764893,4,4,3,4
"child_vitA","prev",5,"mics_c_fg_dairy","Infant and young child feeding",-2.55361566208258,-2.46310366187061,0.0157012677221319,4,4,4,4
"child_vitA","prev",6,"wpop_share_under5","Household assets and characteristics",2.29426953453949,2.26317412878943,0.0139339694065382,4,4,4,4
"child_vitA","prev",7,"npp_gpp_t0","Ecosystem productivity/greenness",-2.22907749282117,-2.20729374957759,0.0156836158736468,4,4,3,4
"child_vitA","prev",8,"wpop_share_wra","Household assets and characteristics",-2.2304452415486,-2.20271282645058,0.0125705580744486,4,4,3,4
"child_vitA","prev",9,"mics_c_fg_eggs","Infant and young child feeding",-2.27111732993091,-2.15526168075186,0.013042306895302,4,4,4,4
"child_vitA","prev",10,"fprice_staple_rel","Food prices and supply",-2.12613804955127,-2.10535722510242,0.0114185916979535,3,4,2,4
"child_vitA","prev",11,"lcover_grass_frac_t0","Built environment",2.0849034771182,2.06452867984019,0.014693251425436,4,4,4,4
"child_vitA","prev",12,"wapor_sd_t0","Ecosystem productivity/greenness",2.04952235455496,2.02949332062168,0.0124577308757859,4,4,4,4
"child_vitA","prev",13,"mics_c_fg_legumes","Infant and young child feeding",2.10076448135675,2.00921842084138,0.00392356731004594,4,4,3,4
"child_vitA","prev",14,"wdist_coast_km_mean","Water and coast proximity",2.00289200017066,1.9833186631212,0.0128030976400672,4,4,3,4
"child_vitA","prev",15,"ndvi_modis_amp_t0","Ecosystem productivity/greenness",1.93753696088707,1.91860230840556,0.0120063978384135,4,4,4,4
"child_vitA","prev",16,"wpop_dependency_ratio","Household assets and characteristics",1.93295655698464,1.90943644820108,0.0135314838670177,4,4,3,4
"child_vitA","prev",17,"mics_wealth_poorest40","Household assets and characteristics",1.95035711037729,1.88146175666177,0.0147622569098085,4,4,3,4
"child_vitA","prev",18,"lcover_urban_frac_t0","Built environment",-1.85449535162404,-1.8363722263777,0.0119478281103192,4,4,4,4
"child_vitA","prev",19,"wdist_coast_km_min","Water and coast proximity",1.90050342405065,1.8090597638943,0.0101349258478995,4,4,3,4
"child_vitA","prev",20,"mics_w_iptp_sp","Infection and inflammation burden",1.87047395268884,1.80305242412302,0.00306149825349015,4,4,3,4
"women_vitA","level",1,"mics_w_iptp_sp","Infection and inflammation burden",3.79820727531735,3.66130029516743,0.00839244501022122,4,4,4,4
"women_vitA","level",2,"ihme_wastingprevalence","Child anthropometry",3.28271360580005,3.25063316419976,0.0202169626894976,4,4,3,4
"women_vitA","level",3,"ihme_underweightprevalence","Child anthropometry",2.97914882202916,2.95003497864215,0.0157003718117761,4,4,4,4
"women_vitA","level",4,"glw_tlu_per_capita","Livestock density",2.9086936018069,2.88026828469698,0.00905662387629542,4,4,3,4
"women_vitA","level",5,"hces_own_prod_share","Household diet and consumption (HCES)",2.95770536827548,2.87245624867989,0.00783076130060968,4,4,3,4
"women_vitA","level",6,"glw_sheep_km2","Livestock density",2.87273035438205,2.84465648945387,0.0103978067711249,4,4,4,4
"women_vitA","level",7,"mics_wealth_score_mean","Household assets and characteristics",-2.92819172018099,-2.821951478753,0.0150567087552401,4,4,3,4
"women_vitA","level",8,"map_sy_pf_mortality_rate","Infection and inflammation burden",-2.78352082109754,-2.75631875967292,0.00488381515213683,4,4,4,4
"women_vitA","level",9,"mics_wealth_poorest40","Household assets and characteristics",2.84306939655543,2.74263944417837,0.0149093033000282,4,4,3,4
"women_vitA","level",10,"lcover_grass_frac_t0","Built environment",2.64335098822613,2.61751874174047,0.0130882457320308,4,4,3,4
"women_vitA","level",11,"npp_gpp_t0","Ecosystem productivity/greenness",-2.55840492601495,-2.53340281810218,0.0139598780589029,4,4,4,4
"women_vitA","level",12,"fprice_staple_rel","Food prices and supply",-2.52010067330478,-2.49546926722254,0.00789366880373456,4,4,4,4
"women_vitA","level",13,"mics_c_fg_legumes","Infant and young child feeding",2.49312457019274,2.38448043859174,0.00222196154021202,4,4,2,4
"women_vitA","level",14,"ihme_allanemia","Anaemia and haemoglobin",2.34404994630492,2.3211426304557,0.00973512161201114,4,4,4,4
"women_vitA","level",15,"ihme_stuntingprevalence","Child anthropometry",2.34397056371028,2.32106402363043,0.00990008850543019,4,4,3,4
"women_vitA","level",16,"ihme_moderateanemia","Anaemia and haemoglobin",2.30389914149125,2.28138420088511,0.00981533803117039,4,4,4,4
"women_vitA","level",17,"ihme_edu_6_11y_share","Education, employment, SES",-2.26639399374365,-2.24424557359786,0.0131267187734287,4,4,3,4
"women_vitA","level",18,"ihme_mildanemia","Anaemia and haemoglobin",2.22189615653193,2.20018259316607,0.00807089066726506,4,4,4,4
"women_vitA","level",19,"ihme_severeanemia","Anaemia and haemoglobin",2.18712891922811,2.16575511999029,0.00801942668249347,4,4,4,4
"women_vitA","level",20,"mics_c_fg_eggs","Infant and young child feeding",-2.24890723870684,-2.13418458450923,0.00877674612494853,4,4,4,4
"women_vitA","prev",1,"ihme_overweightprevalence","Child anthropometry",-2.38813612929763,-2.36479797957476,0.0211731710778017,4,4,4,4
"women_vitA","prev",2,"ihme_recommendedhomefluids","Infection and inflammation burden",-1.92481622663248,-1.90126356298723,0.00860004754249262,4,4,3,4
"women_vitA","prev",3,"map_sy_pf_mortality_rate","Infection and inflammation burden",-1.89945318438488,-1.8808907070349,0.0106228763065162,4,4,3,4
"women_vitA","prev",4,"ihme_underweightprevalence","Child anthropometry",1.78403447763618,1.76659993391857,0.0168546786698842,4,4,4,4
"women_vitA","prev",5,"espen_sth_cov_mean","Infection and inflammation burden",-1.76315031945233,-1.60219035972848,0.00169948922046027,4,4,3,4
"women_vitA","prev",6,"tclim_pdsi_t0","Climate and weather",1.59513735306645,1.57954881357002,0.00200544187678759,4,4,3,4
"women_vitA","prev",7,"mics_w_iptp_sp","Infection and inflammation burden",1.55886024839736,1.50267088493878,0.00671905175826135,4,4,2,4
"women_vitA","prev",8,"map_sy_pf_reproductive_number","Infection and inflammation burden",-1.50691460416479,-1.4921882247846,0.00717258065407988,4,4,4,4
"women_vitA","prev",9,"clim_pr_win_anom_z","Climate and weather",1.47514977292383,1.46073381654605,0.0086987279344442,4,4,4,4
"women_vitA","prev",10,"ihme_wastingprevalence","Child anthropometry",1.46232272997374,1.44803212635336,0.0174772085549753,4,4,4,4
"women_vitA","prev",11,"spam_share_roots","Agricultural production, land use",-1.52630921034012,-1.41774411786577,0.00692835866976818,4,4,3,4
"women_vitA","prev",12,"npp_npp_t0","Ecosystem productivity/greenness",-1.42470682531365,-1.40727123272207,0.0152322665562819,3,4,4,4
"women_vitA","prev",13,"soil_aluminium_mean_20_50","Soil characteristics",-1.38338320931314,-1.3698640451135,0.0118725879797089,4,4,4,4
"women_vitA","prev",14,"wdist_coast_km_mean","Water and coast proximity",1.36313975953371,1.34981842520485,0.00912894312227859,4,4,3,4
"women_vitA","prev",15,"wdist_coast_km_min","Water and coast proximity",1.3819539461628,1.31546055004184,0.00843147193000787,4,4,3,4
"women_vitA","prev",16,"map_sy_itn_use_rate","Infection and inflammation burden",-1.32705433140683,-1.31408564327519,0.00147432605061869,4,4,3,4
"women_vitA","prev",17,"npp_gpp_t0","Ecosystem productivity/greenness",-1.30706226872138,-1.29428895377074,0.0135123276227992,3,4,3,4
"women_vitA","prev",18,"ihme_wimpother","Water and sanitation",1.30283563269709,1.29010362270522,0.00366779254708371,4,4,2,4
"women_vitA","prev",19,"glw_sheep_km2","Livestock density",1.30223125372034,1.28950515004464,0.00982516758622677,4,4,3,4
"women_vitA","prev",20,"spam_share_oilcrops","Agricultural production, land use",1.39337541930551,1.28049274575483,-0.000843726389607343,3,4,3,4
"child_iron","level",1,"ihme_overweightprevalence","Child anthropometry",-4.37562535321474,-4.33286439064995,0.0242705579316485,4,4,3,4
"child_iron","level",2,"spam_share_cereals","Agricultural production, land use",3.78654859329945,3.54872079515144,0.0147027873045297,4,4,4,4
"child_iron","level",3,"glw_ruminant_share","Livestock density",3.57460429488956,3.52202913244589,0.0174190643861858,4,4,4,4
"child_iron","level",4,"spam_share_roots","Agricultural production, land use",-3.01789469002881,-2.80323437488347,0.00809080737020069,4,4,4,4
