"estimand","n_train","n_test","country","outcome","target","rep","mse_pick","rank_pick","library","w_mean","wr_mean","rho_mean","w_lasso","wr_lasso","rho_lasso","w_enet","wr_enet","rho_enet","w_ridge","wr_ridge","rho_ridge","w_ranger","wr_ranger","rho_ranger","w_xgb","wr_xgb","rho_xgb","w_domain_index","wr_domain_index","rho_domain_index","w_domain_pc_ridge","wr_domain_pc_ridge","rho_domain_pc_ridge","w_domain_pc_enet","wr_domain_pc_enet","rho_domain_pc_enet","w_domain_pc1_ols","wr_domain_pc1_ols","rho_domain_pc1_ols","w_hapc","wr_hapc","rho_hapc","w_hapc_lasso","wr_hapc_lasso","rho_hapc_lasso","w_spatial_gam","wr_spatial_gam","rho_spatial_gam","w_spatial_plus_domain","wr_spatial_plus_domain","rho_spatial_plus_domain"
"infill",69,18,"Malawi","child_vitA","prev",1,"hapc_lasso","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.215690394340019,0,NA,-1,0,NA,-0.213917002895924,0,NA,-0.069959293579006,0.00738270406038042,NA,-0.00442038089667478,0.00133680791862165,NA,0.0201623496001391,0.139276744602586,NA,0.0506990625292087,0,NA,-1,0,NA,-0.189697649571792,0,NA,-0.202435402696698,0,NA,0.0467748468352219,0.852003743418412,NA,-0.0454017437847835,0,NA,-0.102661091028896,0,NA,-0.102661091028896
"infill",70,17,"Malawi","child_vitA","prev",1,"ridge","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.645169686580633,NA,-0.272094113313136,0,NA,-0.184889471680915,0,NA,-1,0,NA,-0.0561540349927705,0,NA,-0.11246481537282,0.186374334960656,NA,0.0552919353627349,0.168455978458711,NA,0.0757080220558496,0,NA,-1,0,NA,-0.244103085194363,0,NA,-0.124299092112399,0,NA,0.0397741420220949,0,NA,-0.0879912050594127,0,NA,-0.112229697291901,0,NA,-0.112229697291901
"infill",70,17,"Malawi","child_vitA","prev",1,"enet","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.214372569270414,0,NA,-1,0.848501389072065,NA,-0.130679378344627,0,NA,-0.0170105712620517,0,NA,0.00634972438615365,0,NA,0.102639380488511,0.0645645796316503,NA,0.0792845723010829,0,NA,-0.0847898062391959,0,NA,-0.257004987446249,0.0869340312962848,NA,0.0187447343180289,0,NA,-0.0225284741919698,0,NA,-0.0641812951780482,0,NA,-0.10381364458732,0,NA,-0.10381364458732
"infill",70,17,"Malawi","child_vitA","prev",1,"mean","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.880969403252655,NA,-0.124289903612173,0,NA,-0.0413485015339756,0,NA,-0.0245314611019318,0,NA,-0.0724899599025119,0,NA,-0.0571336936632654,0,NA,0.0840939002752864,0.119030596747345,NA,0.00591713836978949,0,NA,-0.1374850284284,0,NA,-0.13427188915225,0,NA,-0.267917053206959,0,NA,-0.15133767141806,0,NA,-0.212315912409175,0,NA,-0.00838587821943676,0,NA,-0.00838587821943676
"infill",69,18,"Malawi","child_vitA","prev",1,"mean","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.781026694998544,NA,-0.18897862198049,0,NA,-1,0,NA,-1,0,NA,-1,0,NA,-0.114018670714739,0,NA,-0.0429927071493284,0.0164367807088106,NA,0.0773114470667747,0,NA,-1,0,NA,-1,0,NA,-0.0659975767643198,0.0233142236320023,NA,0.0157137087534095,0,NA,-0.112569790756647,0,NA,-0.0800770598073747,0.179222300660643,NA,-0.0800770598073747
"infill",69,18,"Malawi","child_vitA","prev",2,"hapc","spatial_gam","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.228073430531986,0,NA,-0.143900897693883,0,NA,-0.137300569849348,0,NA,-0.202694471751886,0,NA,-0.0844382963119918,0,NA,0.0345060345505736,0,NA,0.05687857459905,0.444197352957632,NA,-0.211973634949338,0,NA,-1,0,NA,-0.00401442754902098,0.555802647042368,NA,0.0567432568164987,0,NA,-0.0502041770341556,0,NA,0.130942507582111,0,NA,0.130942507582111
"infill",70,17,"Malawi","child_vitA","prev",2,"mean","spatial_gam","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.887056753127102,NA,-0.124849768042858,0,NA,-0.0611402543065931,0,NA,-0.147347417936421,0,NA,-0.0444200856543509,0,NA,-0.112386442679181,0,NA,-0.240329865045821,0.112943246872898,NA,0.00458480257791636,0,NA,-0.0628940866457757,0,NA,-0.100400246938402,0,NA,-0.133429510921412,0,NA,-0.0765701216858852,0,NA,-0.0359271390863781,0,NA,0.0450251124959478,0,NA,0.0450251124959478
"infill",69,18,"Malawi","child_vitA","prev",2,"hapc_lasso","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.0768988509643269,NA,-0.311624399633925,0,NA,-0.287898135210412,0,NA,-0.19633186501528,0,NA,-1,0,NA,-0.232836797843217,0.122684470583569,NA,-0.0777626190394625,0,NA,0.0211095740779979,0,NA,-1,0,NA,-1,0,NA,-0.193143581628178,0,NA,-0.0444744445318504,0.697938325030218,NA,-0.108164314522307,0.102478353421886,NA,-0.0957598841187813,0,NA,-0.0957598841187813
"infill",70,17,"Malawi","child_vitA","prev",2,"ridge","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.571303684610601,NA,-0.180197232140348,0.0354110493277243,NA,-0.115341734412415,0,NA,-0.168448879036487,0,NA,-0.176177785094213,0,NA,-0.185925148978129,0,NA,-0.0805893101886487,0.318783175457589,NA,0.092331951176741,0,NA,-1,0,NA,-0.106154453581525,0,NA,-0.173269191468741,0,NA,0.0340536588654678,0.0745020906040861,NA,0.0406850776576907,0,NA,-0.196102104501142,0,NA,-0.196102104501142
"infill",70,17,"Malawi","child_vitA","prev",2,"spatial_gam","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.20229439122548,0,NA,-1,0,NA,-1,0,NA,-1,0,NA,-0.0867992902436432,0.00593168828272329,NA,0.114519224405312,0,NA,0.0631675478108535,0,NA,-1,0,NA,-1,0,NA,-0.135658167003419,0,NA,-0.18102712399464,0.141867394393451,NA,-0.166252451402956,0.852200917323826,NA,-0.0688511314339295,0,NA,-0.0688511314339295
"infill",70,17,"Malawi","child_vitA","prev",3,"ridge","xgb","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0.585398350347075,NA,-0.220598191479286,0,NA,-0.165400067025524,0,NA,-1,0,NA,-0.095785268192273,0,NA,-0.042014831112955,0.274605302917732,NA,0.150313929944485,0.139996346735193,NA,0.120259842678386,0,NA,-1,0,NA,-0.220598191479286,0,NA,-0.0596732383923129,0,NA,0.0368825846623042,0,NA,-0.0951205337929944,0,NA,-0.230472660525413,0,NA,-0.230472660525413
"infill",69,18,"Malawi","child_vitA","prev",3,"ranger","domain_index","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.126401204543175,0,NA,-0.126401204543175,0,NA,-1,0.349215200734755,NA,-0.0999595388147145,0.597430425522488,NA,-0.0714438109143317,0,NA,-0.21451184640692,0.0337440681165613,NA,0.00658509873326542,0,NA,-0.0819149847195972,0.0196103056261954,NA,-0.00896016212646343,0,NA,-0.237965622717181,0,NA,-0.0959800692081426,0,NA,-0.148922152255668,0,NA,-0.298855234291895,0,NA,-0.298855234291895
"infill",70,17,"Malawi","child_vitA","prev",3,"ranger","spatial_gam","mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso,spatial_gam,spatial_plus_domain",0,NA,-0.219343527398424,0,NA,-1,0,NA,-0.127381996912091,0,NA,-0.171299427816209,0.306210456374874,NA,0.063323278809861,0,NA,0.0387507152607048,0,NA,-0.0157438371766275,0,NA,-0.19766020756433,0.356720759307712,NA,-0.166614549863038,0.0326033748814934,NA,-0.00808937490290807,0,NA,-0.0934627240126314,0.131593208661656,NA,-0.0880340904489686,0.172872200774265,NA,0.0681943002567734,0,NA,0.0681943002567734
