"country","outcome","target","estimand","arm","reps","n_areas","spearman","wmae","topk","na_draws"
"Gambia","child_iron","level","country","domain_enet",1,30,0.242269187986652,NA,0.25,0
"Gambia","child_iron","level","country","domain_index",1,30,0.420689655172414,NA,0.5,0
"Gambia","child_iron","level","country","enet_1se",1,30,0.288097886540601,NA,0.25,0
"Gambia","child_iron","level","country","enet_nested",1,30,0.297441601779755,NA,0.375,0
"Gambia","child_iron","level","country","enet_nested_1se",1,30,0.446051167964405,NA,0.5,0
"Gambia","child_iron","level","country","index_decor",1,30,0.364182424916574,NA,0.375,0
"Gambia","child_iron","level","country","index_meta",1,30,0.417575083426029,NA,0.5,0
"Gambia","child_iron","level","country","index_meta_agree",1,30,0.410901001112347,NA,0.5,0
"Gambia","child_iron","level","country","index_soft1",1,30,0.407786429365962,NA,0.5,0
"Gambia","child_iron","level","country","index_soft2",1,30,0.393548387096774,NA,0.375,0
"Gambia","child_iron","level","country","lasso_1se",1,30,0.448720800889878,NA,0.5,0
"Gambia","child_iron","level","country","lasso_min",1,30,0.243159065628476,NA,0.375,0
"Gambia","child_iron","level","country","lasso_nested",1,30,0.278754171301446,NA,0.375,0
"Gambia","child_iron","level","country","lasso_nested_1se",1,30,0.345050055617353,NA,0.25,0
"Gambia","child_iron","level","country","ridge_min",1,30,0.362847608453838,NA,0.375,0
"Gambia","child_iron","level","country","ridge_nested",1,30,0.39265850945495,NA,0.375,0
"Gambia","child_iron","level","country","ridge_nested_1se",1,30,0.457174638487208,NA,0.5,0
"Gambia","child_iron","level","country","sparse10",1,30,0.293437152391546,NA,0.25,0
"Gambia","child_iron","level","country","sparse10w",1,30,0.358398220244716,NA,0.375,0
"Gambia","child_iron","level","country","sparse20",1,30,0.22091212458287,NA,0.25,0
"Gambia","child_iron","level","country","sparse5",1,30,0.417130144605117,NA,0.5,0
"Gambia","child_iron","level","infill","domain_enet",5,30,0.295216907675195,0.202818563751815,0.25,0
"Gambia","child_iron","level","infill","domain_index",5,30,0.403337041156841,0.255246992776239,0.375,0
"Gambia","child_iron","level","infill","enet_1se",5,30,-0.0861124702992322,0.221996974478486,0.25,0
"Gambia","child_iron","level","infill","enet_nested",5,30,0.319243604004449,0.206624608053028,0.375,0
"Gambia","child_iron","level","infill","enet_nested_1se",5,30,0.411790878754171,0.191294447580345,0.375,0
"Gambia","child_iron","level","infill","index_decor",5,30,0.365962180200222,0.243336469956395,0.25,0
"Gambia","child_iron","level","infill","index_meta",5,30,-0.0909899888765295,0.30349817206383,0.25,0
"Gambia","child_iron","level","infill","index_meta_agree",5,30,-0.0540600667408231,0.273293706622861,0.25,0
"Gambia","child_iron","level","infill","index_soft1",5,30,0.442046718576196,0.260846057570476,0.375,0
"Gambia","child_iron","level","infill","index_soft2",5,30,0.276084538375973,0.274518395496465,0.25,0
"Gambia","child_iron","level","infill","lasso_1se",5,30,-0.0727774683368839,0.215005223602647,0.125,0
"Gambia","child_iron","level","infill","lasso_min",5,30,0.276974416017798,0.1942898987009,0.375,0
"Gambia","child_iron","level","infill","lasso_nested",5,30,0.290322580645161,0.204482058689944,0.25,0
"Gambia","child_iron","level","infill","lasso_nested_1se",5,30,0.426028921023359,0.191699925616941,0.375,0
"Gambia","child_iron","level","infill","ridge_min",5,30,0.309899888765295,0.189773013279581,0.25,0
"Gambia","child_iron","level","infill","ridge_nested",5,30,0.301446051167964,0.181180391945891,0.25,0
"Gambia","child_iron","level","infill","ridge_nested_1se",5,30,0.326362625139043,0.192718786228949,0.25,0
"Gambia","child_iron","level","infill","sparse10",5,30,0.33392658509455,0.255657830366698,0.375,0
"Gambia","child_iron","level","infill","sparse10w",5,30,0.335261401557286,0.262407394287617,0.375,0
"Gambia","child_iron","level","infill","sparse20",5,30,0.322803114571746,0.249491775061146,0.25,0
"Gambia","child_iron","level","infill","sparse5",5,30,0.379310344827586,0.255160990572782,0.375,0
"Gambia","child_iron","level","region","domain_enet",1,30,0.0797250822807151,0.207584842395558,0.375,0
"Gambia","child_iron","level","region","domain_index",1,30,0.539488320355951,0.22653740568933,0.375,0
"Gambia","child_iron","level","region","enet_1se",1,30,-0.195935446743967,0.225905915039401,0.375,0
"Gambia","child_iron","level","region","enet_nested",1,30,0.458509454949944,0.240182242112118,0.375,0
"Gambia","child_iron","level","region","enet_nested_1se",1,30,0.501223581757508,0.189942950337423,0.5,0
"Gambia","child_iron","level","region","index_decor",1,30,0.520800889877642,0.22892170116966,0.375,0
"Gambia","child_iron","level","region","index_meta",1,30,-0.116796440489433,0.335007210491102,0.375,0
"Gambia","child_iron","level","region","index_meta_agree",1,30,-0.207563959955506,0.334522139238487,0.375,0
"Gambia","child_iron","level","region","index_soft1",1,30,0.514571746384872,0.242614623420963,0.375,0
"Gambia","child_iron","level","region","index_soft2",1,30,0.466518353726363,0.234181459486687,0.375,0
"Gambia","child_iron","level","region","lasso_1se",1,30,-0.463990454906423,0.230614044848218,0.25,0
"Gambia","child_iron","level","region","lasso_min",1,30,0.131547626752524,0.207995852412523,0.5,0
"Gambia","child_iron","level","region","lasso_nested",1,30,0.426028921023359,0.191246141551771,0.5,0
"Gambia","child_iron","level","region","lasso_nested_1se",1,30,0.492769744160178,0.18773620882353,0.5,0
"Gambia","child_iron","level","region","ridge_min",1,30,0.47853170189099,0.199365449454941,0.5,0
"Gambia","child_iron","level","region","ridge_nested",1,30,0.485205784204672,0.165573288463015,0.375,0
"Gambia","child_iron","level","region","ridge_nested_1se",1,30,0.511012235817575,0.186528514922951,0.5,0
"Gambia","child_iron","level","region","sparse10",1,30,0.466963292547275,0.18306660207109,0.5,0
"Gambia","child_iron","level","region","sparse10w",1,30,0.466073414905451,0.192872341217945,0.5,0
"Gambia","child_iron","level","region","sparse20",1,30,0.461624026696329,0.209388538920954,0.375,0
"Gambia","child_iron","level","region","sparse5",1,30,0.47853170189099,0.228321487277044,0.5,0
"Gambia","child_iron","prev","country","domain_enet",1,30,0.368227836297935,NA,0.375,0
"Gambia","child_iron","prev","country","domain_index",1,30,0.506174216059095,NA,0.5,0
"Gambia","child_iron","prev","country","enet_1se",1,30,0.504394262771854,NA,0.375,0
"Gambia","child_iron","prev","country","enet_nested",1,30,0.326398934047777,NA,0.25,0
"Gambia","child_iron","prev","country","enet_nested_1se",1,30,0.509066640150861,NA,0.375,0
"Gambia","child_iron","prev","country","index_decor",1,30,0.473912562727856,NA,0.5,0
"Gambia","child_iron","prev","country","index_meta",1,30,0.503059297806423,NA,0.375,0
"Gambia","child_iron","prev","country","index_meta_agree",1,30,0.442985874362047,NA,0.375,0
"Gambia","child_iron","prev","country","index_soft1",1,30,0.519301371552495,NA,0.5,0
"Gambia","child_iron","prev","country","index_soft2",1,30,0.490599624795738,NA,0.375,0
"Gambia","child_iron","prev","country","lasso_1se",1,30,0.504394262771854,NA,0.375,0
"Gambia","child_iron","prev","country","lasso_min",1,30,0.355545669126344,NA,0.375,0
"Gambia","child_iron","prev","country","lasso_nested",1,30,0.287462455889385,NA,0.25,0
"Gambia","child_iron","prev","country","lasso_nested_1se",1,30,0.348648350138286,NA,0.25,0
"Gambia","child_iron","prev","country","ridge_min",1,30,0.469462679509754,NA,0.5,0
"Gambia","child_iron","prev","country","ridge_nested",1,30,0.178440317045887,NA,0.25,0
"Gambia","child_iron","prev","country","ridge_nested_1se",1,30,0.504616756932759,NA,0.5,0
"Gambia","child_iron","prev","country","sparse10",1,30,0.381577485952241,NA,0.375,0
"Gambia","child_iron","prev","country","sparse10w",1,30,0.408054291099947,NA,0.375,0
"Gambia","child_iron","prev","country","sparse20",1,30,0.359995552344446,NA,0.375,0
"Gambia","child_iron","prev","country","sparse5",1,30,0.41561909257072,NA,0.5,0
"Gambia","child_iron","prev","infill","domain_enet",5,30,0.308821895336274,11.1977291581348,0.125,0
"Gambia","child_iron","prev","infill","domain_index",5,30,0.405384361169086,13.3725915160146,0.375,0
"Gambia","child_iron","prev","infill","enet_1se",5,30,-0.044078214870435,12.3140629777581,0.125,0
"Gambia","child_iron","prev","infill","enet_nested",5,30,0.306596953727223,11.6780816311729,0.25,0
"Gambia","child_iron","prev","infill","enet_nested_1se",5,30,0.455000559050922,10.6005461911397,0.375,0
"Gambia","child_iron","prev","infill","index_decor",5,30,0.343085996115659,12.3441458483868,0.375,0
"Gambia","child_iron","prev","infill","index_meta",5,30,0.0382689956756766,14.5441098354576,0.25,0
"Gambia","child_iron","prev","infill","index_meta_agree",5,30,0.0947825125455711,15.5310186700536,0.25,0
"Gambia","child_iron","prev","infill","index_soft1",5,30,0.402269442916414,14.1901240289767,0.375,0
"Gambia","child_iron","prev","infill","index_soft2",5,30,0.352430750873673,14.7593739711882,0.25,0
"Gambia","child_iron","prev","infill","lasso_1se",5,30,-0.104802318663301,12.3042974608656,0.25,0
"Gambia","child_iron","prev","infill","lasso_min",5,30,0.354655692482724,10.7356784202912,0.25,0
"Gambia","child_iron","prev","infill","lasso_nested",5,30,0.341083548667513,11.3379439013462,0.25,0
"Gambia","child_iron","prev","infill","lasso_nested_1se",5,30,0.432751142960413,10.559799043164,0.375,0
"Gambia","child_iron","prev","infill","ridge_min",5,30,0.344198466920184,9.91607697265963,0.25,0
"Gambia","child_iron","prev","infill","ridge_nested",5,30,0.363777953079833,9.99626802206484,0.25,0
"Gambia","child_iron","prev","infill","ridge_nested_1se",5,30,0.337523642093031,10.6613340193153,0.25,0
"Gambia","child_iron","prev","infill","sparse10",5,30,0.329513852300448,14.2839221216565,0.375,0
"Gambia","child_iron","prev","infill","sparse10w",5,30,0.307486930370843,14.7376488086091,0.375,0
"Gambia","child_iron","prev","infill","sparse20",5,30,0.326843922369587,13.7230782230973,0.375,0
"Gambia","child_iron","prev","infill","sparse5",5,30,0.362442988114402,14.8179426904825,0.375,0
"Gambia","child_iron","prev","region","domain_enet",1,30,0.431237148610847,11.4544387180205,0.5,0
"Gambia","child_iron","prev","region","domain_index",1,30,0.568472581112522,11.7099950718366,0.375,0
"Gambia","child_iron","prev","region","enet_1se",1,30,-0.297209347130766,13.652282426782,0.25,0
"Gambia","child_iron","prev","region","enet_nested",1,30,0.494827013852935,10.8288908273217,0.625,0
"Gambia","child_iron","prev","region","enet_nested_1se",1,30,0.499944379553752,10.4335030736295,0.5,0
"Gambia","child_iron","prev","region","index_decor",1,30,0.503504286128233,10.7278162318515,0.375,0
"Gambia","child_iron","prev","region","index_meta",1,30,0.189787519252047,15.1304774869779,0.625,0
"Gambia","child_iron","prev","region","index_meta_agree",1,30,0.229836468214965,14.1412231419435,0.625,0
"Gambia","child_iron","prev","region","index_soft1",1,30,0.532206032884991,12.9937686576083,0.5,0
"Gambia","child_iron","prev","region","index_soft2",1,30,0.500389367875562,13.8866902108263,0.375,0
"Gambia","child_iron","prev","region","lasso_1se",1,30,-0.315497226735777,13.0082774445217,0.25,0
"Gambia","child_iron","prev","region","lasso_min",1,30,0.48370230580768,10.0662834636786,0.5,0
"Gambia","child_iron","prev","region","lasso_nested",1,30,0.48503727077311,10.9700186820831,0.5,0
"Gambia","child_iron","prev","region","lasso_nested_1se",1,30,0.508399157668145,10.3833975266203,0.5,0
"Gambia","child_iron","prev","region","ridge_min",1,30,0.497496943783796,10.1103998175679,0.75,0
"Gambia","child_iron","prev","region","ridge_nested",1,30,0.487929694864877,9.75256523200018,0.5,0
"Gambia","child_iron","prev","region","ridge_nested_1se",1,30,0.491934589761168,10.5139535664975,0.625,0
"Gambia","child_iron","prev","region","sparse10",1,30,0.482589835003154,12.8591395306517,0.5,0
"Gambia","child_iron","prev","region","sparse10w",1,30,0.467460232061608,13.0983933190044,0.5,0
"Gambia","child_iron","prev","region","sparse20",1,30,0.504394262771854,11.9027990589717,0.625,0
"Gambia","child_iron","prev","region","sparse5",1,30,0.433418625443128,13.9993667636241,0.5,0
"Gambia","child_vitA","level","country","domain_enet",1,30,0.649833147942158,NA,0.5,0
"Gambia","child_vitA","level","country","domain_index",1,30,0.612903225806452,NA,0.5,0
"Gambia","child_vitA","level","country","enet_1se",1,30,0.6440489432703,NA,0.5,0
"Gambia","child_vitA","level","country","enet_nested",1,30,0.634705228031146,NA,0.5,0
"Gambia","child_vitA","level","country","enet_nested_1se",1,30,0.6440489432703,NA,0.5,0
"Gambia","child_vitA","level","country","index_decor",1,30,0.603114571746385,NA,0.5,0
"Gambia","child_vitA","level","country","index_meta",1,30,0.594660734149055,NA,0.5,0
"Gambia","child_vitA","level","country","index_meta_agree",1,30,0.588876529477197,NA,0.375,0
"Gambia","child_vitA","level","country","index_soft1",1,30,0.649388209121246,NA,0.5,0
"Gambia","child_vitA","level","country","index_soft2",1,30,0.668075639599555,NA,0.5,0
"Gambia","child_vitA","level","country","lasso_1se",1,30,NA,NA,0.25,1
"Gambia","child_vitA","level","country","lasso_min",1,30,0.637374860956618,NA,0.5,0
"Gambia","child_vitA","level","country","lasso_nested",1,30,0.6440489432703,NA,0.5,0
"Gambia","child_vitA","level","country","lasso_nested_1se",1,30,0.6440489432703,NA,0.5,0
"Gambia","child_vitA","level","country","ridge_min",1,30,0.611123470522803,NA,0.5,0
"Gambia","child_vitA","level","country","ridge_nested",1,30,0.627586206896552,NA,0.5,0
"Gambia","child_vitA","level","country","ridge_nested_1se",1,30,NA,NA,0.25,1
"Gambia","child_vitA","level","country","sparse10",1,30,0.675639599555061,NA,0.375,0
"Gambia","child_vitA","level","country","sparse10w",1,30,0.696551724137931,NA,0.5,0
"Gambia","child_vitA","level","country","sparse20",1,30,0.594215795328142,NA,0.375,0
"Gambia","child_vitA","level","country","sparse5",1,30,0.64182424916574,NA,0.5,0
"Gambia","child_vitA","level","infill","domain_enet",5,30,0.698331479421579,0.0482857770148303,0.625,0
"Gambia","child_vitA","level","infill","domain_index",5,30,0.695661846496107,0.0666668259317652,0.5,0
"Gambia","child_vitA","level","infill","enet_1se",5,30,0.675639599555061,0.0611975966208565,0.5,0
"Gambia","child_vitA","level","infill","enet_nested",5,30,0.685428253615128,0.0502078892382464,0.625,0
"Gambia","child_vitA","level","infill","enet_nested_1se",5,30,0.716129032258065,0.0574424193805239,0.5,0
"Gambia","child_vitA","level","infill","index_decor",5,30,0.699221357063404,0.0609092621314632,0.5,0
"Gambia","child_vitA","level","infill","index_meta",5,30,0.203114571746385,0.108228778824343,0.25,0
"Gambia","child_vitA","level","infill","index_meta_agree",5,30,0.103003337041157,0.128987569685137,0.25,0
"Gambia","child_vitA","level","infill","index_soft1",5,30,0.709899888765295,0.0682637476960365,0.5,0
"Gambia","child_vitA","level","infill","index_soft2",5,30,0.698331479421579,0.0695888889157191,0.5,0
"Gambia","child_vitA","level","infill","lasso_1se",5,30,0.698776418242492,0.0609863479812815,0.375,0
"Gambia","child_vitA","level","infill","lasso_min",5,30,0.724137931034483,0.0483792700661785,0.625,0
"Gambia","child_vitA","level","infill","lasso_nested",5,30,0.6587319243604,0.0503155094946508,0.5,0
"Gambia","child_vitA","level","infill","lasso_nested_1se",5,30,0.725027808676307,0.0570206052452585,0.5,0
"Gambia","child_vitA","level","infill","ridge_min",5,30,0.64182424916574,0.0495514465585385,0.5,0
"Gambia","child_vitA","level","infill","ridge_nested",5,30,0.651612903225806,0.0502056799578833,0.5,0
"Gambia","child_vitA","level","infill","ridge_nested_1se",5,30,0.648498331479422,0.0545815395388395,0.375,0
"Gambia","child_vitA","level","infill","sparse10",5,30,0.601779755283649,0.060463438549979,0.5,0
"Gambia","child_vitA","level","infill","sparse10w",5,30,0.597330367074527,0.063116374982271,0.5,0
"Gambia","child_vitA","level","infill","sparse20",5,30,0.637374860956618,0.0687856276130385,0.5,0
"Gambia","child_vitA","level","infill","sparse5",5,30,0.54972191323693,0.0662815748162032,0.375,0
"Gambia","child_vitA","level","region","domain_enet",1,30,0.722358175750834,0.0511708084101709,0.625,0
"Gambia","child_vitA","level","region","domain_index",1,30,0.735706340378198,0.0628531246366427,0.5,0
"Gambia","child_vitA","level","region","enet_1se",1,30,0.173088982569111,0.0752575393272692,0.25,0
"Gambia","child_vitA","level","region","enet_nested",1,30,0.728142380422692,0.0490151793748306,0.625,0
"Gambia","child_vitA","level","region","enet_nested_1se",1,30,0.735706340378198,0.0578206494465216,0.625,0
"Gambia","child_vitA","level","region","index_decor",1,30,0.703225806451613,0.0556773518691983,0.5,0
"Gambia","child_vitA","level","region","index_meta",1,30,0.468743047830923,0.0960627783681165,0.25,0
"Gambia","child_vitA","level","region","index_meta_agree",1,30,0.276974416017798,0.122348500710204,0.375,0
"Gambia","child_vitA","level","region","index_soft1",1,30,0.734371523915462,0.0664630035230624,0.5,0
"Gambia","child_vitA","level","region","index_soft2",1,30,0.726362625139043,0.0703705281160749,0.5,0
"Gambia","child_vitA","level","region","lasso_1se",1,30,0.739265850945495,0.0610037421799854,0.625,0
"Gambia","child_vitA","level","region","lasso_min",1,30,0.745494994438265,0.0525843241697481,0.625,0
"Gambia","child_vitA","level","region","lasso_nested",1,30,0.737931034482759,0.0541646060704683,0.625,0
"Gambia","child_vitA","level","region","lasso_nested_1se",1,30,0.725027808676307,0.0609358503113913,0.5,0
"Gambia","child_vitA","level","region","ridge_min",1,30,0.663626251390434,0.0507928297260637,0.5,0
"Gambia","child_vitA","level","region","ridge_nested",1,30,0.671635150166852,0.051494090309298,0.5,0
"Gambia","child_vitA","level","region","ridge_nested_1se",1,30,0.67741935483871,0.0608793149519074,0.5,0
"Gambia","child_vitA","level","region","sparse10",1,30,0.474082313681869,0.0544432901064409,0.5,0
"Gambia","child_vitA","level","region","sparse10w",1,30,0.473637374860957,0.0539686417265491,0.5,0
"Gambia","child_vitA","level","region","sparse20",1,30,0.630255839822024,0.0565293961076728,0.5,0
"Gambia","child_vitA","level","region","sparse5",1,30,0.517241379310345,0.0564941635718763,0.375,0
"Gambia","child_vitA","prev","country","domain_enet",1,30,0.588930166853773,NA,0.625,0
