"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","level","sl_disc",0,NA,NA,0
"infill","prev","sl_disc",0,NA,NA,0
"region","level","sl_disc",0,NA,NA,0
"region","prev","sl_disc",0,NA,NA,0
"infill","level","sl_nnls",0,NA,NA,0
"infill","prev","sl_nnls",0,NA,NA,0
"region","level","sl_nnls",0,NA,NA,0
"region","prev","sl_nnls",0,NA,NA,0
"infill","level","sl_rank_disc",0,NA,NA,0
"infill","prev","sl_rank_disc",0,NA,NA,0
"region","level","sl_rank_disc",0,NA,NA,0
"region","prev","sl_rank_disc",0,NA,NA,0
"infill","level","sl_rank_nnls",0,NA,NA,0
"infill","prev","sl_rank_nnls",0,NA,NA,0
"region","level","sl_rank_nnls",0,NA,NA,0
"region","prev","sl_rank_nnls",0,NA,NA,0
"infill","level","sl_lrn_mean",0,NA,NA,0
"infill","prev","sl_lrn_mean",0,NA,NA,0
"region","level","sl_lrn_mean",0,NA,NA,0
"region","prev","sl_lrn_mean",0,NA,NA,0
"infill","level","sl_lrn_lasso",0,NA,NA,0
"infill","prev","sl_lrn_lasso",0,NA,NA,0
"region","level","sl_lrn_lasso",0,NA,NA,0
"region","prev","sl_lrn_lasso",0,NA,NA,0
"infill","level","sl_lrn_enet",0,NA,NA,0
"infill","prev","sl_lrn_enet",0,NA,NA,0
"region","level","sl_lrn_enet",0,NA,NA,0
"region","prev","sl_lrn_enet",0,NA,NA,0
"infill","level","sl_lrn_ridge",0,NA,NA,0
"infill","prev","sl_lrn_ridge",0,NA,NA,0
"region","level","sl_lrn_ridge",0,NA,NA,0
"region","prev","sl_lrn_ridge",0,NA,NA,0
"infill","level","sl_lrn_ranger",0,NA,NA,0
"infill","prev","sl_lrn_ranger",0,NA,NA,0
"region","level","sl_lrn_ranger",0,NA,NA,0
"region","prev","sl_lrn_ranger",0,NA,NA,0
"infill","level","sl_lrn_xgb",0,NA,NA,0
"infill","prev","sl_lrn_xgb",0,NA,NA,0
"region","level","sl_lrn_xgb",0,NA,NA,0
"region","prev","sl_lrn_xgb",0,NA,NA,0
"infill","level","sl_lrn_domain_index",0,NA,NA,0
"infill","prev","sl_lrn_domain_index",0,NA,NA,0
"region","level","sl_lrn_domain_index",0,NA,NA,0
"region","prev","sl_lrn_domain_index",0,NA,NA,0
"infill","level","sl_lrn_domain_pc_ridge",0,NA,NA,0
"infill","prev","sl_lrn_domain_pc_ridge",0,NA,NA,0
"region","level","sl_lrn_domain_pc_ridge",0,NA,NA,0
"region","prev","sl_lrn_domain_pc_ridge",0,NA,NA,0
"infill","level","sl_lrn_domain_pc_enet",0,NA,NA,0
"infill","prev","sl_lrn_domain_pc_enet",0,NA,NA,0
"region","level","sl_lrn_domain_pc_enet",0,NA,NA,0
"region","prev","sl_lrn_domain_pc_enet",0,NA,NA,0
"infill","level","sl_lrn_domain_pc1_ols",0,NA,NA,0
"infill","prev","sl_lrn_domain_pc1_ols",0,NA,NA,0
"region","level","sl_lrn_domain_pc1_ols",0,NA,NA,0
"region","prev","sl_lrn_domain_pc1_ols",0,NA,NA,0
"infill","level","sl_lrn_hapc",0,NA,NA,0
"infill","prev","sl_lrn_hapc",0,NA,NA,0
"region","level","sl_lrn_hapc",0,NA,NA,0
"region","prev","sl_lrn_hapc",0,NA,NA,0
"infill","level","sl_lrn_hapc_lasso",0,NA,NA,0
"infill","prev","sl_lrn_hapc_lasso",0,NA,NA,0
"region","level","sl_lrn_hapc_lasso",0,NA,NA,0
"region","prev","sl_lrn_hapc_lasso",0,NA,NA,0
"infill","level","sl_lrn_spatial_gam",0,NA,NA,0
"infill","prev","sl_lrn_spatial_gam",0,NA,NA,0
"region","level","sl_lrn_spatial_gam",0,NA,NA,0
"region","prev","sl_lrn_spatial_gam",0,NA,NA,0
"infill","level","sl_lrn_spatial_plus_domain",0,NA,NA,0
"infill","prev","sl_lrn_spatial_plus_domain",0,NA,NA,0
"region","level","sl_lrn_spatial_plus_domain",0,NA,NA,0
"region","prev","sl_lrn_spatial_plus_domain",0,NA,NA,0
"infill","level","ridge_min",0,NA,NA,0
"infill","prev","ridge_min",0,NA,NA,0
"region","level","ridge_min",0,NA,NA,0
"region","prev","ridge_min",0,NA,NA,0
"infill","level","domain_enet",0,NA,NA,0
"infill","prev","domain_enet",0,NA,NA,0
"region","level","domain_enet",0,NA,NA,0
"region","prev","domain_enet",0,NA,NA,0
