"estimand","target","arm","cells","scored","mean_spearman","median_spearman","cells_positive","mean_wmae"
"infill","level","domain_index",2,2,0.337783407450609,0.337783407450609,2,0.314790337751264
"infill","level","sl_disc",2,2,0.318045126485383,0.318045126485383,2,0.282677614168554
"infill","level","sl_nnls",2,2,0.356154771451483,0.356154771451483,2,0.272169080601383
"infill","level","sl_rank_disc",2,2,0.299783115841656,0.299783115841656,2,0.302585676505071
"infill","level","sl_rank_nnls",2,2,0.378143909018007,0.378143909018007,2,0.268556286410771
"infill","level","sl_lrn_mean",2,2,-0.248645287942679,-0.248645287942679,0,0.314534207701208
"infill","level","sl_lrn_lasso",2,2,0.144820295983087,0.144820295983087,1,0.303017585951751
"infill","level","sl_lrn_enet",2,2,0.22435340260225,0.22435340260225,2,0.291350365596859
"infill","level","sl_lrn_ridge",2,2,0.331951228402712,0.331951228402712,2,0.28281137388901
"infill","level","sl_lrn_ranger",2,2,0.366716483196034,0.366716483196034,2,0.281140842304043
"infill","level","sl_lrn_xgb",2,2,0.300010935335715,0.300010935335715,2,0.291397822616167
"infill","level","sl_lrn_domain_index",2,2,0.343451556462783,0.343451556462783,2,0.314371276247062
"infill","level","sl_lrn_domain_pc_ridge",2,2,0.307246482467012,0.307246482467012,2,0.287686755422721
"infill","level","sl_lrn_domain_pc_enet",2,2,0.283242457867176,0.283242457867176,2,0.287564026555632
"infill","level","sl_lrn_domain_pc1_ols",2,2,0.368894437559233,0.368894437559233,2,0.300684940314553
"infill","level","sl_lrn_hapc",2,2,0.315785157104323,0.315785157104323,2,0.290016054331122
"infill","level","sl_lrn_hapc_lasso",2,2,0.287854487132755,0.287854487132755,2,0.28973192008444
"infill","level","sl_lrn_spatial_gam",2,2,0.345994022016476,0.345994022016476,2,0.269585004975315
"infill","level","sl_lrn_spatial_plus_domain",2,2,0.362743311219654,0.362743311219654,2,0.267552649196037
"infill","level","ridge_min",2,2,0.269036596923525,0.269036596923525,2,0.286345208734811
"infill","level","domain_enet",2,2,0.293742853171283,0.293742853171283,2,0.283984824034179
"infill","prev","domain_index",2,2,0.270308620410686,0.270308620410686,2,17.611997579704
"infill","prev","sl_disc",2,2,0.105526224262417,0.105526224262417,1,14.8919920555772
"infill","prev","sl_nnls",2,2,0.18308647511162,0.18308647511162,1,14.835493591876
"infill","prev","sl_rank_disc",2,2,0.140937322042886,0.140937322042886,1,16.3731671072029
"infill","prev","sl_rank_nnls",2,2,0.223740002123678,0.223740002123678,1,15.3275725688678
"infill","prev","sl_lrn_mean",2,2,-0.217965036671196,-0.217965036671196,0,15.319552473389
"infill","prev","sl_lrn_lasso",2,2,0.0448728342707395,0.0448728342707395,1,14.8114904654061
"infill","prev","sl_lrn_enet",2,2,0.0570250787557507,0.0570250787557507,1,14.1945911504922
"infill","prev","sl_lrn_ridge",2,2,0.128734834281506,0.128734834281506,1,14.8172298612191
"infill","prev","sl_lrn_ranger",2,2,0.147861087380298,0.147861087380298,1,14.623000913795
"infill","prev","sl_lrn_xgb",2,2,0.144297758549816,0.144297758549816,1,15.2074991387286
"infill","prev","sl_lrn_domain_index",2,2,0.27578666698068,0.27578666698068,2,17.6558069642617
"infill","prev","sl_lrn_domain_pc_ridge",2,2,0.129600599904122,0.129600599904122,1,14.7540803356639
"infill","prev","sl_lrn_domain_pc_enet",2,2,0.052626177832505,0.052626177832505,1,14.7694710948271
"infill","prev","sl_lrn_domain_pc1_ols",2,2,0.236237005481809,0.236237005481809,2,18.0654417843405
"infill","prev","sl_lrn_hapc",2,2,0.0892744720441884,0.0892744720441884,1,16.2113728246919
"infill","prev","sl_lrn_hapc_lasso",2,2,0.0707407205229727,0.0707407205229727,1,15.3286824180856
"infill","prev","sl_lrn_spatial_gam",2,2,0.253224757580089,0.253224757580089,2,14.4032199339344
"infill","prev","sl_lrn_spatial_plus_domain",2,2,0.252734437798771,0.252734437798771,2,14.4206255778395
