country,outcome,arm,n_admin2,pearson_r,r_max,r_max_emp,r_share_analytic,r_share_empirical
Gambia,child_vitA,"admin-2 fit (LORO), unbenchmarked",30,0.354,0.671,0.7972,0.528,0.444
Gambia,child_vitA,admin-2 fit + national benchmark,30,0.461,0.671,0.7972,0.687,0.578
Gambia,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.389,0.671,0.7972,0.58,0.488
Gambia,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),30,0.445,0.671,0.7972,0.663,0.558
Gambia,women_vitA,"admin-2 fit (LORO), unbenchmarked",30,0.52,0.275,0.6441,1.891,0.807
Gambia,women_vitA,admin-2 fit + national benchmark,30,0.521,0.275,0.6441,1.895,0.809
Gambia,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.515,0.275,0.6441,1.873,0.8
Gambia,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),30,0.519,0.275,0.6441,1.887,0.806
Gambia,child_iron,"admin-2 fit (LORO), unbenchmarked",30,0.591,0.565,0.7535,1.046,0.784
Gambia,child_iron,admin-2 fit + national benchmark,30,0.587,0.565,0.7535,1.039,0.779
Gambia,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.679,0.565,0.7535,1.202,0.901
Gambia,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),30,0.663,0.565,0.7535,1.173,0.88
Gambia,women_iron,"admin-2 fit (LORO), unbenchmarked",30,0.753,0.706,0.8237,1.067,0.914
Gambia,women_iron,admin-2 fit + national benchmark,30,0.756,0.706,0.8237,1.071,0.918
Gambia,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),30,0.731,0.706,0.8237,1.035,0.887
Gambia,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),30,0.753,0.706,0.8237,1.067,0.914
Ghana,child_vitA,"admin-2 fit (LORO), unbenchmarked",75,0.295,0.03,0.5923,NA,0.498
Ghana,child_vitA,admin-2 fit + national benchmark,75,0.3,0.03,0.5923,NA,0.507
Ghana,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.317,0.03,0.5923,NA,0.535
Ghana,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),75,0.41,0.03,0.5923,NA,0.692
Ghana,women_vitA,"admin-2 fit (LORO), unbenchmarked",75,0.055,0,0.3925,NA,0.14
Ghana,women_vitA,admin-2 fit + national benchmark,75,0.056,0,0.3925,NA,0.143
Ghana,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),75,-0.087,0,0.3925,NA,-0.222
Ghana,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),75,0.291,0,0.3925,NA,0.741
Ghana,child_iron,"admin-2 fit (LORO), unbenchmarked",75,0.443,0.672,0.8108,0.659,0.546
Ghana,child_iron,admin-2 fit + national benchmark,75,0.459,0.672,0.8108,0.683,0.566
Ghana,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.751,0.672,0.8108,1.118,0.926
Ghana,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),75,0.759,0.672,0.8108,1.129,0.936
Ghana,women_iron,"admin-2 fit (LORO), unbenchmarked",75,0.071,0,0.3839,NA,0.185
Ghana,women_iron,admin-2 fit + national benchmark,75,0.072,0,0.3839,NA,0.188
Ghana,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.406,0,0.3839,NA,1.058
Ghana,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),75,0.497,0,0.3839,NA,1.295
Ghana,women_folate,"admin-2 fit (LORO), unbenchmarked",75,0.244,0.627,0.7131,0.389,0.342
Ghana,women_folate,admin-2 fit + national benchmark,75,0.168,0.627,0.7131,0.268,0.236
Ghana,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.018,0.627,0.7131,0.029,0.025
Ghana,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),75,0.024,0.627,0.7131,0.038,0.034
Ghana,women_b12,"admin-2 fit (LORO), unbenchmarked",75,-0.105,0.367,0.4862,-0.286,-0.216
Ghana,women_b12,admin-2 fit + national benchmark,75,-0.088,0.367,0.4862,-0.24,-0.181
Ghana,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.193,0.367,0.4862,0.526,0.397
Ghana,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),75,0.287,0.367,0.4862,0.782,0.59
SierraLeone,child_vitA,"admin-2 fit (LORO), unbenchmarked",14,0.13,0,0.1826,NA,0.712
SierraLeone,child_vitA,admin-2 fit + national benchmark,14,0.199,0,0.1826,NA,1.09
SierraLeone,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.004,0,0.1826,NA,0.022
SierraLeone,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),14,0.064,0,0.1826,NA,0.35
SierraLeone,women_vitA,"admin-2 fit (LORO), unbenchmarked",14,-0.043,0,0.4521,NA,-0.095
SierraLeone,women_vitA,admin-2 fit + national benchmark,14,-0.043,0,0.4521,NA,-0.095
SierraLeone,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.258,0,0.4521,NA,0.571
SierraLeone,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),14,0.26,0,0.4521,NA,0.575
SierraLeone,child_iron,"admin-2 fit (LORO), unbenchmarked",14,0.402,0,0.2505,NA,1.605
SierraLeone,child_iron,admin-2 fit + national benchmark,14,0.386,0,0.2505,NA,1.541
SierraLeone,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.569,0,0.2505,NA,2.271
SierraLeone,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),14,0.675,0,0.2505,NA,2.695
SierraLeone,women_iron,"admin-2 fit (LORO), unbenchmarked",14,0.294,0.167,0.8214,1.76,0.358
SierraLeone,women_iron,admin-2 fit + national benchmark,14,0.295,0.167,0.8214,1.766,0.359
SierraLeone,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.382,0.167,0.8214,2.287,0.465
SierraLeone,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),14,0.447,0.167,0.8214,2.677,0.544
SierraLeone,women_folate,"admin-2 fit (LORO), unbenchmarked",14,-0.513,0.773,0.8475,-0.664,-0.605
SierraLeone,women_folate,admin-2 fit + national benchmark,14,-0.493,0.773,0.8475,-0.638,-0.582
SierraLeone,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.55,0.773,0.8475,0.712,0.649
SierraLeone,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),14,0.577,0.773,0.8475,0.746,0.681
SierraLeone,women_b12,"admin-2 fit (LORO), unbenchmarked",14,0.354,0,0,NA,NA
SierraLeone,women_b12,admin-2 fit + national benchmark,14,0.354,0,0,NA,NA
SierraLeone,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.337,0,0,NA,NA
SierraLeone,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),14,0.372,0,0,NA,NA
Malawi,child_vitA,"admin-2 fit (LORO), unbenchmarked",87,0.141,0,0.6341,NA,0.222
Malawi,child_vitA,admin-2 fit + national benchmark,87,0.141,0,0.6341,NA,0.222
Malawi,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.321,0,0.6341,NA,0.506
Malawi,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),87,0.447,0,0.6341,NA,0.705
Malawi,women_vitA,"admin-2 fit (LORO), unbenchmarked",87,-0.146,0,0,NA,NA
Malawi,women_vitA,admin-2 fit + national benchmark,87,-0.147,0,0,NA,NA
Malawi,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),87,-0.113,0,0,NA,NA
Malawi,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),87,0.322,0,0,NA,NA
Malawi,child_iron,"admin-2 fit (LORO), unbenchmarked",87,0.291,0.096,0.4487,3.031,0.649
Malawi,child_iron,admin-2 fit + national benchmark,87,0.259,0.096,0.4487,2.698,0.577
Malawi,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.151,0.096,0.4487,1.573,0.337
Malawi,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),87,0.307,0.096,0.4487,3.198,0.684
Malawi,women_iron,"admin-2 fit (LORO), unbenchmarked",87,0.037,0,0.3947,NA,0.094
Malawi,women_iron,admin-2 fit + national benchmark,87,0.04,0,0.3947,NA,0.101
Malawi,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.027,0,0.3947,NA,0.068
Malawi,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),87,0.227,0,0.3947,NA,0.575
Malawi,women_folate,"admin-2 fit (LORO), unbenchmarked",87,0.275,0.559,0.8305,0.492,0.331
Malawi,women_folate,admin-2 fit + national benchmark,87,0.266,0.559,0.8305,0.476,0.32
