country,outcome,r_max_analytic,r_max_emp,lambda_analytic,lambda_emp,implied_deff,median_n_analytic,diff
Sierra Leone,women_b12,0,0,0,0,0.902,47,0
Malawi,women_vitA,0,0,0,0,0.9,8,0
Malawi,women_b12,0,0,0,0,1.036,9,0
Malawi,women_zinc,0.724,0.7909,0.5242,0.6255,1.181,8,0.067
Sierra Leone,women_folate,0.7732,0.8475,0.5978,0.7183,1.051,47,0.074
Ghana,women_folate,0.627,0.7131,0.3932,0.5086,1.215,6,0.086
Gambia,women_iron,0.7065,0.8237,0.4991,0.6784,0.963,25.5,0.117
Ghana,women_b12,0.3675,0.4862,0.135,0.2364,1.324,6,0.119
Gambia,child_vitA,0.6713,0.7972,0.4507,0.6355,0.995,22,0.126
Malawi,child_zinc,0.6724,0.7985,0.4521,0.6375,0.992,11,0.126
Ghana,child_iron,0.6716,0.8108,0.451,0.6574,0.936,14,0.139
Sierra Leone,child_vitA,0,0.1826,0,0.0333,1.154,36,0.183
Gambia,child_iron,0.5646,0.7535,0.3188,0.5678,0.952,22,0.189
Sierra Leone,child_iron,0,0.2505,0,0.0627,1.01,36,0.25
Malawi,women_folate,0.5587,0.8305,0.3122,0.6898,0.676,8,0.272
Malawi,child_iron,0.0959,0.4487,0.0092,0.2013,1.209,12,0.353
Gambia,women_vitA,0.2754,0.6441,0.0758,0.4148,0.95,25.5,0.369
Ghana,women_iron,0,0.3839,0,0.1474,0.942,12,0.384
Ghana,women_vitA,0,0.3925,0,0.154,0.933,12,0.392
Malawi,women_iron,0,0.3947,0,0.1558,1.198,8,0.395
Sierra Leone,women_vitA,0,0.4521,0,0.2044,0.88,54,0.452
Ghana,child_vitA,0.0301,0.5923,9e-4,0.3508,0.975,14,0.562
Malawi,child_vitA,0,0.6341,0,0.4021,0.847,12,0.634
Sierra Leone,women_iron,0.1671,0.8214,0.0279,0.6747,0.502,54,0.654
