country,outcome,level,n_units,n_scored,median_n_per_unit,min_n_per_unit,r_max_emp,r_oof,mae_pp,r_share,n_shared_centroid_districts
Ghana,child_vitA,admin1,16,16,63.5,14,0.8193,0.3697,5.09,0.451,0
Ghana,child_vitA,admin1_split2,29,29,33,12,0.5985,0.1595,7.09,0.267,0
Ghana,child_vitA,admin1_split3,36,36,25,4,0.5971,0.1017,8.1,0.17,0
Ghana,child_vitA,admin2,75,75,14,1,0.5705,0.2558,10.09,0.448,0
Ghana,women_vitA,admin1,16,16,45,7,0.3229,0.7425,0.97,2.299,0
Ghana,women_vitA,admin1_split2,29,29,27,7,0.7159,0.3532,1.28,0.493,0
Ghana,women_vitA,admin1_split3,36,36,25.5,2,0.5158,-0.0443,2.21,-0.086,0
Ghana,women_vitA,admin2,75,75,12,2,0.4187,0.0155,2.18,0.037,0
Ghana,child_iron,admin1,16,16,63.5,14,0.9504,0.5797,8.99,0.61,0
Ghana,child_iron,admin1_split2,29,29,33,12,0.8986,0.5535,10.52,0.616,0
Ghana,child_iron,admin1_split3,36,36,25,4,0.8671,0.7265,9.28,0.838,0
Ghana,child_iron,admin2,75,75,14,1,0.8112,0.456,14.03,0.562,0
Ghana,women_iron,admin1,16,16,45,7,0.8159,0.2262,4.51,0.277,0
Ghana,women_iron,admin1_split2,29,29,27,7,0.6171,0.2412,5.62,0.391,0
Ghana,women_iron,admin1_split3,36,36,25.5,2,0.59,-0.1825,7.01,-0.309,0
Ghana,women_iron,admin2,75,75,12,2,0.3558,0.0422,7.04,0.119,0
Ghana,women_folate,admin1,16,16,22.5,3,0.8994,0.0792,22.27,0.088,0
Ghana,women_folate,admin1_split2,29,29,13,3,0.8388,0.2136,21.37,0.255,0
Ghana,women_folate,admin1_split3,36,36,11.5,1,0.889,0.1307,26.33,0.147,0
Ghana,women_folate,admin2,75,75,6,1,0.7057,0.2554,25.8,0.362,0
Ghana,women_b12,admin1,16,16,22.5,3,0.885,-0.0849,7.51,-0.096,0
Ghana,women_b12,admin1_split2,29,29,13,3,0.7517,-0.1588,11.82,-0.211,0
Ghana,women_b12,admin1_split3,36,36,11.5,1,0.8094,-0.2374,8.79,-0.293,0
Ghana,women_b12,admin2,75,75,6,1,0.4463,-0.1252,11.19,-0.28,0
