"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","domain","q_bh_perm"
"all","aef_A37",2.9134486998085,1.45672434990425,0,4,4,0.000499750124937531,0.00199900049975012,"Agricultural production, land use",0.0186406796601699
"all","aef_A45",2.94471929216309,1.47235964608154,0,4,4,0.000499750124937531,0.00199900049975012,"Agricultural production, land use",0.0186406796601699
"all","dhs_c_wasted",2.84087012867534,1.51893739357998,0.143502131372601,4,4,0.000499750124937531,0.00349825087456272,"Infant and child morbidity/mortality",0.0186406796601699
"vitA","dhs_c_wasted",3.90368856975643,2.14413631168216,0.206742056957301,4,4,0.000499750124937531,0.00499750124937531,"Infant and child morbidity/mortality",0.0169460724183363
"all","aef_A15",2.74922451398709,1.37461225699354,0,4,4,0.000499750124937531,0.00599700149925037,"Agricultural production, land use",0.0186406796601699
"women_vitA","dhs_c_wasted",4.62070088866514,2.34752427991953,0.0324391492858291,4,4,0.000499750124937531,0.00649675162418791,"Infant and child morbidity/mortality",0.0186406796601699
"all","soil_magnesium_stdev_0_20",-2.59914246828482,-1.29957123414241,0,4,4,0.000499750124937531,0.0174912543728136,"Soil characteristics",0.0186406796601699
"child_vitA","aef_A15",4.18431699960561,2.36841077418111,0.281518528923409,4,4,0.000499750124937531,0.0204897551224388,"Agricultural production, land use",0.0266295423716713
"all","soil_calcium_stdev_20_50",-2.52456485152287,-1.26228242576144,0,4,4,0.000499750124937531,0.0224887556221889,"Soil characteristics",0.0186406796601699
"child_vitA","aef_A37",4.04993368897353,2.31379901340219,0.305615897787459,4,4,0.000499750124937531,0.0249875062468766,"Agricultural production, land use",0.0266295423716713
"child_iron","aef_A03",4.0580373672602,2.39902682500714,0.397970850713672,4,4,0.000499750124937531,0.0259870064967516,"Agricultural production, land use",0.0372813593203398
"women_vitA","precip_y2010",-3.91619150966307,-1.95809575483154,0,4,4,0.000499750124937531,0.0294852573713143,"Climate and weather",0.0186406796601699
"all","aef_A03",2.47235178998057,1.23617589499029,0,4,4,0.000499750124937531,0.0299850074962519,"Agricultural production, land use",0.0186406796601699
"women_vitA","tclim_aet_t0",-3.86222416711607,-1.93111208355803,0,4,4,0.000499750124937531,0.0329835082458771,"Climate and weather",0.0186406796601699
"women_vitA","soil_aluminium_stdev_20_50",3.80612023291551,1.90306011645775,0,4,4,0.000499750124937531,0.0374812593703148,"Soil characteristics",0.0186406796601699
"iron","aef_A03",3.67334314181097,1.83667157090548,0,4,4,0.000499750124937531,0.0379810094952524,"Agricultural production, land use",0.0466016991504248
"iron","soil_magnesium_stdev_0_20",-3.59144287743544,-1.84668775883576,0.0575697145907294,4,4,0.000499750124937531,0.0489755122438781,"Soil characteristics",0.0466016991504248
"vitA","aef_A15",3.66301214047393,2.23232685586276,0.485589575534629,4,4,0.000499750124937531,0.088455772113943,"Agricultural production, land use",0.0169460724183363
"all","tclim_tmmx_t0",2.28041354224844,1.57839807783296,0.916310394216575,4,4,0.000999500249875062,0.0914542728635682,"Climate and weather",0.0186406796601699
"all","soil_aluminium_stdev_0_20",2.26829976351655,1.13414988175827,0,4,4,0.000499750124937531,0.100949525237381,"Soil characteristics",0.0186406796601699
"all","dhs_hh_open_defecation",2.26490509358715,1.13245254679357,0,4,4,0.000999500249875062,0.101949025487256,"Water and sanitation",0.0186406796601699
