"held_out","outcome","n_regions","n_train_countries","spearman","p_perm"
"Gambia","child_vitA",6,3,0.885714285714286,0.0279860069965017
"Gambia","child_iron",6,3,0.6,0.230884557721139
"Gambia","women_iron",6,3,-0.314285714285714,0.560219890054973
"Gambia","women_vitA",6,3,0.714285714285714,0.136931534232884
"Ghana","women_iron",16,3,0.117820451782505,0.648675662168916
"Ghana","women_vitA",16,3,0.491250750789075,0.0609695152423788
"Ghana","women_folate",16,2,0.302941176470588,0.265367316341829
"Ghana","women_b12",16,1,-0.104017513778134,0.708645677161419
"Ghana","child_iron",16,3,0.571008248774102,0.0224887556221889
"Ghana","child_vitA",16,3,0.623529411764706,0.0149925037481259
"Malawi","child_vitA",27,3,0.332875283055104,0.0934532733633183
"Malawi","women_folate",27,2,0.137467582474869,0.499750124937531
"Malawi","women_b12",27,1,0.0174359847350837,0.932033983008496
"Malawi","child_iron",27,3,0.192307692307692,0.346326836581709
"Malawi","women_iron",27,3,0.0863990240565316,0.657671164417791
"Malawi","women_vitA",27,3,0.237870665169366,0.217891054472764
"SierraLeone","women_folate",4,2,0.2,0.926036981509245
"SierraLeone","child_vitA",4,3,0.4,0.75512243878061
"SierraLeone","child_iron",4,3,0.6,0.434782608695652
"SierraLeone","women_iron",4,3,0,1
"SierraLeone","women_vitA",4,3,0.4,0.732133933033483
