"country","outcome","domain","n","r_partial","p_perm"
"Ghana","women_iron","Adult nutrition",16,-0.344968790194069,0.1944027986007
"Ghana","women_iron","Agricultural production, land use",16,-0.0361511584272689,0.899550224887556
"Ghana","women_iron","Built environment",16,-0.520896270305531,0.0444777611194403
"Ghana","women_iron","Climate and weather",16,0.164023297910586,0.496751624187906
"Ghana","women_iron","Dietary diversity",16,-0.0212745896919157,0.933533233383308
"Ghana","women_iron","Ecosystem productivity/greenness",16,-0.191215211241102,0.466766616691654
"Ghana","women_iron","Education, employment, SES",16,0.394545434396199,0.130934532733633
"Ghana","women_iron","Fertility, reproductive health",16,0.297627001711938,0.263868065967017
"Ghana","women_iron","Food fortification and supplementation",16,0.377154129056994,0.149925037481259
"Ghana","women_iron","Healthcare access",16,-0.152919312543693,0.570214892553723
"Ghana","women_iron","Household assets and characteristics",16,0.299482397173295,0.270364817591204
"Ghana","women_iron","Infant and child morbidity/mortality",16,-0.0695478237927744,0.812593703148426
"Ghana","women_iron","Malaria",16,-0.35832924791004,0.176411794102949
"Ghana","women_iron","Malaria incidence and treatment",16,-0.409904555070203,0.122938530734633
"Ghana","women_iron","Ruralness, population density, built environment",16,0.598314207775363,0.0149925037481259
"Ghana","women_iron","Soil characteristics",16,-0.11462213660805,0.663668165917041
"Ghana","women_iron","Water and sanitation",16,0.475028192776979,0.0814592703648176
"Ghana","women_vitA","Adult nutrition",16,-0.181058370056733,0.513243378310845
"Ghana","women_vitA","Agricultural production, land use",16,-0.142585198245792,0.603698150924538
"Ghana","women_vitA","Built environment",16,-0.513156003703328,0.0339830084957521
"Ghana","women_vitA","Climate and weather",16,0.213824176584138,0.441779110444778
"Ghana","women_vitA","Dietary diversity",16,-0.108678649962394,0.68215892053973
"Ghana","women_vitA","Ecosystem productivity/greenness",16,-0.402687869940475,0.103448275862069
"Ghana","women_vitA","Education, employment, SES",16,0.297217277146213,0.255872063968016
"Ghana","women_vitA","Fertility, reproductive health",16,0.197982081576991,0.449275362318841
"Ghana","women_vitA","Food fortification and supplementation",16,0.208419890099304,0.437781109445277
"Ghana","women_vitA","Healthcare access",16,-0.119123488381847,0.648675662168916
"Ghana","women_vitA","Household assets and characteristics",16,0.313058255898311,0.238380809595202
"Ghana","women_vitA","Infant and child morbidity/mortality",16,0.0236787971392262,0.924037981009495
"Ghana","women_vitA","Malaria",16,-0.595432935208518,0.0199900049975013
"Ghana","women_vitA","Malaria incidence and treatment",16,-0.353218025146022,0.183408295852074
"Ghana","women_vitA","Ruralness, population density, built environment",16,0.460263418877968,0.0759620189905048
"Ghana","women_vitA","Soil characteristics",16,-0.00573927247039162,0.986506746626687
"Ghana","women_vitA","Water and sanitation",16,0.212022796716386,0.441779110444778
"Ghana","women_folate","Adult nutrition",16,0.344584538935893,0.199900049975012
"Ghana","women_folate","Agricultural production, land use",16,0.0755821987104433,0.79960019990005
"Ghana","women_folate","Built environment",16,0.505376398462113,0.0489755122438781
"Ghana","women_folate","Climate and weather",16,-0.171028959806164,0.518740629685157
"Ghana","women_folate","Dietary diversity",16,0.220763855900546,0.429785107446277
"Ghana","women_folate","Ecosystem productivity/greenness",16,0.488785251459906,0.0584707646176912
"Ghana","women_folate","Education, employment, SES",16,-0.173319684556626,0.487256371814093
"Ghana","women_folate","Fertility, reproductive health",16,-0.00129272761624301,0.9960019990005
"Ghana","women_folate","Food fortification and supplementation",16,-0.112837028110205,0.679660169915043
"Ghana","women_folate","Healthcare access",16,0.0465113410905232,0.861569215392304
"Ghana","women_folate","Household assets and characteristics",16,-0.15390017184367,0.594702648675662
"Ghana","women_folate","Infant and child morbidity/mortality",16,-0.453006196788754,0.0784607696151924
"Ghana","women_folate","Malaria",16,0.553427890898739,0.0284857571214393
"Ghana","women_folate","Malaria incidence and treatment",16,0.100610579824136,0.708645677161419
"Ghana","women_folate","Ruralness, population density, built environment",16,-0.272922461733307,0.32183908045977
"Ghana","women_folate","Soil characteristics",16,-0.250057202580327,0.345827086456772
"Ghana","women_folate","Water and sanitation",16,-0.298615193562736,0.266366816591704
"Ghana","women_b12","Adult nutrition",16,-0.200166435299579,0.494252873563218
"Ghana","women_b12","Agricultural production, land use",16,0.184350258521618,0.499750124937531
"Ghana","women_b12","Built environment",16,0.0316394921447523,0.901549225387306
"Ghana","women_b12","Climate and weather",16,-0.0553679698449626,0.831584207896052
"Ghana","women_b12","Dietary diversity",16,0.158840498835375,0.537731134432784
"Ghana","women_b12","Ecosystem productivity/greenness",16,0.0133587731756997,0.95952023988006
"Ghana","women_b12","Education, employment, SES",16,-0.28552420092047,0.308345827086457
"Ghana","women_b12","Fertility, reproductive health",16,-0.512516856598303,0.0429785107446277
"Ghana","women_b12","Food fortification and supplementation",16,0.0935820314178955,0.741129435282359
"Ghana","women_b12","Healthcare access",16,0.351624077739326,0.189905047476262
"Ghana","women_b12","Household assets and characteristics",16,-0.0684114054659575,0.811094452773613
"Ghana","women_b12","Infant and child morbidity/mortality",16,0.282236165254408,0.286356821589205
"Ghana","women_b12","Malaria",16,-0.277110860516406,0.314842578710645
"Ghana","women_b12","Malaria incidence and treatment",16,0.0137020646218785,0.95552223888056
"Ghana","women_b12","Ruralness, population density, built environment",16,-0.176176126745986,0.517241379310345
