"unit","min_n","spatial","country","outcome","domain","n_pred","Q_obs","Q_ratio","Q_z","p_perm","q_bh"
"admin2",0,"S0_none","Malawi","child_vitA","Adult and maternal mortality",9,0.0109766095249421,0.904779730548239,-0.127738250126152,0.428285857071464,0.577687900235929
"admin2",0,"S0_none","Malawi","child_vitA","Adult nutrition",8,0.0221546799246918,1.89466091821902,1.63099132910125,0.0734632683658171,0.193675889328063
"admin2",0,"S0_none","Malawi","child_vitA","Agricultural production, land use",80,0.0195748495998444,1.63105806844565,1.33101813375514,0.0994502748625687,0.240338164251208
"admin2",0,"S0_none","Malawi","child_vitA","Built environment",12,0.0179830637644887,1.49796153026328,0.768218025530238,0.166416791604198,0.321739130434783
"admin2",0,"S0_none","Malawi","child_vitA","Climate and weather",41,0.0218786293256204,1.81788477237161,1.0733794146995,0.120939530234883,0.255693581780538
"admin2",0,"S0_none","Malawi","child_vitA","Dietary diversity",11,0.0202522334801824,1.6540439522517,0.906188650283588,0.12343828085957,0.255693581780538
"admin2",0,"S0_none","Malawi","child_vitA","Ecosystem productivity/greenness",16,0.0543722001316237,4.61982409751741,4.46621611523799,0.00599700149925037,0.0434782608695652
"admin2",0,"S0_none","Malawi","child_vitA","Education, employment, SES",8,0.00784990079093958,0.660861651730019,-0.40129406861532,0.562218890554723,0.693802035152636
"admin2",0,"S0_none","Malawi","child_vitA","Fertility, reproductive health",23,0.00842085787410727,0.732762259089314,-0.571892092543483,0.687656171914043,0.813960366755398
"admin2",0,"S0_none","Malawi","child_vitA","Food fortification and supplementation",6,0.00577715430802705,0.490637269443228,-0.744783335273273,0.771114442778611,0.876953680022734
"admin2",0,"S0_none","Malawi","child_vitA","Healthcare access",6,0.0465363876971033,3.95528573172929,2.98355720040296,0.0184907546226887,0.0630861040068201
"admin2",0,"S0_none","Malawi","child_vitA","Household assets and characteristics",12,0.0149081629955661,1.2559674170531,0.294688517486897,0.23888055972014,0.386212299255778
"admin2",0,"S0_none","Malawi","child_vitA","Infant and child morbidity/mortality",37,0.0133297549648252,1.14232859022572,0.412783193094012,0.277861069465267,0.402898550724638
"admin2",0,"S0_none","Malawi","child_vitA","Malaria incidence and treatment",23,0.0224043270969112,1.88137597957648,1.52058175567587,0.0819590204897551,0.206679269061122
"admin2",0,"S0_none","Malawi","child_vitA","Ruralness, population density, built environment",9,0.00835634764436249,0.704046157688025,-0.257388554404442,0.445777111444278,0.587615283267457
