"country","outcome","target","n_areas","p_native","n_q10","n_q05","min_q","pi0","est_n_nonnull","Q_obs","Q_null","Q_z","p_omnibus_Q","p_Tmax"
"Gambia","child_vitA","binary",30,591,249,204,0.0123063468265867,0.453468697123519,323,0.133977283765883,0.0342796053708622,7.05206183071809,0.000499750124937531,0.00499750124937531
"Gambia","child_vitA","continuous",30,591,299,246,0.00388621478734317,0.406091370558376,351,0.17756552145952,0.034379705367383,9.91811398767071,0.000499750124937531,0.000999500249875062
"Gambia","women_vitA","binary",30,591,102,49,0.0184595202398801,0.510998307952623,289,0.0911553730671189,0.0341252766536758,4.17952974723086,0.00399800099950025,0.0429785107446277
"Gambia","women_vitA","continuous",30,591,309,264,0.00304486931791836,0.355329949238579,381,0.186379603208313,0.034903539482062,10.3589545097932,0.000499750124937531,0.00199900049975012
"Gambia","child_iron","binary",30,591,137,54,0.0140643963732419,0.406091370558376,351,0.109474454969703,0.0350753069930132,4.96886375911062,0.000999500249875062,0.00499750124937531
"Gambia","child_iron","continuous",30,591,85,48,0.0492253873063468,0.514382402707276,287,0.0943917766531683,0.0345241489014963,4.15865840785217,0.00449775112443778,0.00849575212393803
"Gambia","women_iron","binary",30,591,309,272,0.00250298579523797,0.426395939086294,339,0.186889664730193,0.0342072784188864,11.0635339304596,0.000499750124937531,0.000499750124937531
"Gambia","women_iron","continuous",30,591,289,241,0.0028956110180204,0.406091370558376,351,0.166866823922906,0.0341188156765972,9.60486822188625,0.000499750124937531,0.000499750124937531
"Ghana","child_vitA","binary",75,583,141,0,0.0672356129627494,0.432246998284734,331,0.0418620012527837,0.0135869731660981,4.73107849274708,0.00349825087456272,0.0434782608695652
"Ghana","child_vitA","continuous",71,583,117,0,0.0602802047252236,0.408233276157804,345,0.0420857076638775,0.0146038035302623,4.45114505656244,0.00349825087456272,0.0199900049975013
"Ghana","women_vitA","binary",75,583,0,0,0.563066781216133,0.754716981132076,143,0.0176489198250199,0.0134919963765813,0.723625824711829,0.176411794102949,0.843078460769615
"Ghana","women_vitA","continuous",72,583,231,178,0.00710620299606294,0.476843910806175,305,0.0570409915832061,0.0138180254855065,7.54535878510392,0.000499750124937531,0.000499750124937531
"Ghana","child_iron","binary",75,583,369,310,0.00212667388933271,0.274442538593482,423,0.101980945791819,0.0135081149249908,15.3345871778863,0.000499750124937531,0.000499750124937531
"Ghana","child_iron","continuous",71,583,338,289,0.00264867566216892,0.260720411663808,431,0.097463826927703,0.0139014675399534,14.2356984365578,0.000499750124937531,0.000499750124937531
"Ghana","women_iron","binary",75,583,71,14,0.0416220461197972,0.562607204116638,255,0.0331763822619505,0.0137503453856318,3.32565991119667,0.0119940029985007,0.0329835082458771
"Ghana","women_iron","continuous",72,583,143,53,0.0306688760882717,0.590051457975986,239,0.0405180427377837,0.0139408715470908,4.33309051629536,0.00549725137431284,0.0139930034982509
"Ghana","women_folate","binary",75,583,9,6,0.0485590538064301,0.521440823327616,279,0.0314042817295377,0.0135380309694438,3.22620601102845,0.0109945027486257,0.00599700149925037
"Ghana","women_folate","continuous",52,583,0,0,0.14567716141929,0.524871355060034,277,0.0427247567082444,0.0196706833072761,2.76891649457421,0.0194902548725637,0.0104947526236882
"Ghana","women_b12","binary",75,583,45,0,0.076005475523108,0.569468267581475,251,0.0327137979481684,0.0134907671301432,3.28349311684881,0.0129935032483758,0.04047976011994
"Ghana","women_b12","continuous",51,583,259,220,0.00832440922395945,0.415094339622642,341,0.0887146799313316,0.0197598255195986,7.84032233673303,0.000499750124937531,0.000499750124937531
"SierraLeone","child_vitA","binary",14,588,0,0,0.999000499750125,1,0,0.0582117530432044,0.0770296780163077,-0.658879985730545,0.714142928535732,0.27936031984008
"SierraLeone","child_vitA","continuous",14,588,0,0,0.662373731167203,0.846938775510204,90,0.0903190109211276,0.0763361275460532,0.486347950560209,0.277861069465267,0.295352323838081
"SierraLeone","women_vitA","binary",14,588,0,0,0.991497258363825,1,0,0.0514358525130302,0.0775696431099657,-0.878782531591409,0.796601699150425,0.528235882058971
"SierraLeone","women_vitA","continuous",14,588,0,0,0.114276195235715,0.874149659863946,74,0.117701406506289,0.0765638936052214,1.4156608653175,0.0999500249875062,0.0444777611194403
"SierraLeone","child_iron","binary",14,588,0,0,0.446430630838427,0.829931972789116,100,0.105090162947353,0.0775651752554278,0.917789198017969,0.177411294352824,0.332333833083458
"SierraLeone","child_iron","continuous",14,588,0,0,0.146926536731634,0.738095238095238,154,0.0977454865902416,0.0768538852676645,0.712469459721318,0.217891054472764,0.117941029485257
"SierraLeone","women_iron","binary",14,588,0,0,0.630402747344277,0.819727891156463,106,0.0955685996558126,0.0771917123981591,0.623318415480981,0.241879060469765,0.375312343828086
"SierraLeone","women_iron","continuous",14,588,0,0,0.986591041828483,1,0,0.0614166152215736,0.0768139910033456,-0.525937157120977,0.63568215892054,0.742628685657171
"SierraLeone","women_folate","binary",14,588,0,0,0.492514306227168,0.877551020408163,72,0.0926026687842006,0.07730051405398,0.528724884311431,0.269365317341329,0.3928035982009
"SierraLeone","women_folate","continuous",14,588,0,0,0.974938024703986,1,0,0.0596662764421015,0.0760673463035679,-0.577507286246295,0.668665667166417,0.814592703648176
"Malawi","child_vitA","binary",87,589,0,0,0.190463591733545,0.692699490662139,181,0.0199323433797537,0.0115580394098191,2.28816640289021,0.0324837581209395,0.268365817091454
"Malawi","child_vitA","continuous",83,589,0,0,0.568100949525237,0.828522920203735,101,0.0157411991181624,0.0120027966693266,0.987043109417286,0.142928535732134,0.343828085957021
"Malawi","women_vitA","binary",87,589,0,0,0.967159277504105,1,0,0.0102707833981745,0.011851139568073,-0.429388893643508,0.613693153423288,0.300349825087456
"Malawi","women_vitA","continuous",79,589,80,24,0.0196235215725471,0.573853989813243,251,0.0331664109402548,0.0128705280470117,5.17111806743824,0.000999500249875062,0.0179910044977511
