"method","model_type","n_train","n_test","n_eval","n_vars","obs_prev","pred_prev","mae_pp","rmse_pp","pearson_r","spearman_r","mean_bias_pp","calib_slope","calib_intercept","held_out","outcome","eval_type"
"sl_prescreened","continuous",176,30,30,86,0.187537154205692,0.105296452731198,12.969,16.612,-0.282,-0.311,-8.224,-1.214,0.315,"Gambia","child_vitA","loco_sl_only"
"sl_prescreened","continuous",131,75,75,86,0.136137357995132,0.114734675805704,9.691,11.69,0.088,0.127,-2.14,0.463,0.083,"Ghana","child_vitA","loco_sl_only"
"sl_prescreened","continuous",192,14,14,86,0.112174043377561,0.105080397454068,7.133,8.201,0.019,-0.024,-0.709,0.018,0.11,"SierraLeone","child_vitA","loco_sl_only"
"sl_prescreened","continuous",119,87,87,86,0.0867824004997812,0.10950517224707,9.437,11.807,-0.131,-0.196,2.272,-0.584,0.151,"Malawi","child_vitA","loco_sl_only"
"sl_prescreened","continuous",176,30,30,86,0.0349366310016231,0.0203608389262179,3.453,4.999,0.453,0.551,-1.458,20.062,-0.374,"Gambia","women_vitA","loco_sl_only"
"sl_prescreened","continuous",131,75,75,86,0.0169544174899537,0.0175931002397917,2.866,4.203,0.135,0.168,0.064,3.064,-0.037,"Ghana","women_vitA","loco_sl_only"
"sl_prescreened","continuous",192,14,14,86,0.0129478109244971,0.0213084379145194,1.707,2.009,-0.186,-0.057,0.836,-0.37,0.021,"SierraLeone","women_vitA","loco_sl_only"
"sl_prescreened","continuous",119,87,87,86,0.0160280970625798,0.0160685247920725,2.766,4.527,0.116,0.15,0.004,1.086,-0.001,"Malawi","women_vitA","loco_sl_only"
"sl_prescreened","continuous",176,30,30,86,0.638003095306347,0.219146562943235,41.886,44.076,0.453,0.43,-41.886,1.302,0.353,"Gambia","child_iron","loco_sl_only"
"sl_prescreened","continuous",131,75,75,86,0.212516097035253,0.264244223278343,14.577,18.105,0.336,0.364,5.173,0.946,-0.038,"Ghana","child_iron","loco_sl_only"
"sl_prescreened","continuous",192,14,14,86,0.0593675285429916,0.278087359155254,21.872,23.108,-0.167,-0.218,21.872,-0.152,0.102,"SierraLeone","child_iron","loco_sl_only"
"sl_prescreened","continuous",119,87,87,86,0.203061113282234,0,20.306,25.251,NA,NA,-20.306,NA,0.203,"Malawi","child_iron","loco_sl_only"
"sl_prescreened","continuous",176,30,30,86,0.514561786071163,0.209732717375794,30.483,33.883,0.6,0.634,-30.483,3.632,-0.247,"Gambia","women_iron","loco_sl_only"
"sl_prescreened","continuous",131,75,75,86,0.130789966949148,0.552856176838082,43.769,52.023,-0.065,-0.017,42.207,-0.028,0.146,"Ghana","women_iron","loco_sl_only"
"sl_prescreened","continuous",192,14,14,86,0.174389054437979,0.278390345184444,23.425,31.498,-0.262,-0.327,10.4,-0.064,0.192,"SierraLeone","women_iron","loco_sl_only"
"sl_prescreened","continuous",119,87,87,86,0.171392225867498,0.215758346745343,14.231,17.661,0.016,0.085,4.437,0.088,0.152,"Malawi","women_iron","loco_sl_only"
"sl_prescreened","continuous",101,75,75,89,0.0936560939116638,0.0277178732938442,9.542,16.866,0.409,0.327,-6.594,3.122,0.007,"Ghana","women_b12","loco_sl_only"
"sl_prescreened","continuous",162,14,14,89,0.00420312661632129,0.09362600540426,8.942,9.089,-0.582,-0.65,8.942,-0.352,0.037,"SierraLeone","women_b12","loco_sl_only"
"sl_prescreened","continuous",89,87,87,89,0.0299822069352785,0.144186020161595,12.321,13.325,0.061,-0.026,11.42,0.097,0.016,"Malawi","women_b12","loco_sl_only"
"sl_prescreened","continuous",101,75,75,89,0.535743467510215,0.522824720870131,28.972,34.844,-0.301,-0.211,-1.292,-0.783,0.945,"Ghana","women_folate","loco_sl_only"
"sl_prescreened","continuous",162,14,14,89,0.807745437713062,0.357914773446436,44.983,46.626,-0.591,-0.481,-44.983,-1.974,1.514,"SierraLeone","women_folate","loco_sl_only"
"sl_prescreened","continuous",89,87,87,89,0.204677126587366,0.509647492696643,32.575,36.73,0.211,0.217,30.497,0.802,-0.204,"Malawi","women_folate","loco_sl_only"
