country,outcome,estimator,splits,r,mae_pp,lift
Gambia,child_vitA,direct,20,0.4405,11.927,1.4859
Gambia,child_vitA,flat_region,20,0.3802,12.072,1.3665
Gambia,child_vitA,eb_blend,20,0.4085,11.433,1.4232
Gambia,child_vitA,ridge,20,0.2602,13.404,1.4023
Gambia,child_vitA,rf,20,0.301,12.095,1.3417
Gambia,child_vitA,spatial,20,0.347,13.897,1.4036
Gambia,child_vitA,ensemble,20,0.3954,11.997,1.4687
Gambia,child_vitA,eb_ensemble,20,0.4103,11.823,1.441
Gambia,women_vitA,direct,20,0.2702,4.441,1.8379
Gambia,women_vitA,flat_region,20,-0.0613,5.214,0.6972
Gambia,women_vitA,eb_blend,20,-0.0271,4.927,0.7359
Gambia,women_vitA,ridge,20,0.3202,3.567,1.9288
Gambia,women_vitA,rf,20,0.3123,4.518,2.0395
Gambia,women_vitA,spatial,20,0.3575,4.719,1.9126
Gambia,women_vitA,ensemble,20,0.3677,3.782,1.9532
Gambia,women_vitA,eb_ensemble,20,0.3677,3.782,1.9532
Gambia,child_iron,direct,20,0.3826,16.913,1.1938
Gambia,child_iron,flat_region,20,0.1692,16.861,1.1281
Gambia,child_iron,eb_blend,20,0.3066,15.506,1.2229
Gambia,child_iron,ridge,20,0.1451,16.923,1.0754
Gambia,child_iron,rf,20,0.2026,16.405,1.0922
Gambia,child_iron,spatial,20,0.28,17.261,1.1095
Gambia,child_iron,ensemble,20,0.2803,16.026,1.149
Gambia,child_iron,eb_ensemble,20,0.3827,15.082,1.1989
Gambia,women_iron,direct,20,0.5147,14.433,1.4252
Gambia,women_iron,flat_region,20,0.3648,14.568,1.0326
Gambia,women_iron,eb_blend,20,0.5387,12.655,1.2625
Gambia,women_iron,ridge,20,0.4289,14.126,1.3233
Gambia,women_iron,rf,20,0.4352,14.075,1.3006
Gambia,women_iron,spatial,20,0.4118,16.509,1.3173
Gambia,women_iron,ensemble,20,0.4636,13.831,1.3095
Gambia,women_iron,eb_ensemble,20,0.4931,13.378,1.353
Ghana,child_vitA,direct,20,0.1793,12.492,1.3556
Ghana,child_vitA,flat_region,20,0.1528,13.238,1.2707
Ghana,child_vitA,eb_blend,20,0.1682,12.882,1.3407
